model,ticker,x,y,r
v02a,AXP,roll_sd_ret21d_251d_lag7,roll_sd_ret21d_251d_lag19,0.9986210092750999
v02a,FDX,roll_sd_ret21d_251d_lag7,roll_sd_ret21d_251d_lag19,0.9980052851488992
v02a,SBUX,roll_sd_ret21d_251d_lag7,roll_sd_ret21d_251d_lag19,0.9980019981898316
v02a,AAPL,roll_sd_ret21d_251d_lag7,roll_sd_ret21d_251d_lag19,0.9980009879097491
v02a,HAL,roll_sd_ret21d_251d_lag7,roll_sd_ret21d_251d_lag19,0.9977814253128449
v02a,CVX,roll_sd_ret21d_251d_lag7,roll_sd_ret21d_251d_lag19,0.9975602303460775
v02a,AMD,roll_sd_ret21d_251d_lag7,roll_sd_ret21d_251d_lag19,0.9972637086033985
v02a,AXP,roll_sd_ret5d_147d,roll_sd_ret5d_147d_lag5,0.9970015165913231
v02a,AXP,roll_sd_ret21d_251d,roll_sd_ret21d_251d_lag7,0.9961595602805432
v02a,AXP,roll_sd_ret5d_147d_lag5,roll_sd_ret5d_147d_lag11,0.9960344335156799
v02a,AAPL,roll_sd_volu200_251d,roll_sd_volu200_251d_lag5,0.9955856637161821
v02a,SBUX,roll_sd_ret5d_147d,roll_sd_ret5d_147d_lag5,0.9948876564911001
v02a,AMD,roll_sd_volu200_251d,roll_sd_volu200_251d_lag5,0.9946377985403598
v02a,HAL,roll_sd_volu200_251d,roll_sd_volu200_251d_lag5,0.9945314433711632
v02a,SBUX,roll_sd_ret21d_251d,roll_sd_ret21d_251d_lag7,0.9944867188113165
v02a,FDX,roll_sd_ret21d_251d,roll_sd_ret21d_251d_lag7,0.994445693832506
v02a,AAPL,roll_sd_ret21d_251d,roll_sd_ret21d_251d_lag7,0.9943757649723346
v02a,FDX,roll_sd_ret5d_147d,roll_sd_ret5d_147d_lag5,0.9943618782799768
v02a,AXP,atr11_open,atr17_open,0.9941314660254557
v02a,HAL,atr11_open,atr17_open,0.9938526920950296
v02a,CVX,roll_sd_volu200_251d,roll_sd_volu200_251d_lag5,0.9936561126044862
v02a,HAL,roll_sd_ret21d_251d,roll_sd_ret21d_251d_lag7,0.9936532836999791
v02a,CVX,roll_sd_ret5d_147d,roll_sd_ret5d_147d_lag5,0.9936190384298547
v02a,CVX,roll_sd_ret21d_251d,roll_sd_ret21d_251d_lag7,0.9934014280391983
v02a,HAL,roll_sd_ret5d_147d,roll_sd_ret5d_147d_lag5,0.9932858236615537
v02a,SBUX,roll_sd_ret5d_147d_lag5,roll_sd_ret5d_147d_lag11,0.9932699775449598
v02a,AXP,roll_sd_volu200_251d,roll_sd_volu200_251d_lag5,0.9928669472835833
v02a,FDX,roll_sd_ret5d_147d_lag5,roll_sd_ret5d_147d_lag11,0.9926286943137065
v02a,AAPL,roll_sd_ret5d_147d,roll_sd_ret5d_147d_lag5,0.9924409415870606
v02a,SBUX,atr11_open,atr17_open,0.9924128727276377
v02a,AMD,roll_sd_ret21d_251d,roll_sd_ret21d_251d_lag7,0.992401139168002
v02a,FDX,atr11_open,atr17_open,0.9923847255900433
v02a,AXP,roll_sd_ret21d_251d,roll_sd_ret21d_251d_lag19,0.9914897326250174
v02a,CVX,roll_sd_ret5d_147d_lag5,roll_sd_ret5d_147d_lag11,0.991449846258355
v02a,HAL,roll_sd_ret5d_147d_lag5,roll_sd_ret5d_147d_lag11,0.9910130280276008
