model,ticker,x,y,r
v03a,CVX,roll_sd_intraday_61d,roll_sd_ret5d_61d,0.8840170095478197
v03a,HAL,roll_sd_intraday_61d,roll_sd_ret5d_61d,0.8677397037230719
v03a,HAL,roll_sd_ret1d_147d,roll_sd_ret21d_251d,0.8589636264538966
v03a,CVX,roll_sd_ret1d_147d,roll_sd_ret21d_251d,0.8074881470500951
v03a,CVX,roll_sd_ret5d_61d,roll_sd_ret1d_147d,0.7789014366331186
v03a,HAL,roll_sd_ret5d_61d,roll_sd_ret1d_147d,0.7778249048035327
v03a,CVX,corr_sma50_sma200_199d,corr_sma50_sma200_251d,0.7712006827205801
v03a,HAL,corr_sma50_sma200_199d,corr_sma50_sma200_251d,0.7642334252154811
v03a,CVX,corr_ema20_sma50_199d,corr_ema20_sma50_251d,0.7170698476526384
v03a,CVX,roll_sd_intraday_61d,roll_sd_ret1d_147d,0.7056888289871943
v03a,HAL,roll_sd_intraday_61d,roll_sd_ret1d_147d,0.7025515064648951
v03a,HAL,roll_sd_ret5d_61d,roll_sd_ret21d_251d,0.6692849203089184
v03a,CVX,roll_sd_ret21d_251d,roll_sd_volu200_251d,0.6587999574195268
v03a,HAL,corr_ema20_sma50_199d,corr_ema20_sma50_251d,0.6587760576820643
v03a,HAL,corr_ema20_sma50_251d,corr_sma50_sma200_199d,0.6437872312641305
v03a,CVX,roll_sd_ret5d_61d,roll_sd_ret21d_251d,0.6308523308905629
v03a,HAL,too_corr3,too_corr2,0.6053101793281982
v03a,CVX,corr_ema20_sma50_251d,corr_sma50_sma200_199d,0.6040075968328841
v03a,CVX,roll_sd_ret1d_147d,roll_sd_volu200_251d,0.578238520499595
v03a,CVX,too_corr3,too_corr2,0.5744015598644715
v03a,HAL,roll_sd_intraday_61d,roll_sd_ret21d_251d,0.5719310373847716
v03a,CVX,above_sd_sma200_251d,roll_sd_ret1d_147d,-0.5704028642832926
v03a,HAL,ma_cross_l,roll_sd_ret5d_61d,-0.5466363307418518
v03a,CVX,corr_ema20_sma50_251d,corr_sma50_sma200_251d,0.5408788500238818
v03a,CVX,roll_sd_ret5d_61d,roll_sd_volu200_251d,0.5186203948392377
v03a,HAL,ma_cross_l,roll_sd_intraday_61d,-0.5147556962822671
v03a,CVX,corr_ema20_sma50_199d,corr_sma50_sma200_199d,0.5077086819186271
