model,ticker,x,y,r
version_1b,AMD,above_sd_ret5d_3M,above_sd_ret5d_7M,0.9572391477661588
version_1b,AAPL,above_sd_ret5d_3M,above_sd_ret5d_7M,0.958440733814418
version_1b,FDX,above_sd_ret5d_3M,above_sd_ret5d_7M,0.963448387419279
version_1b,HAL,above_sd_ret5d_3M,above_sd_ret5d_7M,0.958308765309442
version_1b,PYPL,above_sd_ret5d_3M,above_sd_ret5d_7M,0.955905501344245
version_1b,CVX,above_sd_ret5d_3M,above_sd_ret5d_7M,0.9599154933050618
version_1b,AMD,corr_ema20_sma50_1Y,corr_sma50_sma200_199d,0.5794479205644426
version_1b,AAPL,corr_ema20_sma50_1Y,corr_sma50_sma200_199d,0.6629901049493981
version_1b,FDX,corr_ema20_sma50_1Y,corr_sma50_sma200_199d,0.6106251254402091
version_1b,HAL,corr_ema20_sma50_1Y,corr_sma50_sma200_199d,0.6204868022980112
version_1b,PYPL,corr_ema20_sma50_1Y,corr_sma50_sma200_199d,0.7040356845426944
version_1b,CVX,corr_ema20_sma50_1Y,corr_sma50_sma200_199d,0.6061040903093813
version_1b,HAL,ma_cross_l,volat_ret1d_63days,-0.5081419966163508
version_1b,PYPL,ma_cross_l,volat_ret1d_63days,-0.5248697618378032
version_1b,AMD,roll_sd_intra_day_3M,volat_ret1d_63days,0.8526070498472516
version_1b,AAPL,roll_sd_intra_day_3M,volat_ret1d_63days,0.8097293392667174
version_1b,FDX,roll_sd_intra_day_3M,volat_ret1d_63days,0.8455812858747082
version_1b,HAL,roll_sd_intra_day_3M,roll_sd_ret21d_1Y,0.5686078872985276
version_1b,HAL,roll_sd_intra_day_3M,volat_ret1d_63days,0.8931408014046999
version_1b,PYPL,roll_sd_intra_day_3M,volat_ret1d_63days,0.8279381114452657
version_1b,CVX,roll_sd_intra_day_3M,volat_ret1d_63days,0.9398704102765875
version_1b,AAPL,roll_sd_ret21d_1Y,volat_ret1d_63days,0.662480389674664
version_1b,FDX,roll_sd_ret21d_1Y,volat_ret1d_63days,0.6157289706955146
version_1b,HAL,roll_sd_ret21d_1Y,volat_ret1d_63days,0.7154166589408913
version_1b,PYPL,roll_sd_ret21d_1Y,volat_ret1d_63days,0.6513452744289716
version_1b,CVX,roll_sd_ret21d_1Y,volat_ret1d_63days,0.6330566567257517
version_1b,PYPL,volat_volu200_251days,roll_sd_ret21d_1Y,0.5540168294816287
version_1b,PYPL,volat_volu200_251days,ma_cross_l,-0.6194427247333787
version_1b,PYPL,volat_volu200_251days,volat_ret1d_63days,0.6056723683351535
version_1b,CVX,volat_volu200_251days,roll_sd_ret21d_1Y,0.6598728182112197
version_1b,AMD,volat_volu200_31days,volat_volu200_251days,0.5977402853580976
version_1b,AAPL,volat_volu200_31days,volat_volu200_251days,0.5007448676514704
