iter	MultiClass
0	1.098141565
1	1.09762048
2	1.097175394
3	1.096651853
4	1.096156093
5	1.095644448
6	1.095133903
7	1.094617067
8	1.094151963
9	1.093641001
10	1.093164529
11	1.092716263
12	1.092219765
13	1.091711336
14	1.091230466
15	1.090769552
16	1.090314387
17	1.089794381
18	1.089292904
19	1.088799639
20	1.088283105
21	1.08781317
22	1.087350395
23	1.08694216
24	1.086478088
25	1.085936462
26	1.085455652
27	1.08499047
28	1.084483267
29	1.083999923
30	1.083497848
31	1.082973628
32	1.082509293
33	1.081999592
34	1.081514519
35	1.08104753
36	1.0805858
37	1.080059014
38	1.079591481
39	1.079126164
40	1.078629067
41	1.07811899
42	1.077589636
43	1.077124545
44	1.07665536
45	1.076185375
46	1.075688887
47	1.075190989
48	1.074712668
49	1.074271011
50	1.073810975
51	1.073316444
52	1.072841039
53	1.072366613
54	1.071873892
55	1.071358278
56	1.070873296
57	1.070391299
58	1.069899596
59	1.069392644
60	1.068908084
61	1.068433699
62	1.067954427
63	1.067533156
64	1.067061403
65	1.066550438
66	1.066052533
67	1.065611096
68	1.065158024
69	1.064601003
70	1.064142484
71	1.063637805
72	1.063161959
73	1.062697391
74	1.062240965
75	1.061780142
76	1.061302198
77	1.060811667
78	1.060332359
79	1.059885497
80	1.059405884
81	1.058942353
82	1.058507965
83	1.058034773
84	1.057560538
85	1.057105816
86	1.056653321
87	1.056188828
88	1.055724211
89	1.05526414
90	1.054778327
91	1.054296947
92	1.0538457
93	1.053365113
94	1.052882655
95	1.052473964
96	1.052012109
97	1.051569877
98	1.051151729
99	1.050688529
100	1.050240771
101	1.049760551
102	1.049320341
103	1.048895532
104	1.048430559
105	1.047998759
106	1.047521924
107	1.047018722
108	1.04659091
109	1.046128384
110	1.045646709
111	1.045178714
112	1.044762401
113	1.044356662
114	1.043879599
115	1.043482722
116	1.043031167
117	1.042562242
118	1.042118404
119	1.041641394
120	1.041171195
121	1.040720387
122	1.040298901
123	1.039876238
124	1.039401114
125	1.038943044
126	1.038497888
127	1.038025148
128	1.037579807
129	1.037109718
130	1.036667154
131	1.036209686
132	1.0357743
133	1.03533297
134	1.034870062
135	1.034419823
136	1.033914843
137	1.033493257
138	1.033007983
139	1.032571908
140	1.032133093
141	1.031683971
142	1.03122691
143	1.030781486
144	1.030326126
145	1.029859021
146	1.02940793
147	1.029009127
148	1.02856241
149	1.028097459
150	1.027625328
151	1.027169841
152	1.026740738
153	1.026303942
154	1.025887718
155	1.025433076
156	1.025001336
157	1.02458929
158	1.024114098
159	1.023693041
160	1.023260305
161	1.022848645
162	1.022433673
163	1.022047822
164	1.021623938
165	1.021226664
166	1.020810912
167	1.02040621
168	1.019984582
169	1.019564572
170	1.019118247
171	1.01867762
172	1.018253972
173	1.017811695
174	1.017390458
175	1.016899592
176	1.01643515
177	1.015971746
178	1.015501241
179	1.015066842
180	1.014618258
181	1.014189906
182	1.013771795
183	1.01333165
184	1.012886603
185	1.012481267
186	1.012072035
187	1.011635559
188	1.011229953
189	1.010836309
190	1.010397768
191	1.009962101
192	1.009521496
193	1.009091931
194	1.008637885
195	1.008184549
196	1.007762685
197	1.007331598
198	1.00691368
199	1.006480486
200	1.006074225
201	1.005646862
202	1.005239452
203	1.004781029
204	1.004369248
205	1.003970066
206	1.003532173
207	1.003101122
208	1.002690416
209	1.002278734
210	1.00187447
211	1.001434415
212	1.0009926
213	1.000581007
214	1.000173731
215	0.9997838226
216	0.9993579233
217	0.9989663708
218	0.9985177509
219	0.9981360068
220	0.9976989232
221	0.9972137017
222	0.9968331623
223	0.9964365018
224	0.9960553786
225	0.995629753
226	0.9952111591
227	0.994814425
228	0.9944216875
229	0.9940492758
230	0.9936793997
231	0.9932633899
232	0.9928362073
233	0.9924203195
234	0.9919851701
235	0.9915979155
236	0.9911493371
237	0.9906986292
238	0.9902755516
239	0.9898430197
240	0.989461824
241	0.9890564191
242	0.9886329207
243	0.9882133441
244	0.9877853341
245	0.987382113
246	0.9869656043
247	0.9865335424
248	0.9861088986
249	0.9857181722
250	0.9853122449
251	0.9849283748
252	0.9845099001
253	0.9841077384
254	0.9837080912
255	0.9833201102
256	0.9829165401
257	0.9825004505
258	0.9820892931
259	0.9816718426
260	0.9812539332
261	0.98087127
262	0.9804563628
263	0.98009314
264	0.979678469
265	0.9792941683
266	0.9789192482
