features,rank,varimp
atr11_open,1,1.7107788086785012
atr17_open,6,1.349426514955209
roll_mean_ret1d_61d,8,3.99023916254584
roll_mean_ret5d_61d,9,5.777469012223039
roll_mean_ret5d_147d,7,2.741230119872481
roll_sd_ret1d_61d,15,3.050674194204275
roll_sd_ret1d_147d,0,1.472096084519782
roll_sd_ret5d_147d,14,1.595580279315519
roll_sd_ret5d_147d_lag5,13,1.473680006330087
roll_sd_ret5d_147d_lag11,4,1.5088420800986857
corr_rollSdRet5d3M_rollSdRet5d7M_229d,11,9.301149803897127
roll_sd_ret21d_251d,18,2.828074603670014
roll_sd_intraday_61d,5,3.600070278474571
roll_sd_intraday_251d,12,2.4297698394612803
roll_sd_ret21d_251d_lag7,2,1.954868849409128
roll_sd_ret21d_251d_lag19,19,1.6478792562691364
above_sd_sma199_251d,24,6.284938686635576
ma_cross_l,23,5.03672137696945
corr_ema20_sma50_199d,17,2.8510014280603593
corr_ema20_sma50_251d,22,4.114332399086136
corr_sma50_sma200_199d,3,7.5473093480830205
corr_sma50_sma200_101d,25,7.884130097821286
roll_sd_volu200_31d,16,5.071180034231003
roll_sd_volu200_251d,20,4.6578185593947214
roll_sd_volu200_251d_lag5,21,4.1565883507415515
roll_sd_volu200_251d_lag17,10,5.964150825052233
