.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,learn_rate,mtry,tree_depth,trees,min_n
Preprocessor1_Model12,0.9727272727272727,0.6026200873362445,0.7074235807860262,0.6026200873362445,0.5030181086519114,2.694732551158256e-4,15,7,439,24
Preprocessor1_Model18,0.9272727272727274,0.5914893617021276,0.6936170212765957,0.6069868995633187,0.482897384305835,1.889631369235275e-4,16,7,626,23
Preprocessor1_Model19,0.9022727272727273,0.5879828326180258,0.6909871244635193,0.5982532751091703,0.5070422535211268,1.4084518228882407e-4,14,5,502,22
Preprocessor1_Model22,0.8318181818181818,0.5822784810126582,0.6835443037974683,0.6026200873362445,0.49295774647887325,3.220653976077995e-4,13,5,539,26
Preprocessor1_Model17,0.8159090909090909,0.5862068965517241,0.6896551724137931,0.5938864628820961,0.4768611670020121,1.8225883129292756e-4,16,6,414,23
Preprocessor1_Model15,0.7795454545454545,0.5805084745762712,0.6822033898305084,0.5982532751091703,0.48490945674044267,1.1836098796338206e-4,15,7,586,29
Preprocessor1_Model13,0.6659090909090909,0.5714285714285714,0.6645021645021645,0.5764192139737991,0.4647887323943662,5.787538501337328e-4,15,7,734,27
Preprocessor1_Model10,0.6545454545454544,0.5689655172413793,0.6637931034482759,0.5764192139737991,0.4768611670020121,7.259436186040095e-4,15,5,661,25
Preprocessor1_Model23,0.625,0.5569620253164557,0.6540084388185654,0.5764192139737991,0.5010060362173038,0.0015554871016385634,12,6,651,17
Preprocessor1_Model08,0.6136363636363635,0.556,0.646,0.6069868995633187,0.4688128772635815,0.001004808213422205,14,6,711,21
Preprocessor1_Model02,0.5409090909090909,0.5638766519823789,0.6563876651982379,0.5589519650655022,0.4567404426559356,3.997521348465543e-4,16,7,513,20
Preprocessor1_Model11,0.49090909090909096,0.55,0.64375,0.5764192139737991,0.46277665995975853,0.0012800904424485242,13,6,461,22
Preprocessor1_Model21,0.47045454545454546,0.5443037974683544,0.6455696202531646,0.5633187772925764,0.4708249496981891,0.003951000743865497,13,6,428,25
Preprocessor1_Model03,0.40681818181818186,0.54216867469879515,0.6365461847389559,0.5895196506550219,0.4426559356136821,0.002480473494506431,17,6,483,21
Preprocessor1_Model16,0.34545454545454546,0.5427350427350427,0.6346153846153846,0.5545851528384279,0.45271629778672035,4.2609773004811073e-4,13,8,624,18
Preprocessor1_Model06,0.3159090909090909,0.5308641975308642,0.6275720164609053,0.5633187772925764,0.4607645875251509,0.0021666304137363357,16,8,597,26
Preprocessor1_Model04,0.3090909090909091,0.532520325203252,0.6260162601626016,0.5720524017467249,0.4305835010060362,8.921679689661353e-4,17,8,764,18
Preprocessor1_Model05,0.23409090909090907,0.5269709543568465,0.6244813278008299,0.5545851528384279,0.4567404426559356,0.0018786067312280678,14,6,714,27
Preprocessor1_Model09,0.16136363636363638,0.502092050209205,0.606694560669456,0.5240174672489083,0.4386317907444668,0.0030657027954829577,15,7,680,28
Preprocessor1_Model01,0.12272727272727273,0.5,0.6065573770491803,0.5327510917030568,0.42857142857142855,0.007518411582733334,14,6,560,19
Preprocessor1_Model14,0.1,0.4961832061068702,0.5973282442748091,0.5676855895196506,0.4225352112676056,0.005710528950969131,12,7,797,20
Preprocessor1_Model20,0.09772727272727273,0.4980392156862745,0.6039215686274509,0.5545851528384279,0.42857142857142855,0.004714716580695724,13,5,553,19
Preprocessor1_Model07,0.006818181818181818,0.491869918699187,0.5955284552845529,0.5283842794759825,0.4104627766599598,0.00933935185776482,16,8,767,28
