.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,learn_rate,mtry,tree_depth,trees,min_n
Preprocessor1_Model22,0.9363636363636364,0.44385026737967914,0.5240641711229946,0.4689265536723164,0.4607645875251509,0.0033970713616415784,13,8,482,23
Preprocessor1_Model21,0.9090909090909091,0.4426229508196721,0.5273224043715847,0.4576271186440678,0.4688128772635815,4.909716614710467e-4,15,7,789,29
Preprocessor1_Model10,0.8818181818181818,0.4421052631578947,0.5210526315789473,0.4745762711864407,0.45472837022132795,0.006013279998233903,15,5,631,18
Preprocessor1_Model08,0.7954545454545455,0.43,0.515,0.4858757062146893,0.45875251509054327,2.152231393871714e-4,13,7,657,19
Preprocessor1_Model13,0.7704545454545455,0.43915343915343913,0.5185185185185185,0.4689265536723164,0.45271629778672035,0.004187852624298203,16,6,503,19
Preprocessor1_Model18,0.7704545454545455,0.43915343915343913,0.5185185185185185,0.4689265536723164,0.45271629778672035,0.005331068293632331,16,5,418,20
Preprocessor1_Model11,0.7454545454545454,0.43315508021390375,0.516042780748663,0.4576271186440678,0.4567404426559356,0.0013497566985329224,14,7,687,22
Preprocessor1_Model07,0.6136363636363635,0.42245989304812837,0.5053475935828877,0.4463276836158192,0.4567404426559356,2.667518857647105e-4,14,7,550,28
Preprocessor1_Model05,0.5840909090909091,0.4230769230769231,0.5054945054945055,0.4350282485875706,0.4507042253521127,0.001748946500810908,12,7,696,25
Preprocessor1_Model17,0.5840909090909091,0.42346938775510207,0.5025510204081632,0.4689265536723164,0.4346076458752515,0.009225806017930853,17,5,416,23
Preprocessor1_Model20,0.5386363636363636,0.421875,0.5026041666666666,0.4576271186440678,0.448692152917505,1.5971939773328203e-4,13,6,510,24
Preprocessor1_Model03,0.48863636363636365,0.41361256544502617,0.5052356020942408,0.4463276836158192,0.448692152917505,7.863221184306716e-4,15,6,532,17
Preprocessor1_Model15,0.4568181818181818,0.4117647058823529,0.49264705882352944,0.4745762711864407,0.43259557344064387,0.002644960981440789,17,6,574,25
Preprocessor1_Model04,0.4431818181818182,0.41397849462365593,0.5,0.4350282485875706,0.44064386317907445,5.415069297577277e-4,14,8,459,22
Preprocessor1_Model23,0.36590909090909085,0.40487804878048783,0.4853658536585366,0.4689265536723164,0.45472837022132795,0.002306122531293971,14,8,598,20
Preprocessor1_Model16,0.3,0.4052631578947368,0.4921052631578947,0.4350282485875706,0.4305835010060362,1.123204677102542e-4,16,6,730,24
Preprocessor1_Model02,0.26590909090909093,0.40804597701149425,0.4885057471264368,0.4011299435028249,0.43661971830985913,0.001619914191549605,12,6,613,28
Preprocessor1_Model19,0.2409090909090909,0.40437158469945356,0.4890710382513661,0.4180790960451977,0.43661971830985913,7.224726501811269e-4,15,7,667,21
Preprocessor1_Model14,0.1977272727272727,0.4,0.49166666666666664,0.4067796610169492,0.4426559356136821,3.9105115654632853e-4,14,7,746,27
Preprocessor1_Model06,0.13636363636363633,0.4,0.49166666666666664,0.4067796610169492,0.42052313883299797,2.840614845131981e-4,16,8,776,26
Preprocessor1_Model01,0.12727272727272726,0.39896373056994816,0.48704663212435234,0.4350282485875706,0.4225352112676056,0.007942400316048781,16,5,750,18
Preprocessor1_Model12,0.0590909090909091,0.3891891891891892,0.4783783783783784,0.4067796610169492,0.42857142857142855,9.14077420769192e-4,14,6,437,26
Preprocessor1_Model09,0.006818181818181818,0.3850267379679144,0.4732620320855615,0.4067796610169492,0.41851106639839036,1.4085073596876324e-4,13,7,580,27
