.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,learn_rate,mtry,tree_depth,trees,min_n
Preprocessor1_Model15,0.959090909090909,0.4897959183673469,0.6163265306122448,0.49586776859504134,0.3963782696177062,0.0017051021040636104,14,6,437,17
Preprocessor1_Model01,0.9500000000000001,0.47761194029850745,0.5932835820895522,0.5289256198347108,0.40643863179074446,1.048365692521395e-4,16,6,701,26
Preprocessor1_Model16,0.8727272727272727,0.4745098039215686,0.5980392156862745,0.5,0.3903420523138833,9.793772685700128e-4,14,8,547,28
Preprocessor1_Model05,0.7181818181818181,0.4701195219123506,0.5916334661354582,0.48760330578512395,0.3682092555331992,5.453687222116082e-4,17,7,776,22
Preprocessor1_Model20,0.7113636363636363,0.47520661157024796,0.5867768595041323,0.47520661157024796,0.358148893360161,0.009847045483417697,13,6,660,23
Preprocessor1_Model21,0.6636363636363636,0.46875,0.5859375,0.49586776859504134,0.3682092555331992,3.595264763347896e-4,15,6,575,25
Preprocessor1_Model23,0.6613636363636364,0.4596774193548387,0.5987903225806451,0.47107438016528924,0.39235412474849096,6.535915422643507e-4,15,5,560,22
Preprocessor1_Model10,0.6272727272727273,0.4618320610687023,0.5820610687022901,0.5,0.37424547283702214,1.9271939050896736e-4,13,7,670,28
Preprocessor1_Model06,0.6136363636363636,0.4722222222222222,0.5925925925925926,0.4214876033057851,0.352112676056338,0.007775782669930278,17,7,459,18
Preprocessor1_Model09,0.5613636363636364,0.46530612244897956,0.5795918367346938,0.47107438016528924,0.3722334004024145,3.144855399484261e-4,14,6,795,24
Preprocessor1_Model12,0.5386363636363637,0.4636363636363636,0.5886363636363636,0.4214876033057851,0.36217303822937624,0.005283771998248237,15,7,427,18
Preprocessor1_Model04,0.5090909090909091,0.4559386973180077,0.5804597701149425,0.49173553719008267,0.3762575452716298,1.6514678547461191e-4,12,8,636,26
Preprocessor1_Model22,0.5,0.4566929133858268,0.5807086614173228,0.4793388429752066,0.37424547283702214,7.464755936966649e-4,15,6,480,21
Preprocessor1_Model02,0.475,0.4579831932773109,0.5882352941176471,0.45041322314049587,0.3561368209255533,0.0012528085364856415,16,5,539,23
Preprocessor1_Model19,0.47045454545454546,0.45525291828793774,0.5817120622568094,0.4834710743801653,0.37424547283702214,1.4277666866873405e-4,12,7,498,20
Preprocessor1_Model03,0.325,0.45318352059925093,0.5711610486891385,0.5,0.36619718309859156,4.1263396845262753e-4,17,6,411,28
Preprocessor1_Model13,0.29772727272727273,0.45454545454545453,0.5863636363636363,0.4132231404958678,0.3460764587525151,0.002326138088876646,16,5,750,20
Preprocessor1_Model17,0.25227272727272726,0.45374449339207046,0.5748898678414097,0.4256198347107438,0.3561368209255533,0.002504256283053268,15,8,736,19
Preprocessor1_Model07,0.2409090909090909,0.44921875,0.572265625,0.47520661157024796,0.3682092555331992,2.4366143106397648e-4,12,7,601,25
Preprocessor1_Model14,0.18863636363636363,0.4533898305084746,0.5699152542372882,0.44214876033057854,0.33400402414486924,0.001545683266179072,16,7,625,24
Preprocessor1_Model18,0.12045454545454545,0.4497816593886463,0.5676855895196506,0.4256198347107438,0.3420523138832998,0.006022366134043819,14,8,508,21
Preprocessor1_Model11,0.10681818181818181,0.44871794871794873,0.5662393162393162,0.43388429752066116,0.3561368209255533,0.003958186834145925,13,6,725,27
Preprocessor1_Model08,0.006818181818181818,0.4424778761061947,0.5619469026548672,0.4132231404958678,0.3420523138832998,0.0035686392688887934,13,5,684,20
