.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_acc,learn_rate,mtry,tree_depth,trees,min_n
Preprocessor1_Model04,1,0.46122448979591835,0.5653061224489796,0.5854922279792746,0.45875251509054327,0.001963110510423531,16,6,636,19
Preprocessor1_Model03,0.9454545454545455,0.45643153526970953,0.533195020746888,0.5699481865284974,0.44064386317907445,1.1067547487705153e-4,16,7,769,28
Preprocessor1_Model13,0.7772727272727272,0.43089430894308944,0.5203252032520326,0.5492227979274611,0.42655935613682094,4.678589386799897e-4,14,7,621,27
Preprocessor1_Model08,0.740909090909091,0.4274193548387097,0.5201612903225806,0.5492227979274611,0.4225352112676056,3.6131140580984445e-4,13,7,687,27
Preprocessor1_Model02,0.7363636363636363,0.42738589211618255,0.5311203319502075,0.533678756476684,0.3963782696177062,0.006648514023347059,17,6,751,23
Preprocessor1_Model01,0.7272727272727273,0.42248062015503873,0.5174418604651163,0.56476683937823835,0.42655935613682094,2.342294242374608e-4,17,6,794,24
Preprocessor1_Model12,0.6318181818181818,0.4166666666666667,0.5208333333333334,0.5181347150259067,0.4084507042253521,0.0040820699255765406,14,7,671,24
Preprocessor1_Model23,0.6272727272727273,0.3957597173144876,0.5300353356890459,0.5803108808290155,0.3963782696177062,0.009307323075565598,12,6,400,20
Preprocessor1_Model11,0.6090909090909091,0.4126984126984127,0.5257936507936508,0.538860103626943,0.39235412474849096,0.0072278801180639205,14,7,744,19
Preprocessor1_Model06,0.5954545454545455,0.40756302521008403,0.5252100840336135,0.5025906735751295,0.42052313883299797,0.0015420109821623052,15,5,601,18
Preprocessor1_Model14,0.55,0.4166666666666667,0.5125,0.5181347150259067,0.40040241448692154,7.210474836151136e-4,13,6,499,29
Preprocessor1_Model19,0.5181818181818182,0.41201716738197425,0.5257510729613734,0.49740932642487046,0.39436619718309857,0.001140753874432533,14,6,462,26
Preprocessor1_Model05,0.49090909090909096,0.40562248995983935,0.5060240963855421,0.5233160621761658,0.4104627766599598,3.15333095692939e-4,15,7,713,25
Preprocessor1_Model17,0.4818181818181818,0.401673640167364,0.5209205020920502,0.49740932642487046,0.40040241448692154,0.004678027692560248,16,6,419,22
Preprocessor1_Model21,0.3590909090909091,0.3991769547325103,0.5123456790123457,0.5025906735751295,0.39436619718309857,0.00106203266161278,16,8,451,26
Preprocessor1_Model15,0.35909090909090907,0.40772532188841204,0.5085836909871244,0.49222797927461137,0.39436619718309857,8.198101852882845e-4,13,5,530,28
Preprocessor1_Model20,0.26363636363636367,0.38671875,0.501953125,0.5129533678756477,0.39235412474849096,1.313545968674228e-4,15,7,655,22
Preprocessor1_Model16,0.23636363636363636,0.3922413793103448,0.5086206896551724,0.47150259067357514,0.386317907444668,0.002157330355154739,15,7,707,25
Preprocessor1_Model09,0.21363636363636365,0.38626609442060084,0.49141630901287553,0.46632124352331605,0.4024144869215292,1.6300864081613312e-4,13,5,570,21
Preprocessor1_Model10,0.19545454545454544,0.38645418326693226,0.49800796812749004,0.5025906735751295,0.39235412474849096,1.8751243169783495e-4,14,6,556,22
Preprocessor1_Model07,0.16363636363636366,0.3799126637554585,0.4868995633187773,0.45077720207253885,0.4084507042253521,5.312240965958006e-4,16,8,512,18
Preprocessor1_Model18,0.1090909090909091,0.3852813852813853,0.5,0.46113989637305697,0.386317907444668,0.003451235570649683,14,7,587,18
Preprocessor1_Model22,0,0.3665158371040724,0.48642533936651583,0.41968911917098445,0.38028169014084506,0.002520923829908958,12,8,470,20
