.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_acc,learn_rate,mtry,tree_depth,trees,min_n
Preprocessor1_Model06,0.990909090909091,0.5576036866359447,0.6428571428571429,0.5,0.4305835010060362,1.0592044491100157e-4,15,6,458,29
Preprocessor1_Model23,0.9181818181818182,0.5267489711934157,0.6090534979423868,0.5289256198347108,0.3983903420523139,0.0029660345239177622,12,7,770,21
Preprocessor1_Model22,0.8727272727272728,0.5416666666666666,0.6226851851851852,0.4834710743801653,0.3843058350100604,3.680003998503121e-4,15,8,694,25
Preprocessor1_Model08,0.8136363636363636,0.49356223175965663,0.5987124463519313,0.47520661157024796,0.4104627766599598,0.008582640383836698,13,8,626,18
Preprocessor1_Model21,0.7909090909090909,0.5114155251141552,0.6073059360730594,0.4628099173553719,0.3843058350100604,2.536998165387355e-4,16,5,637,25
Preprocessor1_Model05,0.6454545454545455,0.4976303317535545,0.5947867298578199,0.43388429752066116,0.3782696177062374,4.6287977978277885e-4,15,8,555,27
Preprocessor1_Model15,0.6454545454545454,0.49130434782608695,0.5847826086956521,0.4669421487603306,0.40040241448692154,0.006453849696910643,17,8,677,27
Preprocessor1_Model07,0.640909090909091,0.51010101010101,0.5984848484848485,0.41735537190082644,0.3702213279678068,6.057194644447476e-4,13,6,798,27
Preprocessor1_Model20,0.5954545454545455,0.49261083743842365,0.5911330049261084,0.4132231404958678,0.3903420523138833,0.006897130476026513,13,7,421,21
Preprocessor1_Model19,0.5727272727272728,0.49065420560747663,0.5911214953271028,0.43388429752066116,0.386317907444668,0.0030709799516712793,16,7,558,22
Preprocessor1_Model14,0.5681818181818181,0.5046296296296297,0.5902777777777778,0.45041322314049587,0.35412474849094566,0.0013098904962323605,13,6,477,26
Preprocessor1_Model12,0.5227272727272727,0.48598130841121495,0.5911214953271028,0.4297520661157025,0.3822937625754527,1.3689165879429599e-4,15,7,704,24
Preprocessor1_Model02,0.44545454545454544,0.4692982456140351,0.581140350877193,0.44214876033057854,0.39436619718309857,0.005227898424973621,14,6,745,19
Preprocessor1_Model10,0.4272727272727273,0.4827586206896552,0.5812807881773399,0.4049586776859504,0.39436619718309857,1.5243659501964083e-4,16,7,537,19
Preprocessor1_Model04,0.4181818181818182,0.4811320754716981,0.5872641509433962,0.4214876033057851,0.3682092555331992,1.9774627651246608e-4,14,7,645,24
Preprocessor1_Model09,0.3772727272727273,0.4925373134328358,0.5771144278606966,0.4090909090909091,0.3641851106639839,7.99598093279875e-4,12,6,498,28
Preprocessor1_Model11,0.3090909090909091,0.47161572052401746,0.5676855895196506,0.4462809917355372,0.3561368209255533,0.0013818723288064724,13,7,583,23
Preprocessor1_Model01,0.2863636363636364,0.48223350253807107,0.5786802030456852,0.3925619834710744,0.36016096579476864,6.142871285041007e-4,14,6,408,20
Preprocessor1_Model16,0.2090909090909091,0.4803921568627451,0.5661764705882353,0.4049586776859504,0.358148893360161,0.002460635158665782,17,6,595,26
Preprocessor1_Model18,0.14545454545454545,0.46543778801843316,0.5576036866359447,0.41735537190082644,0.3460764587525151,0.001861792999849066,14,6,510,23
Preprocessor1_Model17,0.12727272727272726,0.43859649122807015,0.5592105263157895,0.4132231404958678,0.358148893360161,0.004330823085006449,16,7,718,17
Preprocessor1_Model03,0.07727272727272727,0.45685279187817257,0.565989847715736,0.371900826446281,0.3440643863179074,2.793307117971397e-4,14,5,765,19
Preprocessor1_Model13,0.022727272727272728,0.44075829383886256,0.542654028436019,0.384297520661157,0.3380281690140845,0.0010675871543172888,17,5,438,20
