.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_acc,learn_rate,mtry,tree_depth,trees,min_n
Preprocessor1_Model22,1,0.5035211267605634,0.6197183098591549,0.6559633027522935,0.4788732394366197,0.006510430092024726,13,7,520,27
Preprocessor1_Model05,0.9454545454545455,0.4962962962962963,0.6148148148148148,0.6146788990825688,0.4688128772635815,0.0017542752825290785,13,5,423,28
Preprocessor1_Model09,0.8363636363636363,0.49070631970260226,0.5929368029739777,0.6055045871559633,0.45271629778672035,0.0026395211909297145,15,8,639,24
Preprocessor1_Model01,0.8045454545454545,0.4904214559386973,0.603448275862069,0.5871559633027523,0.44466800804828976,1.9298299719555504e-4,16,8,719,25
Preprocessor1_Model18,0.7818181818181819,0.48314606741573035,0.599250936329588,0.591743119266055,0.44668008048289737,6.035484359786183e-4,17,5,773,25
Preprocessor1_Model15,0.75,0.48698884758364314,0.5892193308550185,0.6009174311926605,0.4507042253521127,0.0023173741428421497,15,7,672,22
Preprocessor1_Model13,0.7363636363636363,0.48188405797101447,0.592391304347826,0.6100917431192661,0.448692152917505,0.0014917159048579826,16,7,754,26
Preprocessor1_Model23,0.7272727272727273,0.4753521126760563,0.5933098591549296,0.6192660550458715,0.448692152917505,0.003459515951703831,14,6,612,29
Preprocessor1_Model19,0.6590909090909092,0.4770992366412214,0.5973282442748091,0.573394495412844,0.4426559356136821,8.849624086599438e-4,16,6,455,28
Preprocessor1_Model10,0.5636363636363636,0.48249027237354086,0.5817120622568094,0.5688073394495413,0.4305835010060362,0.004752068921944461,14,5,683,19
Preprocessor1_Model11,0.5272727272727272,0.47619047619047616,0.5892857142857143,0.5504587155963303,0.4225352112676056,0.0013289981250929044,17,7,495,20
Preprocessor1_Model17,0.4681818181818182,0.472,0.586,0.5412844036697247,0.43259557344064387,2.969817902417786e-4,14,6,545,22
Preprocessor1_Model07,0.4636363636363636,0.4805194805194805,0.5887445887445888,0.5091743119266054,0.4124748490945674,4.621440782373882e-4,16,6,413,18
Preprocessor1_Model16,0.4363636363636364,0.4674329501915709,0.5804597701149425,0.5596330275229358,0.4245472837022133,1.6632291390381436e-4,16,6,474,24
Preprocessor1_Model21,0.36818181818181817,0.46296296296296297,0.5796296296296296,0.573394495412844,0.4084507042253521,3.726519621717452e-4,14,7,587,23
Preprocessor1_Model02,0.35000000000000003,0.46303501945525294,0.5739299610894941,0.5458715596330275,0.4164989939637827,1.0023024689672101e-4,15,7,524,22
Preprocessor1_Model20,0.3318181818181818,0.45161290322580644,0.5627240143369175,0.5779816513761468,0.41851106639839036,2.2919714664480897e-4,12,5,786,27
Preprocessor1_Model06,0.2636363636363636,0.45849802371541504,0.5711462450592886,0.5321100917431193,0.4024144869215292,6.361108302299064e-4,13,8,562,20
Preprocessor1_Model03,0.14545454545454545,0.44715447154471544,0.5589430894308943,0.5045871559633027,0.40040241448692154,1.439396294068158e-4,13,6,736,21
Preprocessor1_Model14,0.13636363636363635,0.44813278008298757,0.5518672199170125,0.4954128440366973,0.40040241448692154,0.003956752653291165,14,7,443,18
Preprocessor1_Model04,0.10454545454545454,0.44537815126050423,0.5672268907563025,0.48623853211009177,0.38028169014084506,0.0010524756102801573,13,6,652,17
Preprocessor1_Model12,0.03636363636363636,0.4351464435146444,0.5481171548117155,0.47706422018348627,0.3843058350100604,0.008490987351222291,12,7,710,19
Preprocessor1_Model08,0.027272727272727275,0.424,0.54,0.48623853211009177,0.39235412474849096,0.007215833915689872,15,8,594,24
