.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model03,0.95,0.5464788732394367,0.6676056338028169,0.4720194647201946,0.64,12,9,457,24,0.0030482433815886257
Preprocessor1_Model10,0.8444444444444443,0.5378787878787878,0.6452020202020202,0.5182481751824818,0.6371428571428571,13,6,752,28,8.588545765476918e-4
Preprocessor1_Model02,0.8111111111111112,0.5327313769751693,0.6580135440180587,0.5742092457420924,0.6361904761904762,16,6,662,29,5.3499891412908e-4
Preprocessor1_Model04,0.6611111111111111,0.5316091954022989,0.6652298850574713,0.45012165450121655,0.6295238095238095,15,8,639,22,0.008366426168973495
Preprocessor1_Model07,0.5888888888888889,0.49504950495049505,0.6212871287128713,0.48661800486618007,0.6047619047619047,13,7,537,26,1.5679338491393586e-4
Preprocessor1_Model06,0.4111111111111111,0.47354497354497355,0.6190476190476191,0.43552311435523117,0.5895238095238096,16,9,431,19,0.004180950590587046
Preprocessor1_Model01,0.2833333333333333,0.47043010752688175,0.5994623655913979,0.4257907542579075,0.5876190476190476,14,8,761,25,0.0014143251369388224
Preprocessor1_Model05,0.23888888888888887,0.45012165450121655,0.5924574209245742,0.45012165450121655,0.5695238095238095,17,8,715,20,0.0018594481703044607
Preprocessor1_Model09,0.1611111111111111,0.4269406392694064,0.5810502283105022,0.45498783454987834,0.5476190476190477,15,7,496,18,3.658713427035111e-4
Preprocessor1_Model08,0,0.4227053140096618,0.5688405797101449,0.4257907542579075,0.5476190476190477,14,7,596,21,1.8374797081777125e-4
