.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model04,0.95,0.4662576687116564,0.6012269938650306,0.31275720164609055,0.758095238095238,15,9,624,18,0.0037032271748287386
Preprocessor1_Model01,0.8277777777777777,0.41743119266055045,0.5504587155963303,0.37448559670781895,0.7342857142857143,17,7,501,20,7.113062026129932e-4
Preprocessor1_Model08,0.7944444444444445,0.4129353233830846,0.5646766169154229,0.34156378600823045,0.7352380952380952,12,9,556,19,0.006018133274102324
Preprocessor1_Model03,0.6444444444444444,0.3875,0.58125,0.2551440329218107,0.7342857142857143,13,7,779,29,0.007550606101912261
Preprocessor1_Model05,0.6055555555555555,0.3662551440329218,0.5185185185185185,0.3662551440329218,0.7066666666666667,15,8,571,26,1.6985436750698387e-4
Preprocessor1_Model10,0.4444444444444444,0.3148148148148148,0.4791666666666667,0.27983539094650206,0.6923809523809524,14,8,726,24,1.0410721092600898e-4
Preprocessor1_Model02,0.28888888888888886,0.30357142857142855,0.45982142857142855,0.27983539094650206,0.6847619047619048,14,7,659,22,5.152101034652396e-4
Preprocessor1_Model07,0.25555555555555554,0.30275229357798167,0.463302752293578,0.2716049382716049,0.6866666666666666,16,7,414,22,0.0011186289190420224
Preprocessor1_Model06,0.15555555555555556,0.2890995260663507,0.47393364928909953,0.25102880658436216,0.6838095238095238,13,8,462,28,0.001838151333917183
Preprocessor1_Model09,0,0.19745222929936307,0.3885350318471338,0.12757201646090535,0.6780952380952381,16,6,689,25,2.6821691182642057e-4
