.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model08,0.9111111111111112,0.34285714285714286,0.48392857142857143,0.34532374100719426,0.5694117647058824,15,8,408,21,4.32651738214492e-4
Preprocessor1_Model10,0.8777777777777778,0.323943661971831,0.49765258215962443,0.24820143884892087,0.5847058823529412,16,9,504,17,1.7589277844163735e-4
Preprocessor1_Model01,0.7277777777777779,0.3108108108108108,0.4774774774774775,0.24820143884892087,0.5741176470588235,14,8,682,26,1.0520181177131023e-4
Preprocessor1_Model09,0.6277777777777778,0.3076923076923077,0.45913461538461536,0.2302158273381295,0.5788235294117647,13,7,571,24,0.0019784622783829667
Preprocessor1_Model07,0.5944444444444444,0.3021276595744681,0.46382978723404256,0.25539568345323743,0.5635294117647058,12,7,560,28,9.751925278050552e-4
Preprocessor1_Model02,0.47222222222222215,0.3015075376884422,0.4371859296482412,0.2158273381294964,0.58,17,8,603,28,0.0015479173691669101
Preprocessor1_Model06,0.42222222222222217,0.30078125,0.453125,0.27697841726618705,0.5529411764705883,15,9,728,25,3.680198537007342e-4
Preprocessor1_Model05,0.18888888888888888,0.2576419213973799,0.39737991266375544,0.21223021582733814,0.5423529411764706,14,7,640,18,0.009855769660265877
Preprocessor1_Model03,0.12777777777777777,0.2265193370165746,0.39502762430939226,0.1474820143884892,0.5564705882352942,16,6,473,20,0.004688496213609861
Preprocessor1_Model04,0.016666666666666666,0.21578947368421053,0.37105263157894736,0.1474820143884892,0.5458823529411765,13,6,795,22,0.0030393602263154244
