.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model06,0.9464285714285714,0.42934782608695654,0.5910326086956522,0.42934782608695654,0.6,14,8,564,29,1.5872791177174418e-4
Preprocessor1_Model12,0.8178571428571428,0.41625615763546797,0.5726600985221675,0.4592391304347826,0.5847619047619048,15,7,517,30,3.354674812398576e-4
Preprocessor1_Model10,0.7785714285714286,0.3922077922077922,0.5922077922077922,0.41032608695652173,0.5704761904761905,17,7,606,25,0.003164625512673564
Preprocessor1_Model05,0.7749999999999999,0.40607734806629836,0.5870165745856354,0.39945652173913043,0.5847619047619048,13,9,719,27,0.004056706710455001
Preprocessor1_Model02,0.7142857142857142,0.3981191222570533,0.5799373040752351,0.3451086956521739,0.5876190476190476,14,6,541,27,0.007529231304298511
Preprocessor1_Model13,0.6642857142857143,0.39086294416243655,0.5736040609137056,0.41847826086956524,0.5676190476190476,12,9,635,28,0.00101593095361634
Preprocessor1_Model09,0.625,0.38823529411764707,0.56,0.4483695652173913,0.559047619047619,12,7,734,26,2.3177347918103554e-4
Preprocessor1_Model01,0.48214285714285715,0.3746958637469586,0.5486618004866181,0.41847826086956524,0.5514285714285714,13,8,775,25,6.724924460742294e-4
Preprocessor1_Model04,0.4464285714285714,0.37857142857142856,0.5333333333333333,0.4320652173913043,0.5523809523809524,15,6,484,29,4.5641387254741466e-4
Preprocessor1_Model03,0.33928571428571425,0.35784313725490197,0.5392156862745098,0.3967391304347826,0.539047619047619,16,7,688,28,0.0012434558607107835
Preprocessor1_Model08,0.3357142857142857,0.3617021276595745,0.535904255319149,0.3695652173913043,0.5504761904761905,14,8,400,31,0.0018944184294818695
Preprocessor1_Model07,0.14999999999999997,0.327313769751693,0.5349887133182845,0.39402173913043476,0.5038095238095238,16,5,649,24,0.002403935574344627
Preprocessor1_Model14,0.1464285714285714,0.3442622950819672,0.5152224824355972,0.39945652173913043,0.5228571428571429,14,6,466,24,5.692105216337999e-4
Preprocessor1_Model11,0.1392857142857143,0.3401015228426396,0.5228426395939086,0.3641304347826087,0.5295238095238095,16,6,439,23,1.0816977571136587e-4
Preprocessor1_Model15,0.09999999999999999,0.32439678284182305,0.5348525469168901,0.328804347826087,0.5247619047619048,16,5,760,27,0.006863515206242704
