.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model15,0.9678571428571429,0.514018691588785,0.6378504672897196,0.28720626631853785,0.6409523809523809,17,5,702,27,9.736156579057348e-4
Preprocessor1_Model08,0.9285714285714286,0.43820224719101125,0.5599250936329588,0.30548302872062666,0.6038095238095238,12,5,683,28,0.0023031831908101787
Preprocessor1_Model06,0.8357142857142856,0.40370370370370373,0.5481481481481482,0.2845953002610966,0.5857142857142857,14,6,769,30,0.004487604622526568
Preprocessor1_Model03,0.8,0.3974358974358974,0.5336538461538461,0.3237597911227154,0.5742857142857143,12,8,435,31,0.006563937016628398
Preprocessor1_Model07,0.7178571428571429,0.3835616438356164,0.5085616438356164,0.2924281984334204,0.5704761904761905,17,6,417,28,0.00922883430510102
Preprocessor1_Model11,0.6785714285714286,0.3793103448275862,0.5,0.2584856396866841,0.5752380952380952,16,6,602,30,0.0019043881750915362
Preprocessor1_Model09,0.5214285714285714,0.36046511627906974,0.4689922480620155,0.24281984334203655,0.5666666666666667,15,6,579,24,0.0029873007852018224
Preprocessor1_Model01,0.5178571428571428,0.35564853556485354,0.4769874476987448,0.22193211488250653,0.5695238095238095,14,8,781,25,0.0014841521756913485
Preprocessor1_Model10,0.40714285714285714,0.332089552238806,0.4458955223880597,0.23237597911227154,0.5495238095238095,15,8,728,28,2.2018020619991003e-4
Preprocessor1_Model05,0.37499999999999994,0.32666666666666666,0.45,0.2558746736292428,0.5361904761904762,13,9,455,29,3.417004192818031e-4
Preprocessor1_Model04,0.24999999999999997,0.28378378378378377,0.42567567567567566,0.16449086161879894,0.5438095238095239,13,7,539,26,1.2888539203303152e-4
Preprocessor1_Model13,0.23214285714285712,0.28451882845188287,0.40376569037656906,0.17754569190600522,0.5371428571428571,16,7,531,24,5.453285816584412e-4
Preprocessor1_Model14,0.12857142857142856,0.26640926640926643,0.4111969111969112,0.1801566579634465,0.52,16,8,499,23,2.828059324659903e-4
Preprocessor1_Model02,0.12142857142857141,0.26693227091633465,0.40039840637450197,0.17493472584856398,0.5238095238095238,14,9,661,26,1.7748168989866712e-4
Preprocessor1_Model12,0.017857142857142856,0.25,0.3792372881355932,0.15404699738903394,0.5228571428571429,13,7,623,27,7.00553386507546e-4
