.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model08,0.9611111111111111,0.5533980582524272,0.6909385113268608,0.4318181818181818,0.6542857142857142,16,9,559,26,0.0030145257764815653
Preprocessor1_Model05,0.8555555555555555,0.5372168284789643,0.6909385113268608,0.41919191919191917,0.6447619047619048,15,6,432,28,8.283766262754071e-4
Preprocessor1_Model02,0.7055555555555556,0.5263157894736842,0.6611842105263158,0.40404040404040403,0.638095238095238,14,7,500,18,0.0010009108016318588
Preprocessor1_Model09,0.6055555555555556,0.5211267605633803,0.6901408450704225,0.37373737373737376,0.6342857142857142,13,7,582,27,0.009532355838646145
Preprocessor1_Model10,0.5499999999999999,0.4858757062146893,0.6426553672316384,0.43434343434343436,0.6133333333333333,13,9,473,23,0.004284134253785679
Preprocessor1_Model07,0.5277777777777778,0.5015105740181269,0.6102719033232629,0.41919191919191917,0.6238095238095238,15,8,733,24,1.7659701042796274e-4
Preprocessor1_Model01,0.38888888888888884,0.4796511627906977,0.6380813953488372,0.4166666666666667,0.6095238095238096,16,6,693,25,0.00242283398510495
Preprocessor1_Model04,0.16666666666666666,0.4476744186046512,0.5988372093023255,0.3888888888888889,0.5885714285714285,17,8,641,20,3.629198441302223e-4
Preprocessor1_Model03,0.14444444444444443,0.4692556634304207,0.5760517799352751,0.3661616161616162,0.6047619047619047,14,7,614,21,1.2063722945941091e-4
Preprocessor1_Model06,0.05555555555555555,0.4257142857142857,0.5928571428571429,0.37626262626262624,0.5733333333333334,12,8,787,18,5.436996388945908e-4
