.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model09,1,0.4108527131782946,0.5322997416020672,0.4847560975609756,0.621904761904762,14,8,700,18,1.1567893796867105e-4
Preprocessor1_Model10,0.8666666666666666,0.40106951871657753,0.5093582887700535,0.4573170731707317,0.6171428571428571,15,8,555,19,2.4557483730709576e-4
Preprocessor1_Model02,0.7555555555555556,0.3864864864864865,0.5027027027027027,0.43597560975609756,0.6076190476190476,14,9,458,21,5.833955160855195e-4
Preprocessor1_Model06,0.711111111111111,0.3806970509383378,0.5093833780160858,0.4329268292682927,0.6028571428571429,16,7,506,20,3.5653563709480904e-4
Preprocessor1_Model08,0.5388888888888889,0.3324175824175824,0.4684065934065934,0.36890243902439024,0.5714285714285714,12,6,745,25,0.0068984988352648186
Preprocessor1_Model07,0.42777777777777776,0.3054187192118227,0.45689655172413796,0.3780487804878049,0.5371428571428571,17,8,413,22,0.002297958897855367
Preprocessor1_Model01,0.31666666666666665,0.3035143769968051,0.44568690095846647,0.2896341463414634,0.5704761904761905,16,7,795,28,0.004198574983186532
Preprocessor1_Model03,0.20555555555555555,0.2864721485411141,0.43103448275862066,0.32926829268292684,0.5342857142857143,15,9,623,24,0.0012813648550090452
Preprocessor1_Model05,0.10555555555555554,0.2818181818181818,0.41363636363636364,0.28353658536585363,0.5504761904761905,13,7,657,27,0.0031189574305840683
Preprocessor1_Model04,0.07222222222222222,0.2769607843137255,0.4264705882352941,0.3445121951219512,0.5142857142857142,13,6,585,26,7.196580266239894e-4
