.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model06,1,0.36752136752136755,0.41025641025641024,0.4942528735632184,0.6066666666666667,14,7,675,18,0.001693670961373663
Preprocessor1_Model04,0.8555555555555555,0.34234234234234234,0.36936936936936937,0.4367816091954023,0.5933333333333334,12,9,708,26,0.0076224373491317506
Preprocessor1_Model02,0.7944444444444445,0.34146341463414637,0.36585365853658536,0.4827586206896552,0.58,16,8,538,21,0.0014758008951319228
Preprocessor1_Model01,0.611111111111111,0.3185840707964602,0.336283185840708,0.41379310344827586,0.5733333333333334,16,8,771,28,0.002660481715540635
Preprocessor1_Model05,0.5777777777777777,0.3064516129032258,0.3467741935483871,0.4367816091954023,0.55,14,6,723,19,9.888223837488878e-4
Preprocessor1_Model03,0.3722222222222222,0.2777777777777778,0.32142857142857145,0.40229885057471265,0.5233333333333333,17,9,597,22,2.4345934034170386e-4
Preprocessor1_Model08,0.33888888888888885,0.27205882352941174,0.3272058823529412,0.42528735632183906,0.5033333333333333,15,6,445,20,1.438524088901035e-4
Preprocessor1_Model10,0.21666666666666667,0.2653061224489796,0.30612244897959184,0.2988505747126437,0.5566666666666666,15,7,489,27,0.0050464843118236185
Preprocessor1_Model09,0.13333333333333333,0.26515151515151514,0.3068181818181818,0.40229885057471265,0.5033333333333333,13,8,405,23,4.370101956383347e-4
Preprocessor1_Model07,0.05,0.26229508196721313,0.30327868852459017,0.367816091954023,0.5166666666666667,13,7,616,25,3.5546528387089696e-4
