.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model11,0.95,0.391705069124424,0.5506912442396313,0.44386422976501305,0.5457142857142857,13,5,787,26,1.003432155114353e-4
Preprocessor1_Model01,0.9035714285714286,0.378099173553719,0.5557851239669421,0.47780678851174935,0.5228571428571429,13,5,568,30,0.0023468959252244776
Preprocessor1_Model03,0.8285714285714286,0.3903061224489796,0.5318877551020408,0.39947780678851175,0.5533333333333333,17,6,450,29,4.0506732429590757e-4
Preprocessor1_Model14,0.7178571428571427,0.34564643799472294,0.5448548812664907,0.34203655352480417,0.5238095238095238,13,9,598,30,0.00781725536828492
Preprocessor1_Model10,0.5392857142857143,0.33849557522123896,0.5320796460176991,0.39947780678851175,0.4961904761904762,16,8,526,31,0.0018879564882417878
Preprocessor1_Model02,0.4607142857142857,0.33978494623655914,0.5172043010752688,0.412532637075718,0.49333333333333335,12,8,718,24,5.2292349554086e-4
Preprocessor1_Model06,0.4285714285714286,0.3418013856812933,0.5103926096997691,0.38642297650130547,0.5047619047619047,17,8,407,23,2.1138379351649884e-4
Preprocessor1_Model04,0.4214285714285714,0.3361522198731501,0.5200845665961945,0.4151436031331593,0.4876190476190476,14,6,458,27,0.0012476411669667899
Preprocessor1_Model08,0.41428571428571426,0.33505154639175255,0.5309278350515464,0.3394255874673629,0.5133333333333333,14,8,642,27,0.005057828520775067
Preprocessor1_Model09,0.4107142857142857,0.33867276887871856,0.5137299771167048,0.38642297650130547,0.5009523809523809,15,7,635,28,2.7372306174235425e-4
Preprocessor1_Model07,0.4035714285714285,0.3393258426966292,0.5123595505617977,0.39425587467362927,0.4990476190476191,14,7,721,25,1.5283008975424097e-4
Preprocessor1_Model12,0.3214285714285714,0.3355408388520971,0.5198675496688742,0.3968668407310705,0.49333333333333335,16,6,677,24,0.0010491414589548318
Preprocessor1_Model05,0.31785714285714284,0.33263157894736844,0.5252631578947369,0.412532637075718,0.4838095238095238,13,9,494,28,0.002941676697358394
Preprocessor1_Model13,0.2928571428571428,0.3355855855855856,0.5135135135135135,0.38903394255874674,0.4961904761904762,15,7,766,25,8.325512933419453e-4
Preprocessor1_Model15,0.021428571428571425,0.3117782909930716,0.5092378752886836,0.3524804177545692,0.48,15,7,538,27,0.006816352848561656
