mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
15,407,28,7,4.5796647012511085e-4,18.099361324137664,rmse,standard,0.36301613369070596,50,0.012877829096533119,Preprocessor1_Model15
12,452,31,5,1.726002294334078e-4,2.673444106748525e-7,rmse,standard,0.36499210918823777,50,0.012861118933064996,Preprocessor1_Model05
15,510,26,5,1.1502000871860526e-4,8.671378803709188e-6,rmse,standard,0.36510957548076184,50,0.012949124586872434,Preprocessor1_Model07
15,469,30,8,2.266327098182031e-4,0.9225017980179908,rmse,standard,0.365975799376744,50,0.012851497465878865,Preprocessor1_Model13
14,656,29,8,2.951654128772362e-4,3.228056467015867e-8,rmse,standard,0.36730939224655407,50,0.012971462844846876,Preprocessor1_Model04
14,485,24,8,0.001886292998995823,3.168731552284099,rmse,standard,0.3714386858582978,50,0.01564714770716313,Preprocessor1_Model14
16,691,25,6,6.544760955460444e-4,1.951500530404322e-9,rmse,standard,0.3717874490012604,50,0.01390528425560391,Preprocessor1_Model02
13,534,27,7,6.2019941919225e-4,7.410969088343416e-4,rmse,standard,0.37304185245308236,50,0.013656165257808965,Preprocessor1_Model09
17,771,25,6,9.640491690432843e-4,1.5639653428436834e-6,rmse,standard,0.37338619680935714,50,0.015120327130386304,Preprocessor1_Model06
12,746,24,6,0.00761296622428053,1.1690914188456803e-4,rmse,standard,0.3734721173785498,50,0.021848903899421984,Preprocessor1_Model08
16,562,30,7,0.0015195268777430284,0.002597438673974526,rmse,standard,0.3777966933905165,50,0.015530705722090895,Preprocessor1_Model10
17,598,29,7,0.006354507779411255,0.03075480147533723,rmse,standard,0.37863901532190775,50,0.0216093744071729,Preprocessor1_Model12
13,703,28,9,0.003595653217016723,1.3549126081120069e-8,rmse,standard,0.3794692914926725,50,0.020684387059567547,Preprocessor1_Model03
14,616,23,7,0.0052573773941102546,0.02313459274406843,rmse,standard,0.3818344652644976,50,0.02085015414595575,Preprocessor1_Model11
16,776,27,9,0.002906630683530453,1.5131508509839246e-10,rmse,standard,0.3843541055037963,50,0.020770158385611404,Preprocessor1_Model01
