mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
16,498,25,7,6.038836899199321e-4,2.193770617896498,rmse,standard,0.2540048829195845,50,0.014928921375288352,Preprocessor1_Model14
12,715,27,8,3.964453001047741e-4,0.0017832063686247172,rmse,standard,0.2547179233417632,50,0.01458366057752916,Preprocessor1_Model10
13,602,31,5,6.660382278457816e-4,2.785151567704559e-9,rmse,standard,0.25481583653483714,50,0.014529519723834473,Preprocessor1_Model02
16,642,28,7,2.796983003794618e-4,0.2780465077299968,rmse,standard,0.2552574305602583,50,0.01430162755173326,Preprocessor1_Model13
14,580,25,9,1.248244014129652e-4,4.93839193554005e-5,rmse,standard,0.25568603966704767,50,0.014355877576716268,Preprocessor1_Model08
13,462,30,8,9.515444417473522e-4,4.6411977193994586e-7,rmse,standard,0.25572441413489405,50,0.015061598322811346,Preprocessor1_Model05
16,529,26,5,2.2911436612155757e-4,1.7918900507760903e-8,rmse,standard,0.2558059806971668,50,0.014244409793402739,Preprocessor1_Model03
13,763,29,6,1.6378691811895686e-4,2.412138517646489e-6,rmse,standard,0.25591377484722516,50,0.014360684915268266,Preprocessor1_Model06
14,408,24,7,0.0019618760790958414,0.052733670560141034,rmse,standard,0.259449179461853,50,0.016271565791460937,Preprocessor1_Model12
13,631,23,6,0.006108893145843163,11.9165172720878,rmse,standard,0.26002309226790726,50,0.014692964082423888,Preprocessor1_Model15
15,541,27,6,0.0028278603347650115,0.023393064350519188,rmse,standard,0.26057449363133667,50,0.018484607668553598,Preprocessor1_Model11
15,779,29,7,0.0014831502410292867,1.6240204999981167e-5,rmse,standard,0.2635899605527152,50,0.017933571602000906,Preprocessor1_Model07
15,686,25,8,0.0033199034366125646,2.3139372924033654e-8,rmse,standard,0.2744995701543276,50,0.020828103815486596,Preprocessor1_Model04
15,722,30,7,0.008587648600716431,7.218810508099542e-4,rmse,standard,0.2769123897826274,50,0.021588663608469002,Preprocessor1_Model09
17,429,28,9,0.004590546035974188,1.308882248967262e-10,rmse,standard,0.2771542415123862,50,0.020511206675112487,Preprocessor1_Model01
