.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model12,0.9416666666666665,0.4632352941176471,0.5863970588235294,0.3853211009174312,0.6695238095238095,12,8,415,25,0.004992527175552045
Preprocessor1_Model18,0.90625,0.4626334519572954,0.5765124555160143,0.39755351681957185,0.6685714285714286,13,8,543,30,0.0038405864641693536
Preprocessor1_Model02,0.8937499999999999,0.48917748917748916,0.5974025974025974,0.345565749235474,0.6838095238095238,13,5,556,28,9.99697090673538e-4
Preprocessor1_Model19,0.7604166666666666,0.45726495726495725,0.5747863247863247,0.327217125382263,0.6695238095238095,13,7,688,24,4.5825589251568e-4
Preprocessor1_Model11,0.7541666666666667,0.44274809160305345,0.5725190839694656,0.3547400611620795,0.66,16,6,669,26,0.002829369969808768
Preprocessor1_Model10,0.7145833333333333,0.45564516129032256,0.5665322580645161,0.345565749235474,0.6676190476190477,15,5,485,29,6.595908002254721e-4
Preprocessor1_Model21,0.6833333333333333,0.44029850746268656,0.5615671641791045,0.36085626911314983,0.6580952380952381,13,10,763,27,2.633831904483985e-4
Preprocessor1_Model14,0.6708333333333333,0.43548387096774194,0.5786290322580645,0.3302752293577982,0.6580952380952381,15,7,734,24,0.00188552626390951
Preprocessor1_Model20,0.5708333333333333,0.42907801418439717,0.5638297872340425,0.37003058103975534,0.6504761904761904,13,7,640,28,0.004674995049953156
Preprocessor1_Model15,0.56875,0.4358108108108108,0.5472972972972973,0.3944954128440367,0.6523809523809524,15,6,573,20,8.653244277696279e-4
Preprocessor1_Model24,0.5479166666666666,0.4362934362934363,0.5501930501930502,0.345565749235474,0.6571428571428571,13,9,580,19,3.150873233128279e-4
Preprocessor1_Model08,0.54375,0.4343065693430657,0.5492700729927007,0.363914373088685,0.6542857142857142,14,9,611,21,0.0011473021318689968
Preprocessor1_Model25,0.5249999999999999,0.4263565891472868,0.5717054263565892,0.3363914373088685,0.6523809523809524,16,8,480,21,0.002632671098358945
Preprocessor1_Model07,0.45,0.43014705882352944,0.5386029411764706,0.3577981651376147,0.6523809523809524,16,10,716,17,5.759941275277077e-4
Preprocessor1_Model05,0.44375000000000003,0.4143835616438356,0.5582191780821918,0.37003058103975534,0.6409523809523809,16,9,701,22,0.0063759077586498895
Preprocessor1_Model09,0.4354166666666667,0.4241379310344828,0.5465517241379311,0.3761467889908257,0.6466666666666666,14,6,649,31,1.1205473677280055e-4
Preprocessor1_Model17,0.43125,0.4155405405405405,0.5523648648648649,0.3761467889908257,0.6409523809523809,12,11,776,19,0.007181807942717682
Preprocessor1_Model04,0.41041666666666665,0.412751677852349,0.5570469798657718,0.3761467889908257,0.6390476190476191,15,10,418,24,0.009405196121473615
Preprocessor1_Model23,0.31875,0.40350877192982454,0.5526315789473685,0.3516819571865443,0.6361904761904762,14,7,520,20,0.0022151027566898124
Preprocessor1_Model06,0.26458333333333334,0.4109090909090909,0.5254545454545455,0.345565749235474,0.6419047619047619,14,6,458,27,1.7156218678807548e-4
Preprocessor1_Model01,0.19999999999999998,0.40086206896551724,0.5237068965517241,0.28440366972477066,0.6447619047619048,16,8,746,26,3.933574690829305e-4
Preprocessor1_Model16,0.15208333333333332,0.3917525773195876,0.5189003436426117,0.3486238532110092,0.6285714285714286,17,10,439,18,0.0013457019830452424
Preprocessor1_Model03,0.11666666666666665,0.39344262295081966,0.5061475409836066,0.29357798165137616,0.6390476190476191,15,11,797,22,2.2896320070277067e-4
Preprocessor1_Model22,0.05416666666666667,0.3807829181494662,0.50355871886121,0.327217125382263,0.6247619047619047,16,7,502,29,1.4174545639424705e-4
Preprocessor1_Model13,0,0.3192488262910798,0.44835680751173707,0.20795107033639143,0.6152380952380953,17,11,603,23,1.8497366675798395e-4
