.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model03,0.9354166666666666,0.4054878048780488,0.5533536585365854,0.34908136482939633,0.5780952380952381,13,10,646,22,0.0010359151411479153
Preprocessor1_Model21,0.91875,0.42657342657342656,0.5594405594405595,0.32020997375328086,0.5971428571428572,17,7,620,17,0.0014088978838207682
Preprocessor1_Model15,0.8958333333333334,0.4185303514376997,0.5383386581469649,0.3438320209973753,0.5885714285714285,16,10,627,18,0.0018191178280005426
Preprocessor1_Model18,0.8541666666666666,0.3981762917933131,0.5501519756838906,0.3438320209973753,0.5733333333333334,14,10,524,21,0.001186659512396658
Preprocessor1_Model17,0.7999999999999999,0.3961038961038961,0.5405844155844156,0.32020997375328086,0.5761904761904761,17,7,423,18,1.769648008008739e-4
Preprocessor1_Model09,0.7208333333333333,0.39285714285714285,0.5373376623376623,0.31758530183727035,0.5742857142857143,15,5,713,29,0.008397997766967704
Preprocessor1_Model10,0.6874999999999999,0.38762214983713356,0.5374592833876222,0.3123359580052493,0.5714285714285714,16,11,695,21,7.950668418555294e-4
Preprocessor1_Model05,0.6583333333333333,0.38596491228070173,0.5263157894736842,0.3464566929133858,0.5628571428571428,12,8,606,31,0.004202854213520348
Preprocessor1_Model19,0.6041666666666666,0.3829113924050633,0.5268987341772152,0.31758530183727035,0.5666666666666667,15,6,441,19,0.00045191820687798425
Preprocessor1_Model02,0.5958333333333333,0.38095238095238093,0.5297619047619048,0.3359580052493438,0.560952380952381,12,8,545,27,6.537628526597036e-4
Preprocessor1_Model23,0.5750000000000001,0.38125,0.5265625,0.32020997375328086,0.5647619047619048,14,8,484,25,0.0033008706741640354
Preprocessor1_Model04,0.54375,0.38243626062322944,0.5169971671388102,0.3543307086614173,0.5580952380952381,13,9,739,29,0.003743400488593417
Preprocessor1_Model24,0.47083333333333327,0.3765432098765432,0.5200617283950617,0.32020997375328086,0.560952380952381,13,6,782,28,0.0026202447834556856
Preprocessor1_Model07,0.4645833333333333,0.3701492537313433,0.5283582089552239,0.32545931758530183,0.5542857142857143,14,7,580,20,2.3556742379219478e-4
Preprocessor1_Model13,0.44791666666666663,0.37748344370860926,0.5182119205298014,0.2992125984251969,0.5666666666666667,15,5,466,26,0.002002984581446303
Preprocessor1_Model14,0.40625,0.3721590909090909,0.515625,0.3438320209973753,0.5514285714285714,13,9,507,23,0.00782757360784514
Preprocessor1_Model01,0.37916666666666665,0.3713355048859935,0.5195439739413681,0.2992125984251969,0.5619047619047619,15,7,755,28,1.0669590035252259e-4
Preprocessor1_Model22,0.3375,0.3715170278637771,0.5154798761609907,0.31496062992125984,0.5580952380952381,15,9,667,26,3.02703308981009e-4
Preprocessor1_Model06,0.27083333333333337,0.3583815028901734,0.5,0.32545931758530183,0.5438095238095239,13,9,575,24,0.005617225186868402
Preprocessor1_Model11,0.24791666666666665,0.36163522012578614,0.5125786163522013,0.30183727034120733,0.5533333333333333,13,6,680,25,5.372228164097031e-4
Preprocessor1_Model08,0.2333333333333333,0.3573407202216066,0.49584487534626037,0.33858267716535434,0.539047619047619,15,11,413,23,0.0057635094198878805
Preprocessor1_Model25,0.11458333333333333,0.34718100890207715,0.4821958456973294,0.30708661417322836,0.539047619047619,16,10,541,23,4.0566907703969737e-4
Preprocessor1_Model12,0.0875,0.327027027027027,0.49324324324324326,0.31758530183727035,0.5152380952380953,16,9,463,19,2.8570336866584226e-4
Preprocessor1_Model16,0.07916666666666666,0.34355828220858897,0.47699386503067487,0.29396325459317585,0.54,17,7,786,29,1.47171882199639e-4
Preprocessor1_Model20,0.029166666666666664,0.3392857142857143,0.47172619047619047,0.2992125984251969,0.5342857142857143,14,6,723,30,1.3561361599898097e-4
