.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model22,0.9562499999999999,0.43790849673202614,0.6209150326797386,0.3785310734463277,0.6266666666666667,16,7,740,31,0.003133662159401843
Preprocessor1_Model03,0.8583333333333334,0.4222222222222222,0.6095238095238096,0.3757062146892655,0.6161904761904762,13,9,413,21,0.007730006415488526
Preprocessor1_Model12,0.8375,0.42033898305084744,0.6220338983050847,0.3502824858757062,0.6180952380952381,14,7,428,26,0.0038930045805116785
Preprocessor1_Model07,0.8020833333333334,0.42857142857142855,0.6,0.3389830508474576,0.6247619047619047,15,8,793,28,1.391586619728891e-4
Preprocessor1_Model13,0.7916666666666666,0.4192546583850932,0.6040372670807453,0.3813559322033898,0.6133333333333333,14,7,498,25,0.009585275595203639
Preprocessor1_Model10,0.7354166666666666,0.4261168384879725,0.5910652920962199,0.3502824858757062,0.621904761904762,14,11,489,30,8.582304984263424e-4
Preprocessor1_Model11,0.71875,0.41721854304635764,0.6009933774834437,0.3559322033898305,0.6152380952380953,17,9,695,26,0.004613327853505102
Preprocessor1_Model01,0.7125,0.4155405405405405,0.6081081081081081,0.3474576271186441,0.6152380952380953,14,8,760,27,0.001305285267224898
Preprocessor1_Model09,0.6979166666666666,0.41875,0.59375,0.3785310734463277,0.6133333333333333,13,10,667,22,0.005802606607091732
Preprocessor1_Model06,0.6208333333333333,0.40476190476190477,0.5997023809523809,0.384180790960452,0.6019047619047619,12,9,477,21,6.021434272102816e-4
Preprocessor1_Model15,0.5437500000000001,0.40896358543417366,0.5882352941176471,0.4124293785310734,0.6009523809523809,15,11,535,22,0.0021539575514830196
Preprocessor1_Model25,0.53125,0.4129032258064516,0.5790322580645161,0.3615819209039548,0.6114285714285714,16,6,523,19,7.343741776735476e-4
Preprocessor1_Model20,0.5291666666666667,0.4072948328267477,0.5881458966565349,0.3785310734463277,0.6047619047619047,14,8,735,19,0.0014456845251826782
Preprocessor1_Model19,0.5083333333333333,0.3987341772151899,0.5996835443037974,0.3559322033898305,0.6019047619047619,13,5,463,23,3.8104177874973124e-4
Preprocessor1_Model08,0.5041666666666667,0.402555910543131,0.5910543130990416,0.3559322033898305,0.6047619047619047,13,10,655,28,0.005695725229437556
Preprocessor1_Model14,0.425,0.4012158054711246,0.5866261398176292,0.3728813559322034,0.6009523809523809,16,10,634,23,0.001088274477448653
Preprocessor1_Model02,0.3833333333333333,0.38412698412698415,0.5920634920634921,0.3418079096045198,0.5933333333333334,16,6,705,29,0.0024653645497891043
Preprocessor1_Model21,0.3208333333333333,0.3825503355704698,0.5889261744966443,0.3220338983050847,0.5961904761904762,12,7,439,18,2.709300240292534e-4
Preprocessor1_Model24,0.26875,0.3836065573770492,0.5737704918032787,0.3305084745762712,0.5952380952380952,12,5,594,30,0.0017301120321113886
Preprocessor1_Model23,0.20625,0.38205980066445183,0.5664451827242525,0.3248587570621469,0.5952380952380952,15,10,675,27,3.2449785978174274e-4
Preprocessor1_Model04,0.16666666666666666,0.3593220338983051,0.5694915254237288,0.2994350282485876,0.5838095238095238,14,6,616,25,2.3475154605829835e-4
Preprocessor1_Model17,0.11041666666666666,0.3569230769230769,0.5461538461538461,0.327683615819209,0.5742857142857143,16,8,582,20,1.0952542278445853e-4
Preprocessor1_Model05,0.1,0.3473684210526316,0.5649122807017544,0.2796610169491525,0.58,15,6,775,24,1.4751198873981988e-4
Preprocessor1_Model18,0.04375,0.345565749235474,0.5443425076452599,0.3192090395480226,0.5666666666666667,15,9,571,19,4.979218763683864e-4
Preprocessor1_Model16,0.020833333333333332,0.33935018050541516,0.5252707581227437,0.2655367231638418,0.5780952380952381,17,8,549,17,2.0263317769287045e-4
