.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model04,0.96875,0.3421686746987952,0.553012048192771,0.4011299435028249,0.5380952380952381,14,8,561,27,5.729910857575273e-4
Preprocessor1_Model20,0.9,0.33489461358313816,0.5386416861826698,0.403954802259887,0.5285714285714286,16,10,581,26,0.00133267513757764
Preprocessor1_Model03,0.8583333333333333,0.3317972350230415,0.5357142857142857,0.4067796610169492,0.5238095238095238,14,10,621,29,3.460291359483823e-4
Preprocessor1_Model01,0.7541666666666667,0.33111111111111113,0.5322222222222223,0.4209039548022599,0.518095238095238,13,9,441,29,3.8765977259653834e-4
Preprocessor1_Model17,0.7374999999999999,0.317016317016317,0.5407925407925408,0.384180790960452,0.5133333333333333,17,6,593,23,0.002449573374112138
Preprocessor1_Model02,0.7229166666666667,0.31868131868131866,0.5384615384615384,0.4096045197740113,0.5057142857142857,15,7,429,30,0.0016290921723934038
Preprocessor1_Model09,0.7124999999999999,0.31712962962962965,0.5393518518518519,0.3870056497175141,0.5123809523809524,12,9,703,22,1.7946118441482313e-4
Preprocessor1_Model22,0.6395833333333334,0.3198090692124105,0.5274463007159904,0.3785310734463277,0.5190476190476191,15,5,549,25,0.001970466895805105
Preprocessor1_Model15,0.6208333333333333,0.3096590909090909,0.5355113636363636,0.307909604519774,0.5352380952380953,15,7,494,22,1.5398719245104025e-4
Preprocessor1_Model11,0.6187499999999999,0.321256038647343,0.5229468599033816,0.3757062146892655,0.5219047619047619,16,10,747,24,0.0012461557429857243
Preprocessor1_Model21,0.5875,0.3141592920353982,0.5331858407079646,0.4011299435028249,0.5028571428571429,14,6,660,29,0.0010765290179295779
Preprocessor1_Model10,0.5854166666666666,0.3125,0.5285326086956522,0.3248587570621469,0.5314285714285715,14,7,719,21,2.5511695635598854e-4
Preprocessor1_Model16,0.5645833333333333,0.31263858093126384,0.5332594235033259,0.3983050847457627,0.5019047619047619,16,8,467,28,0.00597757168885225
Preprocessor1_Model18,0.4875,0.3045356371490281,0.5334773218142549,0.3983050847457627,0.49047619047619045,14,5,780,26,0.007423860383580533
Preprocessor1_Model07,0.43124999999999997,0.29891304347826086,0.5230978260869565,0.3107344632768362,0.5219047619047619,14,9,515,20,7.895889527741296e-4
Preprocessor1_Model12,0.41250000000000003,0.30275229357798167,0.5275229357798165,0.3728813559322034,0.4990476190476191,12,7,457,18,1.101792667008515e-4
Preprocessor1_Model05,0.3166666666666667,0.2916666666666667,0.5232843137254902,0.3361581920903955,0.5009523809523809,13,6,755,20,0.003492757462248753
Preprocessor1_Model24,0.3145833333333333,0.29457364341085274,0.5180878552971576,0.3220338983050847,0.5114285714285715,16,8,630,25,2.4563917397596793e-4
Preprocessor1_Model14,0.2604166666666667,0.29357798165137616,0.5160550458715596,0.3615819209039548,0.49142857142857144,17,10,791,23,0.005414769166857879
Preprocessor1_Model19,0.21458333333333335,0.2853932584269663,0.5202247191011236,0.3587570621468927,0.48095238095238096,12,7,646,18,0.00310855807614288
Preprocessor1_Model25,0.20625000000000002,0.2898936170212766,0.5,0.307909604519774,0.5123809523809524,17,9,682,31,4.5955743574967547e-4
Preprocessor1_Model06,0.15416666666666667,0.28365384615384615,0.5096153846153846,0.3333333333333333,0.49142857142857144,13,11,733,28,1.4262059899134688e-4
Preprocessor1_Model13,0.14166666666666666,0.2828507795100223,0.512249443207127,0.3587570621468927,0.47714285714285715,16,8,501,19,0.0087104163450708455
Preprocessor1_Model08,0.125,0.2634730538922156,0.49550898203592814,0.24858757062146894,0.5123809523809524,15,11,530,21,6.367705938524804e-4
Preprocessor1_Model23,0.08125,0.2723112128146453,0.5045766590389016,0.3361581920903955,0.47333333333333333,13,6,409,18,0.004622430036418543
