.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model22,0.9583333333333334,0.32657657657657657,0.5518018018018018,0.4096045197740113,0.5161904761904762,12,5,420,21,0.00268899071542149
Preprocessor1_Model24,0.8791666666666667,0.31516587677725116,0.5462085308056872,0.3757062146892655,0.5142857142857142,15,10,409,22,0.0033010326319723943
Preprocessor1_Model21,0.8479166666666665,0.31851851851851853,0.5358024691358024,0.3644067796610169,0.5228571428571429,14,7,590,24,1.3520997813018661e-4
Preprocessor1_Model09,0.8020833333333333,0.3178294573643411,0.5348837209302325,0.3474576271186441,0.5285714285714286,14,7,727,19,2.574784405612074e-4
Preprocessor1_Model01,0.7625000000000001,0.308252427184466,0.5364077669902912,0.3587570621468927,0.5123809523809524,14,5,627,23,0.007028746817525291
Preprocessor1_Model03,0.7062499999999999,0.3024390243902439,0.5390243902439025,0.3502824858757062,0.5085714285714286,13,10,513,25,0.004564373150785994
Preprocessor1_Model10,0.7020833333333334,0.3062645011600928,0.5336426914153132,0.3728813559322034,0.5038095238095238,15,6,444,29,0.0035230962914955533
Preprocessor1_Model11,0.6708333333333334,0.3013698630136986,0.5365296803652968,0.3728813559322034,0.49714285714285716,15,10,794,24,0.0014235427688359713
Preprocessor1_Model07,0.60625,0.31351351351351353,0.5135135135135135,0.327683615819209,0.5314285714285715,16,10,453,25,1.7704640375701262e-4
Preprocessor1_Model05,0.55625,0.30569948186528495,0.5168393782383419,0.3333333333333333,0.52,15,7,675,21,3.1448564275431395e-4
Preprocessor1_Model18,0.55,0.30049261083743845,0.5283251231527094,0.3446327683615819,0.5085714285714286,15,6,576,23,3.973970175466569e-4
Preprocessor1_Model13,0.5416666666666666,0.3013392857142857,0.5223214285714286,0.3813559322033898,0.49333333333333335,16,7,705,27,0.0019125949228336007
Preprocessor1_Model02,0.4937499999999999,0.2964824120603015,0.5251256281407035,0.3333333333333333,0.5085714285714286,13,9,644,18,5.506987921390533e-4
Preprocessor1_Model04,0.49166666666666664,0.3023255813953488,0.5127906976744186,0.3672316384180791,0.5009523809523809,14,6,782,27,1.6648453301892582e-4
Preprocessor1_Model17,0.475,0.2920892494929006,0.5334685598377282,0.4067796610169492,0.4676190476190476,12,11,738,28,0.008698162226625407
Preprocessor1_Model12,0.4291666666666667,0.29545454545454547,0.5215909090909091,0.3672316384180791,0.49142857142857144,16,11,538,29,0.0017880631493557974
Preprocessor1_Model08,0.42916666666666664,0.2945205479452055,0.523972602739726,0.3644067796610169,0.49142857142857144,13,8,603,31,0.0010620762417468982
Preprocessor1_Model15,0.425,0.28921568627450983,0.5257352941176471,0.3333333333333333,0.4990476190476191,13,9,548,20,0.0011646780055601276
Preprocessor1_Model14,0.2895833333333333,0.2837528604118993,0.5205949656750573,0.3502824858757062,0.4828571428571429,14,10,491,29,0.004799449563558994
Preprocessor1_Model06,0.2604166666666667,0.275,0.52125,0.3107344632768362,0.49142857142857144,13,7,695,20,0.006130550166018526
Preprocessor1_Model20,0.25,0.28604651162790695,0.5046511627906977,0.3474576271186441,0.4876190476190476,16,9,658,30,2.435290418313136e-4
Preprocessor1_Model23,0.13541666666666666,0.25569620253164554,0.49746835443037973,0.2853107344632768,0.47904761904761906,17,8,467,24,4.618919900828778e-4
Preprocessor1_Model16,0.06458333333333334,0.23809523809523808,0.4724310776942356,0.268361581920904,0.4638095238095238,16,9,506,17,9.026190149101605e-4
Preprocessor1_Model19,0.06041666666666666,0.2354368932038835,0.47572815533980584,0.2740112994350282,0.4552380952380952,17,8,617,26,6.58483524170616e-4
Preprocessor1_Model25,0,0.23095823095823095,0.4668304668304668,0.2655367231638418,0.4542857142857143,13,6,763,18,1.1066596316489223e-4
