.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model08,0.8854166666666666,0.37898089171974525,0.4856687898089172,0.31989247311827956,0.5733333333333334,16,11,681,28,0.006009046722069501
Preprocessor1_Model21,0.8708333333333333,0.37797619047619047,0.48214285714285715,0.34139784946236557,0.5676190476190476,13,9,584,28,0.0032165503804582646
Preprocessor1_Model15,0.8374999999999999,0.35185185185185186,0.48544973544973546,0.3575268817204301,0.539047619047619,17,6,616,22,0.0012595822091599452
Preprocessor1_Model02,0.7666666666666666,0.36363636363636365,0.4712121212121212,0.3225806451612903,0.56,15,7,644,18,0.0034299601051551065
Preprocessor1_Model09,0.7520833333333332,0.3665480427046263,0.4697508896797153,0.2768817204301075,0.5742857142857143,14,9,776,18,0.009588565395063376
Preprocessor1_Model20,0.7354166666666667,0.3421686746987952,0.4746987951807229,0.3817204301075269,0.52095238095238094,16,7,522,22,3.7573420611968845e-4
Preprocessor1_Model17,0.7354166666666666,0.3449197860962567,0.4732620320855615,0.3467741935483871,0.5352380952380953,12,8,536,25,0.0022628971572504404
Preprocessor1_Model05,0.7020833333333334,0.34933333333333333,0.4573333333333333,0.3521505376344086,0.5380952380952381,16,10,659,31,7.2070715918388e-4
Preprocessor1_Model10,0.65,0.35877862595419846,0.4541984732824427,0.25268817204301075,0.5752380952380952,15,5,571,29,0.007936633980256846
Preprocessor1_Model13,0.6375,0.35611510791366907,0.4568345323741007,0.2661290322580645,0.5695238095238095,13,6,691,29,0.004806849309136844
Preprocessor1_Model11,0.6208333333333332,0.33093525179856115,0.4628297362110312,0.3709677419354839,0.5114285714285715,15,10,710,21,2.967699174014338e-4
Preprocessor1_Model12,0.6187499999999999,0.3379501385041551,0.46537396121883656,0.3279569892473118,0.5342857142857143,15,9,797,17,0.002429113892862606
Preprocessor1_Model03,0.5,0.3283208020050125,0.4448621553884712,0.3521505376344086,0.5152380952380953,16,10,448,30,2.505996235012206e-4
Preprocessor1_Model04,0.4875,0.3160493827160494,0.454320987654321,0.34408602150537637,0.5038095238095238,13,11,732,24,6.159143055901332e-4
Preprocessor1_Model16,0.4395833333333333,0.31527093596059114,0.44950738916256155,0.34408602150537637,0.5028571428571429,14,6,484,20,0.0016583535341832102
Preprocessor1_Model14,0.43333333333333335,0.32456140350877194,0.44883040935672514,0.29838709677419356,0.5314285714285715,17,9,444,19,0.004242608238009507
Preprocessor1_Model18,0.36041666666666666,0.31016042780748665,0.44786096256684493,0.3118279569892473,0.5104761904761905,12,6,743,23,9.83347262549396e-4
Preprocessor1_Model24,0.3416666666666667,0.30982367758186397,0.4433249370277078,0.33064516129032256,0.5019047619047619,16,5,418,25,2.0491215656760547e-4
Preprocessor1_Model07,0.27708333333333335,0.3027295285359802,0.44168734491315137,0.3279569892473118,0.4942857142857143,14,8,593,19,8.748972763592571e-4
Preprocessor1_Model19,0.19375,0.29896907216494845,0.4265463917525773,0.3118279569892473,0.49714285714285716,14,6,548,27,1.1673355857417364e-4
Preprocessor1_Model01,0.1645833333333333,0.2938271604938272,0.43209876543209874,0.31989247311827956,0.4866666666666667,12,8,765,24,5.006902868284966e-4
Preprocessor1_Model25,0.16249999999999998,0.29397590361445786,0.43132530120481927,0.3279569892473118,0.4828571428571429,15,9,465,27,0.0015464446288861375
Preprocessor1_Model06,0.15625,0.2930591259640103,0.43316195372750643,0.3064516129032258,0.49238095238095236,14,7,499,23,3.1961972636773483e-4
Preprocessor1_Model23,0.06666666666666667,0.2868020304568528,0.42258883248730966,0.30376344086021506,0.4857142857142857,15,8,636,28,1.3131458703660316e-4
Preprocessor1_Model22,0.05,0.28418230563002683,0.42091152815013405,0.2849462365591398,0.49238095238095236,13,10,405,20,1.639762952037164e-4
