.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model10,0.96875,0.4114713216957606,0.5336658354114713,0.46218487394957986,0.5923809523809523,13,8,618,31,5.76571878959301e-4
Preprocessor1_Model20,0.89375,0.3893129770992366,0.5368956743002544,0.42857142857142855,0.5771428571428572,16,8,515,20,0.004022189894803701
Preprocessor1_Model21,0.8770833333333332,0.39285714285714285,0.5261904761904762,0.46218487394957986,0.5742857142857143,16,9,667,22,0.0022693460719704858
Preprocessor1_Model22,0.8729166666666667,0.38666666666666666,0.5373333333333333,0.4061624649859944,0.579047619047619,17,8,476,30,0.0025824460726640453
Preprocessor1_Model05,0.8270833333333333,0.39325842696629215,0.523876404494382,0.39215686274509803,0.5876190476190476,12,11,578,20,3.7744721128628783e-4
Preprocessor1_Model08,0.8145833333333333,0.3847980997624703,0.5285035629453682,0.453781512605042,0.5676190476190476,16,9,402,21,0.00303362333960774
Preprocessor1_Model12,0.6854166666666666,0.375,0.5079787234042553,0.3949579831932773,0.5704761904761905,15,10,778,26,0.00154520253292047
Preprocessor1_Model24,0.6833333333333333,0.3733681462140992,0.5182767624020888,0.4005602240896359,0.5676190476190476,14,9,703,18,0.0015951247641405664
Preprocessor1_Model13,0.6666666666666666,0.3700980392156863,0.5208333333333334,0.42296918767507,0.559047619047619,16,6,687,21,9.702521245916502e-4
Preprocessor1_Model03,0.6562499999999999,0.37236533957845436,0.5105386416861827,0.44537815126050423,0.5561904761904762,17,5,648,30,7.441623116616542e-4
Preprocessor1_Model16,0.575,0.3657289002557545,0.5063938618925832,0.4005602240896359,0.56,15,7,707,19,0.009836205230127307
Preprocessor1_Model17,0.5416666666666666,0.3674540682414698,0.4973753280839895,0.39215686274509803,0.5638095238095238,12,10,792,23,8.926799625028155e-4
Preprocessor1_Model06,0.49374999999999997,0.3620689655172414,0.5024630541871922,0.4117647058823529,0.5533333333333333,13,6,725,23,0.0068977497128478475
Preprocessor1_Model07,0.48333333333333334,0.3625,0.49625,0.4061624649859944,0.5552380952380952,13,9,453,18,2.8930455881437606e-4
Preprocessor1_Model15,0.43958333333333327,0.35626535626535627,0.5061425061425061,0.4061624649859944,0.5485714285714286,16,7,540,22,0.005044852947345283
Preprocessor1_Model14,0.42291666666666666,0.3582887700534759,0.4959893048128342,0.3753501400560224,0.559047619047619,13,7,593,28,5.075524165657859e-4
Preprocessor1_Model04,0.3729166666666667,0.35658914728682173,0.4935400516795866,0.3865546218487395,0.5542857142857143,14,10,429,29,0.0034430746499748348
Preprocessor1_Model02,0.28541666666666665,0.3422459893048128,0.4799465240641711,0.3585434173669468,0.5476190476190477,13,6,489,27,1.3118506810821774e-4
Preprocessor1_Model09,0.22083333333333335,0.33157894736842103,0.4776315789473684,0.35294117647058826,0.5380952380952381,15,6,438,25,1.9914151954819885e-4
Preprocessor1_Model25,0.18541666666666665,0.3190348525469169,0.4785522788203753,0.3333333333333333,0.5314285714285715,13,5,630,28,0.008193698493505385
Preprocessor1_Model19,0.15625,0.3188405797101449,0.47246376811594204,0.3081232492997199,0.540952380952381,14,9,758,27,1.497767186672202e-4
Preprocessor1_Model23,0.15416666666666667,0.32839506172839505,0.4679012345679012,0.37254901960784315,0.5276190476190477,14,10,564,18,1.0771869561292521e-4
Preprocessor1_Model01,0.08333333333333333,0.3183023872679045,0.4588859416445623,0.33613445378151263,0.5295238095238095,15,7,547,25,0.0011439257642375364
Preprocessor1_Model18,0.07083333333333333,0.3133514986376022,0.4604904632152589,0.32212885154061627,0.5295238095238095,14,8,748,26,3.2895710662700215e-4
Preprocessor1_Model11,0,0.26785714285714285,0.42410714285714285,0.25210084033613445,0.5114285714285715,17,11,510,24,2.44327457203377e-4
