.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model03,1,0.36335403726708076,0.5822981366459627,0.42857142857142855,0.6561904761904762,16,10,542,26,0.0010703316024235948
Preprocessor1_Model23,0.8687499999999999,0.3047619047619048,0.5317460317460317,0.3516483516483517,0.6228571428571429,14,7,759,30,7.072299588178747e-4
Preprocessor1_Model13,0.8541666666666665,0.2907801418439716,0.5354609929078015,0.30036630036630035,0.6276190476190476,14,8,661,18,2.9492398392473633e-4
Preprocessor1_Model21,0.8333333333333334,0.2916666666666667,0.5368589743589743,0.3333333333333333,0.6161904761904762,16,9,573,20,0.0015936573705599185
Preprocessor1_Model22,0.8291666666666666,0.2953020134228188,0.5302013422818792,0.32234432234432236,0.6238095238095238,12,6,435,25,1.3373186440076524e-4
Preprocessor1_Model20,0.7458333333333333,0.28771929824561404,0.5263157894736842,0.30036630036630035,0.6247619047619047,13,8,556,28,3.485382615403261e-4
Preprocessor1_Model05,0.7020833333333333,0.2847222222222222,0.5295138888888888,0.30036630036630035,0.621904761904762,15,11,514,29,0.0012208033063622738
Preprocessor1_Model08,0.6875,0.28523489932885904,0.5251677852348994,0.31135531135531136,0.6180952380952381,13,7,589,23,2.114577956122844e-4
Preprocessor1_Model12,0.6854166666666666,0.2787456445993031,0.5313588850174216,0.29304029304029305,0.6190476190476191,15,10,653,19,9.037841068916933e-4
Preprocessor1_Model09,0.6375000000000001,0.2777777777777778,0.5222222222222223,0.27472527472527475,0.6257142857142857,16,10,457,22,3.6918921655243437e-4
Preprocessor1_Model02,0.5645833333333333,0.24074074074074073,0.5324074074074074,0.19047619047619047,0.6333333333333333,17,10,465,30,1.031650479225419e-4
Preprocessor1_Model15,0.53125,0.2708333333333333,0.5121527777777778,0.2857142857142857,0.6142857142857143,14,8,598,19,4.582987195932988e-4
Preprocessor1_Model11,0.47916666666666663,0.2672955974842767,0.5,0.31135531135531136,0.599047619047619,13,6,690,29,0.001567378557976103
Preprocessor1_Model06,0.4395833333333333,0.26229508196721313,0.5,0.29304029304029305,0.6019047619047619,13,5,748,31,0.004405473934540218
Preprocessor1_Model17,0.4375,0.2608695652173913,0.5072463768115942,0.26373626373626374,0.6142857142857143,15,9,489,27,1.8710756144553763e-4
Preprocessor1_Model07,0.33958333333333335,0.2517482517482518,0.48776223776223776,0.26373626373626374,0.6047619047619047,14,6,727,26,0.0060205867392255
Preprocessor1_Model19,0.3333333333333333,0.25752508361204013,0.47324414715719065,0.28205128205128205,0.6019047619047619,14,9,678,24,0.002805454626122777
Preprocessor1_Model14,0.31875,0.24915824915824916,0.49158249158249157,0.27106227106227104,0.5980952380952381,17,7,637,17,0.003603805189545006
Preprocessor1_Model04,0.25416666666666665,0.23529411764705882,0.49080882352941174,0.23443223443223443,0.6028571428571429,16,11,788,23,1.5485758690576295e-4
Preprocessor1_Model18,0.23958333333333334,0.24169184290030213,0.4652567975830816,0.29304029304029305,0.5771428571428572,16,7,616,28,0.0023416401530571584
Preprocessor1_Model16,0.23541666666666666,0.24104234527687296,0.4788273615635179,0.27106227106227104,0.5885714285714285,12,5,425,23,5.840141158594818e-4
Preprocessor1_Model10,0.14375,0.23778501628664495,0.4592833876221498,0.2673992673992674,0.5866666666666667,15,10,705,21,0.009517861241747813
Preprocessor1_Model24,0.14166666666666666,0.2314540059347181,0.4629080118694362,0.2857142857142857,0.5676190476190476,15,8,779,25,0.002208246358490312
Preprocessor1_Model01,0.08333333333333334,0.2140221402214022,0.4575645756457565,0.21245421245421245,0.5923809523809523,13,9,498,18,0.007404208932053562
Preprocessor1_Model25,0.01875,0.21069182389937108,0.45754716981132076,0.2454212454212454,0.5647619047619048,16,6,403,21,0.005291264408562836
