.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model13,0.8937499999999999,0.38153846153846155,0.4907692307692308,0.3333333333333333,0.5723809523809524,13,10,699,25,8.378123536369365e-4
Preprocessor1_Model20,0.8916666666666666,0.375,0.49851190476190477,0.3387096774193548,0.5657142857142857,13,9,774,21,1.9009124666578465e-4
Preprocessor1_Model16,0.8791666666666667,0.375,0.49107142857142855,0.3387096774193548,0.5657142857142857,12,9,593,19,2.909779259716379e-4
Preprocessor1_Model01,0.75625,0.36728395061728397,0.47685185185185186,0.31989247311827956,0.5638095238095238,15,8,679,22,3.7800598379528433e-4
Preprocessor1_Model17,0.7437499999999999,0.3687315634218289,0.47345132743362833,0.33602150537634407,0.560952380952381,16,7,425,21,7.162344036798608e-4
Preprocessor1_Model07,0.7333333333333334,0.36283185840707965,0.4808259587020649,0.33064516129032256,0.5571428571428572,14,9,760,26,3.290027473566411e-4
Preprocessor1_Model11,0.7020833333333334,0.35805626598465473,0.47058823529411764,0.3763440860215054,0.54,14,7,570,29,0.006069166540335921
Preprocessor1_Model02,0.7,0.3542713567839196,0.47361809045226133,0.3790322580645161,0.5352380952380953,15,8,539,30,0.007910419089581575
Preprocessor1_Model24,0.6833333333333332,0.3619047619047619,0.4746031746031746,0.3064516129032258,0.5628571428571428,16,8,580,19,0.0015288861237923704
Preprocessor1_Model09,0.5916666666666667,0.35082872928176795,0.4599447513812155,0.34139784946236557,0.5428571428571428,14,7,465,29,0.0010441666982965352
Preprocessor1_Model15,0.56875,0.3511705685618729,0.4698996655518395,0.28225806451612906,0.560952380952381,17,10,402,19,0.0018791806745763837
Preprocessor1_Model05,0.5187499999999999,0.34366925064599485,0.458656330749354,0.3575268817204301,0.5304761904761904,14,5,666,20,0.003302809821919268
Preprocessor1_Model03,0.47916666666666674,0.33773087071240104,0.4656992084432718,0.34408602150537637,0.5285714285714286,14,7,634,22,0.004027883074990156
Preprocessor1_Model22,0.4229166666666666,0.336986301369863,0.4602739726027397,0.33064516129032256,0.5323809523809524,15,6,545,18,1.378746964884522e-4
Preprocessor1_Model14,0.41666666666666663,0.3374384236453202,0.45566502463054187,0.3682795698924731,0.52,16,11,609,23,0.0098801917401958091
Preprocessor1_Model10,0.39166666666666666,0.33815028901734107,0.4523121387283237,0.31451612903225806,0.539047619047619,12,8,789,24,4.562777430156193e-4
Preprocessor1_Model06,0.3875,0.34011627906976744,0.4433139534883721,0.31451612903225806,0.540952380952381,14,10,514,24,1.5298025631952722e-4
Preprocessor1_Model04,0.38125,0.336734693877551,0.45408163265306123,0.3548387096774194,0.5238095238095238,17,9,445,27,0.0034948764550480683
Preprocessor1_Model19,0.3145833333333333,0.3352112676056338,0.45211267605633804,0.31989247311827956,0.5342857142857143,15,7,719,18,2.4635224377203134e-4
Preprocessor1_Model08,0.2416666666666667,0.3286908077994429,0.44707520891364905,0.3172043010752688,0.5285714285714286,13,10,511,31,0.0012777528362891398
Preprocessor1_Model18,0.23333333333333334,0.31894484412470026,0.42565947242206237,0.3575268817204301,0.5019047619047619,13,5,733,28,5.62016597657157e-4
Preprocessor1_Model23,0.1875,0.3123425692695214,0.4256926952141058,0.3333333333333333,0.5038095238095238,17,6,648,29,0.0019404965130552778
Preprocessor1_Model25,0.13749999999999998,0.2937219730941704,0.4069506726457399,0.3521505376344086,0.4704761904761905,15,6,455,26,0.004943382803419855
Preprocessor1_Model12,0.11041666666666666,0.29850746268656714,0.4079601990049751,0.3225806451612903,0.49142857142857144,12,6,487,23,0.0025415281667366344
Preprocessor1_Model21,0.052083333333333336,0.2857142857142857,0.4003322259136213,0.23118279569892472,0.5228571428571429,16,11,751,27,1.1054312643836755e-4
