.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model01,0.95625,0.44238683127572015,0.565843621399177,0.48863636363636365,0.5276190476190477,17,7,716,28,7.837044000751851e-4
Preprocessor1_Model17,0.9229166666666667,0.43503937007874016,0.5590551181102362,0.5022727272727273,0.518095238095238,15,6,521,30,0.003746181738603797
Preprocessor1_Model21,0.8541666666666667,0.4283246977547496,0.5578583765112263,0.5636363636363636,0.5019047619047619,13,6,674,28,0.006958878367780642
Preprocessor1_Model05,0.8333333333333334,0.43037974683544306,0.5516877637130801,0.4636363636363636,0.518095238095238,14,9,605,27,4.839916838410353e-4
Preprocessor1_Model18,0.7604166666666666,0.417910447761194,0.5485074626865671,0.509090909090909,0.49714285714285716,12,11,530,31,3.679716239336498e-4
Preprocessor1_Model09,0.7020833333333334,0.4214123006833713,0.5387243735763098,0.42045454545454547,0.5152380952380953,16,9,735,26,2.766077376614411e-4
Preprocessor1_Model06,0.6395833333333334,0.41263940520446096,0.54182156133829,0.5045454545454545,0.49142857142857144,15,7,647,25,0.004142941518829383
Preprocessor1_Model13,0.6375,0.415506958250497,0.536779324055666,0.475,0.5,16,5,564,24,0.001050922419535257
Preprocessor1_Model15,0.6208333333333333,0.4134199134199134,0.5367965367965368,0.4340909090909091,0.5047619047619047,14,9,623,29,1.4917842173240936e-4
Preprocessor1_Model11,0.5708333333333333,0.41244239631336405,0.5368663594470046,0.4068181818181818,0.5085714285714286,15,11,752,29,1.2905615753429413e-4
Preprocessor1_Model07,0.5687500000000001,0.4133611691022965,0.5334029227557411,0.45,0.5019047619047619,14,10,794,22,3.204422298485817e-4
Preprocessor1_Model20,0.5520833333333334,0.4092526690391459,0.5391459074733096,0.5227272727272727,0.4838095238095238,13,8,450,21,0.006381389024928065
Preprocessor1_Model22,0.5166666666666666,0.4106090373280943,0.5353634577603144,0.475,0.4942857142857143,13,9,498,19,7.320985921140591e-4
Preprocessor1_Model16,0.5125,0.4074074074074074,0.5388888888888889,0.5,0.4857142857142857,12,8,780,23,0.002005835513948354
Preprocessor1_Model25,0.5,0.4072249589490969,0.5459770114942529,0.5636363636363636,0.47333333333333333,13,10,631,17,0.009450537116104989
Preprocessor1_Model12,0.40625,0.40674603174603174,0.5327380952380952,0.4659090909090909,0.49142857142857144,15,9,416,19,0.001161630170668541
Preprocessor1_Model24,0.37083333333333335,0.40264650283553877,0.5359168241965974,0.48409090909090907,0.4828571428571429,13,7,749,21,0.0015246977840194778
Preprocessor1_Model04,0.31666666666666665,0.40454545454545454,0.5227272727272727,0.40454545454545454,0.5009523809523809,16,6,473,26,1.9509016987132057e-4
Preprocessor1_Model08,0.2791666666666667,0.3995943204868154,0.5273833671399595,0.44772727272727275,0.4866666666666667,12,6,658,24,1.1518168583166435e-4
Preprocessor1_Model14,0.27708333333333335,0.399581589958159,0.5292887029288703,0.4340909090909091,0.48952380952380953,16,5,439,27,0.002664030588451116
Preprocessor1_Model02,0.20625000000000002,0.3984375,0.525390625,0.4636363636363636,0.4819047619047619,14,7,691,18,5.340545465796087e-4
Preprocessor1_Model10,0.19791666666666666,0.3932806324110672,0.5276679841897233,0.45227272727272727,0.4780952380952381,15,8,486,23,0.003076755786386835
Preprocessor1_Model03,0.18125,0.38961038961038963,0.525974025974026,0.4772727272727273,0.4676190476190476,16,10,590,20,0.005490239187807954
Preprocessor1_Model23,0.035416666666666666,0.3739495798319328,0.5084033613445378,0.40454545454545454,0.4666666666666667,17,8,424,20,2.3952445195372208e-4
Preprocessor1_Model19,0.01875,0.3562992125984252,0.5068897637795275,0.4113636363636364,0.4419047619047619,17,10,553,22,0.0016269358257752298
