.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model22,0.94375,0.43358395989974935,0.49122807017543857,0.38963963963963966,0.5266666666666666,15,9,445,20,0.008423822925309575
Preprocessor1_Model04,0.8604166666666666,0.42144638403990026,0.4825436408977556,0.38063063063063063,0.5171428571428571,16,7,570,19,0.005507751069749299
Preprocessor1_Model05,0.83125,0.41755888650963596,0.480728051391863,0.4391891891891892,0.5038095238095238,13,9,595,29,0.0011776630845244497
Preprocessor1_Model07,0.8125,0.4123006833712984,0.48177676537585423,0.40765765765765766,0.5038095238095238,16,8,735,21,0.0013989884079303955
Preprocessor1_Model02,0.80625,0.41849148418491483,0.4781021897810219,0.38738738738738737,0.5133333333333333,12,9,581,23,0.00222155634168518
Preprocessor1_Model11,0.7958333333333334,0.42493638676844786,0.4758269720101781,0.3761261261261261,0.52095238095238094,13,5,538,31,0.008169317095564031
Preprocessor1_Model09,0.7770833333333333,0.408,0.486,0.4594594594594595,0.48952380952380953,15,6,680,21,1.4286133553911002e-4
Preprocessor1_Model16,0.7416666666666666,0.40757238307349664,0.477728285077951,0.41216216216216217,0.4980952380952381,13,10,402,18,0.0023822438845182074
Preprocessor1_Model06,0.6270833333333333,0.4040632054176072,0.4729119638826185,0.40315315315315314,0.4961904761904762,17,8,431,27,1.0134582727181011e-4
Preprocessor1_Model17,0.5937499999999999,0.39955357142857145,0.4732142857142857,0.40315315315315314,0.49142857142857144,17,6,506,30,2.281186222520375e-4
Preprocessor1_Model10,0.5833333333333334,0.40561224489795916,0.46938775510204084,0.3581081081081081,0.5066666666666667,14,11,704,28,0.0032481845666029545
Preprocessor1_Model08,0.55,0.39737991266375544,0.47270742358078605,0.4099099099099099,0.4876190476190476,16,8,754,20,4.832415226152281e-4
Preprocessor1_Model03,0.5083333333333334,0.4010152284263959,0.467005076142132,0.35585585585585583,0.5028571428571429,16,10,475,22,0.004539304348014785
Preprocessor1_Model18,0.4354166666666666,0.38611713665943603,0.46963123644251625,0.4009009009009009,0.47714285714285715,14,6,644,17,2.670545951917833e-4
Preprocessor1_Model20,0.4270833333333333,0.3960880195599022,0.4547677261613692,0.36486486486486486,0.4961904761904762,12,7,768,24,0.001708232368356823
Preprocessor1_Model24,0.4229166666666666,0.39364303178484106,0.46454767726161367,0.36261261261261263,0.4942857142857143,16,9,527,22,0.003404733437525322
Preprocessor1_Model25,0.375,0.3901869158878505,0.45560747663551404,0.3761261261261261,0.4876190476190476,14,5,744,18,0.00654772186171603
Preprocessor1_Model14,0.34375,0.3857758620689655,0.4536637931034483,0.40315315315315314,0.47619047619047616,14,11,452,28,1.4884802808852026e-4
Preprocessor1_Model15,0.2833333333333333,0.38018433179723504,0.4504608294930876,0.3716216216216216,0.4780952380952381,14,7,799,27,6.369621764514381e-4
Preprocessor1_Model12,0.22499999999999998,0.37168141592920356,0.4502212389380531,0.3783783783783784,0.4666666666666667,15,8,554,25,3.5243762566875746e-4
Preprocessor1_Model01,0.15416666666666667,0.36941176470588233,0.4470588235294118,0.3536036036036036,0.4714285714285714,15,6,493,26,8.503608583778508e-4
Preprocessor1_Model23,0.12708333333333333,0.36803874092009686,0.4443099273607748,0.34234234234234234,0.47333333333333333,16,10,670,26,0.0010264527504225275
Preprocessor1_Model13,0.11666666666666665,0.3644251626898048,0.4349240780911063,0.3783783783783784,0.4580952380952381,13,7,693,29,4.2177007801151334e-4
Preprocessor1_Model21,0.06458333333333334,0.3608490566037736,0.4363207547169811,0.34459459459459457,0.46476190476190476,14,8,610,25,5.528445739921912e-4
Preprocessor1_Model19,0.03125,0.35874439461883406,0.42937219730941706,0.36036036036036034,0.45714285714285713,12,10,626,24,2.0044338430991605e-4
