.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model08,0.9583333333333334,0.29831144465290804,0.38649155722326456,0.4344262295081967,0.44666666666666666,15,6,751,20,0.0092116703672545
Preprocessor1_Model19,0.8979166666666667,0.2894736842105263,0.393859649122807,0.45081967213114754,0.4228571428571429,16,6,408,30,0.0070740970521344475
Preprocessor1_Model13,0.8979166666666667,0.2902033271719039,0.378003696857671,0.42896174863387976,0.43523809523809526,17,11,686,26,0.003569563464221955
Preprocessor1_Model05,0.8270833333333334,0.2869415807560137,0.3865979381443299,0.4562841530054645,0.41523809523809524,13,5,457,25,0.004457674605840768
Preprocessor1_Model04,0.80625,0.2841918294849023,0.3783303730017762,0.4371584699453552,0.42,13,8,581,26,0.004931942378425125
Preprocessor1_Model09,0.7916666666666666,0.2829827915869981,0.3738049713193117,0.40437158469945356,0.43523809523809526,16,10,660,25,0.006269016320138889
Preprocessor1_Model20,0.7020833333333334,0.28027681660899656,0.3728373702422145,0.4426229508196721,0.4095238095238095,13,8,691,28,0.0024366218003431263
Preprocessor1_Model18,0.6625000000000001,0.27514231499051234,0.36148007590132825,0.39617486338797814,0.4257142857142857,14,11,711,19,0.001596635984025076
Preprocessor1_Model03,0.65625,0.275092936802974,0.36617100371747213,0.40437158469945356,0.42095238095238097,13,7,426,28,1.6475160962415488e-4
Preprocessor1_Model10,0.6,0.2702702702702703,0.3696911196911197,0.3825136612021858,0.4247619047619048,15,9,437,18,1.9925763364666147e-4
Preprocessor1_Model01,0.5916666666666667,0.2746615087040619,0.3520309477756286,0.3879781420765027,0.42952380952380953,14,8,723,23,0.001330815306123537
Preprocessor1_Model14,0.5541666666666667,0.27238805970149255,0.355410447761194,0.3989071038251366,0.41904761904761906,14,7,530,29,6.681970505026489e-4
Preprocessor1_Model12,0.4604166666666667,0.2659758203799655,0.3626943005181347,0.4207650273224044,0.3933333333333333,12,9,764,21,0.0028629740003949613
Preprocessor1_Model17,0.45208333333333334,0.26595744680851063,0.35815602836879434,0.4098360655737705,0.4,12,9,499,24,5.0058081105735e-4
Preprocessor1_Model02,0.41458333333333336,0.26556776556776557,0.35805860805860806,0.39617486338797814,0.4076190476190476,13,7,614,29,9.640586986447355e-4
Preprocessor1_Model22,0.3604166666666667,0.2631578947368421,0.352994555353902,0.39617486338797814,0.40285714285714286,13,9,488,20,0.0019731611385405694
Preprocessor1_Model25,0.3375,0.25517241379310346,0.36810344827586206,0.40437158469945356,0.38095238095238093,14,6,650,31,2.2849633250211876e-4
Preprocessor1_Model07,0.3229166666666667,0.2544731610337972,0.3499005964214712,0.34972677595628415,0.41619047619047617,16,5,551,27,1.0743414482832205e-4
Preprocessor1_Model23,0.32083333333333336,0.26119402985074625,0.3451492537313433,0.3825136612021858,0.4076190476190476,15,7,524,22,0.0012706350363456854
Preprocessor1_Model11,0.22291666666666665,0.2519230769230769,0.3326923076923077,0.35792349726775957,0.4057142857142857,16,8,569,24,8.28338980168017e-4
Preprocessor1_Model06,0.16875,0.23651452282157676,0.3215767634854772,0.3114754098360656,0.4095238095238095,16,9,771,21,2.826772059982423e-4
Preprocessor1_Model16,0.16666666666666669,0.2490842490842491,0.3443223443223443,0.37158469945355194,0.3904761904761905,14,6,603,18,3.316141641786611e-4
Preprocessor1_Model15,0.14375,0.2447418738049713,0.3355640535372849,0.34972677595628415,0.39714285714285713,15,10,631,17,4.342452154105568e-4
Preprocessor1_Model21,0.052083333333333336,0.22105263157894736,0.3031578947368421,0.28688524590163933,0.39904761904761904,17,10,788,23,5.646457922909152e-4
Preprocessor1_Model24,0.049999999999999996,0.22554890219560877,0.3263473053892216,0.3087431693989071,0.38952380952380955,16,10,469,28,1.439539878196261e-4
