.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model17,0.9291666666666666,0.44140625,0.517578125,0.5078651685393258,0.5190476190476191,15,10,584,20,1.459506106310486e-4
Preprocessor1_Model21,0.8770833333333333,0.452991452991453,0.5224358974358975,0.4764044943820225,0.5342857142857143,14,9,548,19,0.008345058726865922
Preprocessor1_Model13,0.8708333333333333,0.4381139489194499,0.5147347740667977,0.501123595505618,0.5161904761904762,14,11,503,25,0.005193667168901582
Preprocessor1_Model19,0.86875,0.4590909090909091,0.525,0.45393258426966293,0.5419047619047619,16,10,736,21,3.382737216717094e-4
Preprocessor1_Model16,0.8333333333333334,0.437125748502994,0.5079840319361277,0.49213483146067416,0.5161904761904762,13,6,455,25,1.1743413897851186e-4
Preprocessor1_Model14,0.7416666666666666,0.4357429718875502,0.501004016064257,0.48764044943820223,0.5152380952380953,14,8,442,19,2.5949887634947903e-4
Preprocessor1_Model20,0.7354166666666666,0.42745098039215684,0.5068627450980392,0.4898876404494382,0.5057142857142857,15,10,648,27,0.0038293305520620178
Preprocessor1_Model01,0.7020833333333333,0.42771084337349397,0.5050200803212851,0.4786516853932584,0.5076190476190476,14,7,604,23,0.0028718829558730375
Preprocessor1_Model06,0.7,0.42718446601941745,0.5019417475728155,0.4943820224719101,0.5047619047619047,13,10,782,24,1.2556300428980186e-4
Preprocessor1_Model12,0.5625,0.4261241970021413,0.4989293361884368,0.44719101123595506,0.5104761904761905,16,9,568,22,2.0069780381228784e-4
Preprocessor1_Model10,0.55,0.4155844155844156,0.49257884972170685,0.503370786516854,0.48952380952380953,12,11,617,17,0.0010419707384123414
Preprocessor1_Model07,0.5395833333333334,0.4194214876033058,0.4989669421487603,0.45617977528089887,0.5019047619047619,13,5,472,30,0.007531899837186394
Preprocessor1_Model03,0.4666666666666667,0.41346153846153844,0.4913461538461538,0.48314606741573035,0.49047619047619045,13,9,755,21,7.671104345758062e-4
Preprocessor1_Model15,0.44166666666666665,0.41346153846153844,0.48653846153846153,0.48314606741573035,0.49047619047619045,14,8,711,18,6.937774321933731e-4
Preprocessor1_Model18,0.4416666666666666,0.4130879345603272,0.49693251533742333,0.45393258426966293,0.49523809523809526,17,8,403,28,4.916651457450474e-4
Preprocessor1_Model11,0.4041666666666667,0.4102079395085066,0.4886578449905482,0.48764044943820223,0.4857142857142857,16,8,786,25,3.838082938079449e-4
Preprocessor1_Model08,0.3729166666666667,0.412109375,0.484375,0.47415730337078654,0.49047619047619045,12,6,682,27,0.0016607596770382912
Preprocessor1_Model02,0.28958333333333336,0.4094488188976378,0.4812992125984252,0.46741573033707867,0.48857142857142855,16,6,528,26,0.0027074105205060726
Preprocessor1_Model05,0.21666666666666665,0.4015151515151515,0.4725378787878788,0.4764044943820225,0.47714285714285715,14,6,697,18,5.561135339558125e-4
Preprocessor1_Model04,0.19583333333333333,0.40039447731755423,0.47337278106508873,0.45617977528089887,0.48,15,6,425,30,2.509248246904067e-4
Preprocessor1_Model24,0.18541666666666667,0.395910780669145,0.4795539033457249,0.4786516853932584,0.4695238095238095,17,7,723,29,0.0013026905867876437
Preprocessor1_Model09,0.1375,0.3944223107569721,0.4820717131474104,0.4449438202247191,0.47523809523809524,13,8,661,31,0.00410265043640127
Preprocessor1_Model22,0.13333333333333333,0.39622641509433965,0.46132075471698114,0.47191011235955055,0.4714285714285714,16,5,514,23,0.0022896905669916733
Preprocessor1_Model23,0.11249999999999999,0.39451476793248946,0.4704641350210971,0.4202247191011236,0.48095238095238096,16,9,486,29,0.006106186597287121
Preprocessor1_Model25,0.09999999999999999,0.3898916967509025,0.4602888086642599,0.4853932584269663,0.46,15,7,626,22,0.0013509882890287677
