.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model24,0.95,0.45576923076923076,0.5375,0.5669856459330144,0.5580952380952381,16,5,765,27,0.007672376809932353
Preprocessor1_Model19,0.9229166666666666,0.43936731107205623,0.5123022847100176,0.5980861244019139,0.5361904761904762,13,6,566,22,1.1837349064547339e-4
Preprocessor1_Model14,0.8604166666666665,0.4369287020109689,0.5118829981718465,0.5717703349282297,0.5361904761904762,17,6,524,27,1.9695542556778326e-4
Preprocessor1_Model21,0.8374999999999999,0.4354243542435424,0.5156826568265682,0.5645933014354066,0.5352380952380953,15,11,651,25,0.008679711743497348
Preprocessor1_Model05,0.8145833333333333,0.43548387096774194,0.5080645161290323,0.5813397129186603,0.5333333333333333,13,9,473,24,0.004713228221683041
Preprocessor1_Model22,0.8041666666666666,0.4318181818181818,0.5148601398601399,0.5909090909090909,0.5276190476190477,12,9,747,17,0.001070489903387913
Preprocessor1_Model25,0.775,0.4359861591695502,0.4991349480968858,0.6028708133971292,0.5314285714285715,16,7,536,25,5.767118718121009e-4
Preprocessor1_Model06,0.7104166666666667,0.43177570093457945,0.5065420560747663,0.5526315789473685,0.5323809523809524,15,5,580,23,0.0014738604305689696
Preprocessor1_Model09,0.6875,0.42908438061041293,0.5098743267504489,0.5717703349282297,0.5266666666666666,13,5,691,29,0.0026866713398107788
Preprocessor1_Model20,0.6270833333333333,0.42077464788732394,0.5052816901408451,0.5717703349282297,0.5161904761904762,12,8,777,19,0.0063698596727242264
Preprocessor1_Model23,0.6270833333333333,0.42964352720450283,0.50187617260788,0.5478468899521531,0.5304761904761904,13,7,601,20,6.522910928971545e-4
Preprocessor1_Model12,0.5145833333333333,0.41594454072790293,0.48873483535528595,0.5741626794258373,0.5095238095238095,13,9,553,23,0.0012935772863354462
Preprocessor1_Model18,0.46249999999999997,0.41144901610017887,0.49016100178890876,0.5502392344497608,0.5076190476190476,17,9,612,31,0.0022007721656494114
Preprocessor1_Model10,0.4604166666666666,0.41130604288499023,0.49317738791423,0.5047846889952153,0.5152380952380953,14,7,431,18,5.000900299521866e-4
Preprocessor1_Model15,0.40625,0.4111310592459605,0.48922800718132853,0.5478468899521531,0.5076190476190476,16,8,710,28,2.1055390376237338e-4
Preprocessor1_Model08,0.35,0.4067495559502664,0.4911190053285968,0.5478468899521531,0.5019047619047619,13,6,443,28,0.00570696310388803
Preprocessor1_Model03,0.3333333333333333,0.40693430656934304,0.4844890510948905,0.5334928229665071,0.5047619047619047,14,10,794,26,0.00396039975287199
Preprocessor1_Model17,0.3208333333333333,0.4072657743785851,0.4808795411089866,0.5095693779904307,0.5095238095238095,16,8,511,30,4.0142957907146284e-4
Preprocessor1_Model01,0.3041666666666667,0.40687160940325495,0.4837251356238698,0.5382775119617225,0.5038095238095238,15,8,688,29,2.7631738432803537e-4
Preprocessor1_Model16,0.19791666666666666,0.3978102189781022,0.4744525547445255,0.5215311004784688,0.49523809523809526,14,7,732,26,0.0028577505259076708
Preprocessor1_Model04,0.18958333333333335,0.3952569169960474,0.48122529644268774,0.4784688995215311,0.5009523809523809,14,8,634,18,3.2645879074036496e-4
Preprocessor1_Model02,0.14375,0.39233576642335766,0.4717153284671533,0.5143540669856459,0.48952380952380953,15,11,461,21,0.0016903372674846862
Preprocessor1_Model13,0.058333333333333334,0.37858508604206503,0.4608030592734226,0.47368421052631576,0.48095238095238096,16,10,665,22,8.176422742145655e-4
Preprocessor1_Model11,0.05416666666666666,0.3692022263450835,0.46660482374768086,0.47607655502392343,0.4676190476190476,15,10,491,20,1.727437647146789e-4
Preprocessor1_Model07,0.01875,0.3621621621621622,0.45765765765765765,0.48086124401913877,0.4561904761904762,15,10,403,21,1.4124241005070108e-4
