.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model25,0.9687500000000001,0.44112769485903813,0.5671641791044776,0.6909090909090909,0.5657142857142857,17,10,606,30,0.006386432105406786
Preprocessor1_Model16,0.9437500000000001,0.4389233954451346,0.562111801242236,0.5506493506493506,0.5771428571428572,16,10,623,17,0.0013938306540653574
Preprocessor1_Model15,0.925,0.4384920634920635,0.560515873015873,0.574025974025974,0.5742857142857143,13,9,485,18,8.534440636441125e-4
Preprocessor1_Model05,0.8812500000000001,0.4353182751540041,0.5605749486652978,0.5506493506493506,0.5733333333333334,13,6,797,24,2.363349860236145e-4
Preprocessor1_Model06,0.8458333333333333,0.4296875,0.5478515625,0.5714285714285714,0.5647619047619048,15,8,436,20,3.863398903100128e-4
Preprocessor1_Model12,0.7,0.422,0.531,0.548051948051948,0.559047619047619,14,6,542,27,1.3037461169624e-4
Preprocessor1_Model04,0.6958333333333333,0.42115768463073855,0.5399201596806387,0.548051948051948,0.5580952380952381,14,10,574,18,1.8298735147351613e-4
Preprocessor1_Model23,0.68125,0.4209445585215606,0.5441478439425051,0.5324675324675324,0.56,14,9,664,19,0.0016216175341373855
Preprocessor1_Model03,0.6729166666666667,0.42084168336673344,0.5450901803607214,0.5454545454545454,0.5580952380952381,13,9,644,22,3.572753760200632e-4
Preprocessor1_Model02,0.6395833333333333,0.4186046511627907,0.5454545454545454,0.5142857142857142,0.56,12,5,758,25,9.752163451247098e-4
Preprocessor1_Model17,0.5520833333333333,0.4161616161616162,0.5343434343434343,0.535064935064935,0.5542857142857143,14,8,692,26,2.597845689721094e-4
Preprocessor1_Model09,0.525,0.4152542372881356,0.538135593220339,0.509090909090909,0.5571428571428572,12,7,496,24,1.6763157481716322e-4
Preprocessor1_Model18,0.5166666666666667,0.41282565130260523,0.5360721442885772,0.535064935064935,0.5504761904761905,13,11,449,30,4.915908599680369e-4
Preprocessor1_Model13,0.46666666666666673,0.4094488188976378,0.5285433070866141,0.5402597402597402,0.5457142857142857,15,11,419,27,0.0011998712600155147
Preprocessor1_Model22,0.45625000000000004,0.4088291746641075,0.527831094049904,0.5532467532467532,0.5428571428571428,14,9,414,28,6.893337145679816e-4
Preprocessor1_Model08,0.3916666666666667,0.40824742268041236,0.5278350515463918,0.5142857142857142,0.5485714285714286,17,5,739,20,0.0027522505597140662
Preprocessor1_Model01,0.35,0.40562248995983935,0.5271084337349398,0.5246753246753246,0.5438095238095239,16,9,724,23,0.0030808543215554
Preprocessor1_Model24,0.30000000000000004,0.4046692607003891,0.5165369649805448,0.5402597402597402,0.54,15,7,558,29,1.1747612095738343e-4
Preprocessor1_Model10,0.2625,0.4,0.522680412371134,0.5038961038961038,0.540952380952381,16,11,704,28,0.003973023374793333
Preprocessor1_Model14,0.2041666666666667,0.3970893970893971,0.5197505197505198,0.4961038961038961,0.539047619047619,15,6,629,22,0.0022762380388163927
Preprocessor1_Model11,0.20208333333333334,0.3903846153846154,0.5182692307692308,0.5272727272727272,0.5247619047619048,16,6,516,31,0.009541788518310763
Preprocessor1_Model20,0.10208333333333333,0.38271604938271603,0.5020576131687243,0.4831168831168831,0.5247619047619048,17,7,465,21,5.908282604833873e-4
Preprocessor1_Model19,0.07083333333333333,0.37995824634655534,0.5020876826722338,0.4727272727272727,0.5238095238095238,15,6,678,21,0.004678316286813657
Preprocessor1_Model21,0.05,0.376953125,0.5029296875,0.5012987012987012,0.5133333333333333,13,8,776,26,0.008314043607397277
Preprocessor1_Model07,0.03333333333333333,0.3786008230452675,0.49897119341563784,0.4779220779220779,0.52095238095238094,15,7,577,23,0.005507681278201395
