mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
13,776,21,9,0.006188133875056473,5.134995529400978e-6,rmse,standard,28.91068869252156,50,2.2179354693832325,Preprocessor1_Model11
14,886,28,11,0.003080737384143333,3.8110716848349694e-7,rmse,standard,29.191814480102288,50,2.153503187346969,Preprocessor1_Model08
13,897,22,9,0.002570781010607516,2.673982355373204e-4,rmse,standard,29.21184699479592,50,2.120212300971078,Preprocessor1_Model14
17,678,25,8,0.007780174576772691,7.690872524290625e-10,rmse,standard,29.2644015832803,50,2.2282824670852084,Preprocessor1_Model02
16,803,25,12,0.0048720540049432045,0.0043853048092378595,rmse,standard,29.33680207741543,50,2.232341787912737,Preprocessor1_Model17
15,667,27,11,0.0037946256675489235,4.5997999752393293e-4,rmse,standard,29.352008888845045,50,2.1866008132803314,Preprocessor1_Model15
16,870,27,11,0.009951346927327489,22.72930456446463,rmse,standard,29.362873114702296,50,2.261845922004865,Preprocessor1_Model25
15,740,25,13,0.004768777246159345,2.9170139497705982e-8,rmse,standard,29.53782252978051,50,2.214359919409151,Preprocessor1_Model06
15,726,22,13,0.0020755019180953614,3.814204543815159e-9,rmse,standard,30.672942114910416,50,2.280907073931313,Preprocessor1_Model04
14,614,24,12,0.0018821211107145094,0.5110148543041857,rmse,standard,31.78465530279476,50,2.3121773066626403,Preprocessor1_Model22
14,818,26,9,0.0012643476754905956,0.002187361190592549,rmse,standard,32.47284149549511,50,2.3217649902328725,Preprocessor1_Model16
15,652,29,7,0.0014291891829835359,0.3491133822232862,rmse,standard,32.55515902054385,50,2.3316912483630965,Preprocessor1_Model21
16,751,20,10,0.0010791731737531526,2.3743839549321883e-9,rmse,standard,34.34684322845021,50,2.541685067186132,Preprocessor1_Model03
14,794,26,8,7.715520427033817e-4,0.009172716918588628,rmse,standard,36.36669836900261,50,2.613874213954624,Preprocessor1_Model18
16,938,18,7,6.196940064150739e-4,3.1468124292840103e-6,rmse,standard,36.690322014907466,50,2.6365065965978727,Preprocessor1_Model10
14,759,19,8,7.330616640755754e-4,6.073210698475696e-7,rmse,standard,37.21398989730016,50,2.656442210615324,Preprocessor1_Model09
16,849,23,9,4.0216552366386646e-4,2.3982590324392037e-10,rmse,standard,41.784285509954316,50,2.848758387241959,Preprocessor1_Model01
17,695,24,12,4.6949425611354464e-4,1.1662896429530876e-5,rmse,standard,42.211772334098185,50,2.8475311058994603,Preprocessor1_Model12
14,932,20,11,3.3175594008716776e-4,1.6445346173046245e-7,rmse,standard,42.568193116265654,50,2.8710390150145058,Preprocessor1_Model07
13,707,19,8,2.638935830519021e-4,0.056176274420826865,rmse,standard,46.05545681933598,50,2.932346519439152,Preprocessor1_Model20
16,864,28,11,1.7750114180770896e-4,9.278604280883254e-5,rmse,standard,47.277862576327514,50,2.951997097489314,Preprocessor1_Model13
16,909,18,9,1.5598254139501816e-4,4.20732066821991,rmse,standard,47.67072175907177,50,2.9438654434680713,Preprocessor1_Model24
15,639,23,10,2.1752423252494195e-4,0.04607474767311402,rmse,standard,47.722585838798565,50,2.953251566917242,Preprocessor1_Model19
15,834,20,12,1.2232882717187746e-4,1.1321994841081436e-8,rmse,standard,49.11427649156633,50,2.969293291548312,Preprocessor1_Model05
17,609,17,10,1.0289172771027203e-4,2.2101665319712223,rmse,standard,50.570775844431765,50,2.9804930232652875,Preprocessor1_Model23
