mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
15,766,23,8,0.0030231656704234064,0.5244062831324183,rmse,standard,29.228544633984363,50,1.8092526932983295,Preprocessor1_Model22
14,663,25,8,0.005101182903565093,7.667896695339721e-10,rmse,standard,29.390183190430037,50,1.8034146664241788,Preprocessor1_Model02
17,675,29,9,0.009257925603872758,1.955211943893851e-4,rmse,standard,29.407622346974257,50,1.863448029931758,Preprocessor1_Model14
17,748,18,10,0.002752837184280844,0.020039563960722904,rmse,standard,29.468780607313224,50,1.9895956266698407,Preprocessor1_Model19
15,938,26,8,0.004204666384996773,0.23186419400796737,rmse,standard,29.53133497391968,50,1.8512058015257673,Preprocessor1_Model21
13,911,28,10,0.007911043178075713,0.015309063311527232,rmse,standard,29.62161744760073,50,1.9133383348657107,Preprocessor1_Model18
15,870,22,10,0.006851855826414985,0.1354907374215008,rmse,standard,29.72258734137983,50,1.9264123468211662,Preprocessor1_Model20
14,804,24,11,0.003569131689648956,2.3331469367574532e-5,rmse,standard,29.81087072211234,50,1.9048007654582217,Preprocessor1_Model12
16,712,24,7,0.0021217870976000816,4.7014755754783495e-9,rmse,standard,29.82797803210311,50,1.9954110910535736,Preprocessor1_Model04
16,710,30,7,0.001780499282648417,5.318458450832928e-5,rmse,standard,30.037215188879852,50,2.1529147357883893,Preprocessor1_Model13
13,688,28,7,0.0014664077896055238,3.2878326618257563e-8,rmse,standard,31.105839537341573,50,2.3324374466079734,Preprocessor1_Model06
15,731,25,8,0.00115366533878858,1.788915825198803e-7,rmse,standard,32.24207880860451,50,2.529026455923463,Preprocessor1_Model08
16,780,31,10,9.784699371947047e-4,3.228016410415982e-6,rmse,standard,33.48208125540002,50,2.6769591204701935,Preprocessor1_Model10
15,862,21,8,5.628884282943026e-4,7.479044035166892e-9,rmse,standard,36.932312323653676,50,3.11998444456451,Preprocessor1_Model05
15,603,26,9,8.040443800551205e-4,15.590339525746382,rmse,standard,37.2416848342878,50,3.1356842588402665,Preprocessor1_Model25
16,637,18,9,6.864997376004104e-4,1.4362255536478344e-10,rmse,standard,38.06611859595006,50,3.2061215432370616,Preprocessor1_Model01
16,822,21,8,5.131353095690268e-4,9.732265225729606e-10,rmse,standard,38.17494563408889,50,3.2251814186863426,Preprocessor1_Model03
17,935,19,9,4.351239505951486e-4,0.0010568519306303839,rmse,standard,38.68213207044356,50,3.2392201799518303,Preprocessor1_Model16
15,828,20,9,3.1676472649316384e-4,4.312328232147545e-6,rmse,standard,42.3851856498016,50,3.5169197425723104,Preprocessor1_Model11
14,844,30,11,2.984956740352602e-4,0.002890584154020151,rmse,standard,42.814950866454126,50,3.521983487530458,Preprocessor1_Model17
13,887,27,10,2.0695613240817622e-4,5.976490422019209e-8,rmse,standard,44.958897289370555,50,3.6381744312929496,Preprocessor1_Model07
14,650,28,11,2.2002188902253914e-4,6.267758750231466,rmse,standard,46.34212887013827,50,3.7001949229315945,Preprocessor1_Model24
16,789,22,10,1.4642509977653179e-4,1.6819881780586212,rmse,standard,47.2409830924374,50,3.746899912034139,Preprocessor1_Model23
14,907,17,8,1.2610557708244132e-4,2.9636515502171295e-4,rmse,standard,47.31092900641269,50,3.7400921193482546,Preprocessor1_Model15
14,618,20,10,1.0315744232280345e-4,4.862285223783965e-7,rmse,standard,49.429573075266156,50,3.8074138824925265,Preprocessor1_Model09
