mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
17,836,26,7,0.0031830541152177375,2.6170114053062395e-10,rmse,standard,31.392643565950397,50,2.0937141556015764,Preprocessor1_Model01
14,930,26,9,0.004117023968879231,15.364812884223328,rmse,standard,31.466340541597962,50,2.0852299228092,Preprocessor1_Model25
15,743,25,8,0.006204195071305666,4.439478486781673e-8,rmse,standard,31.51139681334518,50,2.1179335498252594,Preprocessor1_Model06
16,637,25,8,0.0023274799480393466,5.9615030898622214e-5,rmse,standard,31.626412666651316,50,2.3291405646884438,Preprocessor1_Model13
15,662,31,9,0.0021948370981552134,4.004241263515295e-10,rmse,standard,31.628117597144644,50,2.292605694007631,Preprocessor1_Model02
16,759,22,7,0.005416567063790201,4.6479999143409084e-6,rmse,standard,31.895704935189315,50,2.070899605701419,Preprocessor1_Model11
14,611,17,9,0.00745584341586981,1.0548838592727346e-8,rmse,standard,31.973631073091628,50,2.0699408387051346,Preprocessor1_Model05
15,783,28,8,0.001412013740870295,5.147651204179552e-7,rmse,standard,32.112399600164025,50,2.529718607409248,Preprocessor1_Model09
16,873,30,10,0.0036477701144497538,0.004235825804115147,rmse,standard,32.16552704016738,50,2.1349087400701463,Preprocessor1_Model17
15,948,19,10,0.00937971613509363,1.6731344402989482e-4,rmse,standard,32.24492162224819,50,2.0979380648665633,Preprocessor1_Model14
16,802,20,10,0.0017647378207644097,0.09127712481516984,rmse,standard,32.27427891963483,50,2.31823399311637,Preprocessor1_Model20
17,888,24,11,0.0012795296956836335,6.801000335790105e-8,rmse,standard,32.36083957107839,50,2.503556085186295,Preprocessor1_Model07
14,899,23,9,9.664592854444505e-4,2.942737302134297e-5,rmse,standard,32.66117606361418,50,2.753797133395506,Preprocessor1_Model12
14,840,20,10,8.160477787447668e-4,3.768375775979698e-7,rmse,standard,33.67446471364855,50,3.003892008378841,Preprocessor1_Model08
16,909,29,8,7.550359361405904e-4,1.4601266018547819e-6,rmse,standard,34.244652858983414,50,3.0167476534283493,Preprocessor1_Model10
13,768,27,8,5.457719676117262e-4,0.00084826833464090375,rmse,standard,37.205606758444354,50,3.3470755673407036,Preprocessor1_Model16
14,864,27,10,4.6721268036759207e-4,5.682686199954648e-4,rmse,standard,37.52290869751845,50,3.3832379263749695,Preprocessor1_Model15
13,707,18,11,4.3165450803762197e-4,6.295054928727453e-9,rmse,standard,39.84218503504915,50,3.511725856130929,Preprocessor1_Model04
17,716,18,7,3.503077150190839e-4,9.078969269913667,rmse,standard,41.44554028809343,50,3.5764735097863163,Preprocessor1_Model24
15,822,21,9,2.7867632498677783e-4,0.0164526128014776,rmse,standard,41.97969414591033,50,3.604305207772343,Preprocessor1_Model18
14,727,24,10,2.331707659310179e-4,0.36801317392535005,rmse,standard,43.80886583858118,50,3.656297235974582,Preprocessor1_Model21
16,692,29,8,1.9532873581868567e-4,0.6773513243003771,rmse,standard,45.023211032971794,50,3.683905832217831,Preprocessor1_Model22
14,643,21,9,1.589354345372176e-4,2.2385417854901744e-9,rmse,standard,46.339507732203884,50,3.694043087432309,Preprocessor1_Model03
15,626,22,8,1.4221854683139142e-4,0.04224007164421244,rmse,standard,46.87012998773798,50,3.703204971895361,Preprocessor1_Model19
13,675,28,11,1.0973714729904565e-4,1.73614499151503,rmse,standard,47.46206156667459,50,3.6964292290487446,Preprocessor1_Model23
