mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
14,769,26,10,0.006797694700964037,2.5029854388213073e-8,rmse,standard,26.607989490598563,50,1.9368839255431978,Preprocessor1_Model06
14,543,25,10,0.009661848242090867,0.00278521893793492,rmse,standard,26.80501433002448,50,1.9191720830470909,Preprocessor1_Model17
15,625,27,7,0.004852261373490721,5.764788597574782e-10,rmse,standard,27.106765651131703,50,1.908828630446408,Preprocessor1_Model02
16,480,18,9,0.00829575505901979,0.0015663234293123009,rmse,standard,27.59480818983975,50,1.9978423230926476,Preprocessor1_Model16
16,719,22,8,0.0043099813844828805,0.12953812658256736,rmse,standard,27.830432730471184,50,1.8979992433378012,Preprocessor1_Model20
16,758,24,7,0.002815197032371512,4.270131109798977e-5,rmse,standard,28.21564384759079,50,1.925350793880318,Preprocessor1_Model13
16,525,19,10,0.0038955412158787573,11.40175639152626,rmse,standard,28.4879857830642,50,2.053666574826992,Preprocessor1_Model25
14,592,25,11,0.002705839232328377,1.9899803724215095e-10,rmse,standard,28.739723078211263,50,1.9452158056195787,Preprocessor1_Model01
16,787,18,10,0.0020689342897515684,5.461169532095173e-9,rmse,standard,28.969429105449485,50,2.099450702185696,Preprocessor1_Model04
13,650,20,9,0.001322120184958089,0.21410420324203677,rmse,standard,32.6966202375832,50,2.4474159498547703,Preprocessor1_Model21
15,734,27,10,9.738470675501772e-4,1.6110728199072431e-9,rmse,standard,34.16764914466649,50,2.5668999005051423,Preprocessor1_Model03
14,410,31,9,0.0017384259428557286,2.104604860166418e-6,rmse,standard,34.283369493616405,50,2.5669350981130954,Preprocessor1_Model10
15,747,30,6,8.424173781332536e-4,0.013707922760907695,rmse,standard,35.57767308407815,50,2.6810429361076342,Preprocessor1_Model18
17,499,22,5,0.0011129102657062555,9.78387198320417e-9,rmse,standard,36.55254809339182,50,2.8001940008462496,Preprocessor1_Model05
17,574,29,6,7.28938929612884e-4,7.079462836292461e-7,rmse,standard,39.44506643959587,50,2.948039648419725,Preprocessor1_Model09
14,580,19,7,5.660439277167514e-4,1.0861185690017661e-5,rmse,standard,41.164705297869,50,3.067794452580558,Preprocessor1_Model11
13,688,21,6,4.4843721317981526e-4,1.457924873878754e-5,rmse,standard,41.569825646612756,50,3.04474456571912,Preprocessor1_Model12
15,613,23,9,3.0845019358785705e-4,2.217168931701017,rmse,standard,45.25350116898068,50,3.1418184496898194,Preprocessor1_Model23
14,691,21,5,2.2830296136853434e-4,3.354761760294361e-4,rmse,standard,46.183980765523444,50,3.1161242275823735,Preprocessor1_Model15
15,427,28,11,3.659632835260172e-4,0.8689351927053952,rmse,standard,46.34001331700707,50,3.1302738906197733,Preprocessor1_Model22
17,471,17,6,2.61280269103116e-4,0.054727704959503035,rmse,standard,47.48877794300997,50,3.148454539477246,Preprocessor1_Model19
15,554,29,8,1.638677306058147e-4,3.9315280747213766e-7,rmse,standard,48.68887364824877,50,3.132178039802565,Preprocessor1_Model08
15,442,24,7,1.845711649045854e-4,5.657114145357306,rmse,standard,48.984810839294376,50,3.1420013016887283,Preprocessor1_Model24
16,669,28,8,1.1481590597753707e-4,1.0665971348489677e-4,rmse,standard,49.224176183023424,50,3.133236277101186,Preprocessor1_Model14
13,461,24,7,0.00012068830337894421,1.0263607724257148e-7,rmse,standard,50.00144036986716,50,3.1354179673652016,Preprocessor1_Model07
