mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
16,440,19,6,0.005754782178420773,7.66212959676155e-9,rmse,standard,27.78483243883749,50,2.0838959208139616,Preprocessor1_Model05
15,533,21,5,0.0029289077165928464,3.130319447726627e-10,rmse,standard,27.8542986783505,50,2.0082612887770397,Preprocessor1_Model02
15,737,26,8,0.0036311524816718095,5.483249716864661e-7,rmse,standard,27.861030617786774,50,2.0418633869478344,Preprocessor1_Model09
12,730,25,7,0.0026261219311999404,4.615383712427658,rmse,standard,27.868109087090975,50,1.9819983966840378,Preprocessor1_Model24
14,601,24,9,0.00851498000614218,1.0513007176802554e-4,rmse,standard,27.899175919780667,50,2.137104537939117,Preprocessor1_Model14
16,460,19,10,0.007159659539790545,1.0315845621787843e-9,rmse,standard,28.02489204010332,50,2.0953897312813834,Preprocessor1_Model03
15,476,30,7,0.004220395031560486,0.4319814862146292,rmse,standard,28.181903387547887,50,2.0263887688487263,Preprocessor1_Model21
17,636,29,11,0.005508189770381422,0.13895568065457423,rmse,standard,28.374098773341114,50,2.1437227363753366,Preprocessor1_Model20
16,688,18,10,0.002030667019539259,3.1780996185237494e-9,rmse,standard,29.697020587339953,50,2.151266293998499,Preprocessor1_Model04
14,584,24,6,0.0015524094742373944,0.009218036223027684,rmse,standard,31.082555243838886,50,2.426528573451048,Preprocessor1_Model18
17,795,22,5,0.0011028009242005413,0.0014486623357494687,rmse,standard,31.093559159456728,50,2.4353114006053955,Preprocessor1_Model16
16,521,31,8,0.001692253666335461,1.170485792572621e-5,rmse,standard,31.895994303026384,50,2.4759696603826673,Preprocessor1_Model12
13,645,20,6,0.001012789835031585,2.6668765965069285e-10,rmse,standard,33.90659224059948,50,2.673386062086962,Preprocessor1_Model01
12,757,23,6,6.569432768593133e-4,1.5217677100047651e-6,rmse,standard,36.356655482051146,50,2.8730318134248676,Preprocessor1_Model10
13,494,26,8,8.952492324160587e-4,3.909089358528925e-5,rmse,standard,37.674442918764534,50,2.9557458439396402,Preprocessor1_Model13
16,562,22,11,6.172643893787544e-4,18.762223466735588,rmse,standard,40.26503192168148,50,3.104432543720132,Preprocessor1_Model25
17,665,20,9,4.76926780182108e-4,2.7151263613436888e-8,rmse,standard,40.94033103384568,50,3.1494792130517157,Preprocessor1_Model06
15,705,21,7,4.056560085370264e-4,1.1231829724037983e-7,rmse,standard,41.59778542134302,50,3.1145268761485476,Preprocessor1_Model07
14,769,29,8,2.6799088871047794e-4,4.563419332894201e-4,rmse,standard,44.2179913477614,50,3.1926643327753266,Preprocessor1_Model15
14,407,28,9,3.378224581734525e-4,0.5055650130374182,rmse,standard,46.755537202897585,50,3.2536088784206814,Preprocessor1_Model22
13,612,28,10,1.8694394031839283e-4,5.113232092139771e-6,rmse,standard,47.663082585876566,50,3.2634087761034607,Preprocessor1_Model11
13,507,17,10,2.266824575967478e-4,0.0029533281199687496,rmse,standard,47.71973983086956,50,3.272227166312283,Preprocessor1_Model17
14,683,29,7,1.6031264122763592e-4,0.03643471225750722,rmse,standard,47.793687199203525,50,3.2546264982820694,Preprocessor1_Model19
13,548,24,7,1.131838056295204e-4,2.3274737823139332e-7,rmse,standard,49.768581011133215,50,3.2832476917386497,Preprocessor1_Model08
13,419,27,10,1.2171434403365169e-4,1.9281466482115766,rmse,standard,50.29175081878734,50,3.293222336024659,Preprocessor1_Model23
