mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
16,548,22,5,0.004525866419879165,0.0019455246491687532,rmse,standard,25.991552972508455,50,1.894558848245969,Preprocessor1_Model16
14,493,20,7,0.009158207493867119,9.709146936427362e-6,rmse,standard,26.06494298190938,50,1.9179275659787243,Preprocessor1_Model11
15,614,26,6,0.0035772475800123623,1.2624421201558138e-4,rmse,standard,26.16590340318083,50,1.88263937643115,Preprocessor1_Model14
13,451,23,10,0.00612237319568385,3.886231962862418,rmse,standard,26.240960021991327,50,1.933465277294545,Preprocessor1_Model24
15,720,28,9,0.005532929173092501,1.8007506844297953e-6,rmse,standard,26.41263581352034,50,1.9448965152100874,Preprocessor1_Model10
17,406,27,10,0.006976021295997592,2.616310273950529e-5,rmse,standard,26.517190347817955,50,1.8912206685182051,Preprocessor1_Model12
13,530,30,9,0.0029197951967715277,6.512046820325782e-10,rmse,standard,26.70485317304316,50,2.026185237553532,Preprocessor1_Model02
16,644,25,9,0.0024899430606712147,5.671430860128272e-9,rmse,standard,27.09730415144476,50,1.9788994963417192,Preprocessor1_Model04
14,636,18,8,0.0020633307272193277,0.04487489140454333,rmse,standard,27.401064104027306,50,2.130751335555339,Preprocessor1_Model19
16,581,29,7,0.0015930907412786725,0.0032884357837304717,rmse,standard,28.803022033099655,50,2.362767270254026,Preprocessor1_Model17
14,682,20,8,0.0011813997719762564,2.0517469470379136e-8,rmse,standard,30.098194053198142,50,2.5474869592586873,Preprocessor1_Model06
14,426,30,8,0.0015602730016636144,6.852531955395026e-8,rmse,standard,31.332716521682148,50,2.7058249537794925,Preprocessor1_Model07
15,572,19,11,9.94877558968601e-4,0.9859438368939392,rmse,standard,33.04380431770715,50,2.8390325414877933,Preprocessor1_Model22
17,599,23,9,7.637254995783633e-4,27.94715582548715,rmse,standard,34.85000958407326,50,2.9888778615495166,Preprocessor1_Model25
14,667,31,8,6.563758480458411e-4,0.15535437815640327,rmse,standard,35.06999414852165,50,2.9785174549167523,Preprocessor1_Model20
15,713,28,6,5.665037153419071e-4,1.4269282392867505e-9,rmse,standard,35.51155810348569,50,2.9868472760237994,Preprocessor1_Model03
13,773,19,6,3.221158915632985e-4,1.285795746272769e-6,rmse,standard,39.81394807297619,50,3.136842152487103,Preprocessor1_Model09
14,438,21,11,4.962262948704329e-4,5.596326740125317e-5,rmse,standard,40.89763074610906,50,3.16713525773554,Preprocessor1_Model13
14,468,25,7,4.109505464772059e-4,2.617438255557106e-10,rmse,standard,41.624883726067324,50,3.1936653108268906,Preprocessor1_Model01
17,743,18,6,2.4375828443984983e-4,1.0092241034705919e-8,rmse,standard,41.99613130232241,50,3.224738107602994,Preprocessor1_Model05
15,690,26,10,2.60634549455869e-4,1.9686217753240165,rmse,standard,42.04721220375015,50,3.214245467280142,Preprocessor1_Model23
16,762,24,5,2.0891208537906776e-4,0.015381639887014284,rmse,standard,42.55323538483029,50,3.2276040883169212,Preprocessor1_Model18
16,787,22,10,1.0233011333620392e-4,2.9110533943324225e-4,rmse,standard,45.69580190172986,50,3.256322274139557,Preprocessor1_Model15
15,502,17,7,1.5676174246666107e-4,0.2528306122312738,rmse,standard,45.767726816109644,50,3.247459491505055,Preprocessor1_Model21
16,520,27,7,1.4117232608281378e-4,3.601466218506742e-7,rmse,standard,45.93747074603948,50,3.2477656194661666,Preprocessor1_Model08
