mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
13,684,26,6,0.002086267402495682,5.340854357649553e-8,rmse,standard,28.130174162398486,50,2.1315106660617316,Preprocessor1_Model06
17,759,24,6,0.001782847816293901,2.7573250048892137,rmse,standard,28.44354169768449,50,2.1697683290538663,Preprocessor1_Model23
14,589,28,11,0.003047800994893951,4.0905348598075015e-9,rmse,standard,29.081436905400004,50,1.992054414112989,Preprocessor1_Model04
16,530,24,8,0.0033532140722201233,4.823862560415579e-7,rmse,standard,29.162301564632177,50,1.9822778930571707,Preprocessor1_Model09
13,470,21,10,0.002303354151224859,7.978563063954283e-10,rmse,standard,29.27243540563548,50,2.3437637189515037,Preprocessor1_Model02
14,421,18,9,0.006869830437555652,5.498947770274964,rmse,standard,29.40252718169172,50,1.9389911560570827,Preprocessor1_Model24
15,552,21,7,0.007935488069710502,4.022804329185234e-4,rmse,standard,29.443025037167285,50,1.9998580393484293,Preprocessor1_Model15
14,626,25,10,0.0015475876278261335,16.487399166698317,rmse,standard,29.50204336034812,50,2.442928062807029,Preprocessor1_Model25
14,774,27,9,0.003995474825803612,2.2006694223146297e-6,rmse,standard,29.58601581976361,50,1.9603772086870133,Preprocessor1_Model10
14,567,29,5,0.0013082576070288516,9.39004039181671e-5,rmse,standard,30.049689388498294,50,2.7625957495119358,Preprocessor1_Model13
16,734,27,9,0.00983389308615666,0.5336069294633903,rmse,standard,30.16443676632521,50,1.9990942714766677,Preprocessor1_Model22
16,793,20,9,0.005710173613520438,0.0021211827800833544,rmse,standard,30.213031143089434,50,1.9878973304083893,Preprocessor1_Model16
17,712,23,6,9.174777322599137e-4,0.030603561399457423,rmse,standard,31.12226483662385,50,2.87295186564816,Preprocessor1_Model19
15,737,31,11,8.961836515228801e-4,0.17281229256813138,rmse,standard,31.720964587120864,50,2.885749962555783,Preprocessor1_Model21
15,696,19,7,5.203694917758415e-4,9.75567604069226e-10,rmse,standard,36.287079022518974,50,3.231588025914004,Preprocessor1_Model03
16,437,22,6,7.162145349080066e-4,0.011799226743039319,rmse,standard,37.535560164043964,50,3.274198032751655,Preprocessor1_Model18
15,452,26,10,5.586347080380504e-4,0.13956970924695555,rmse,standard,39.29769883964608,50,3.3305302945272564,Preprocessor1_Model20
14,502,22,5,4.1772705714689904e-4,3.0132873975343707e-7,rmse,standard,40.56263889202053,50,3.3544346549983324,Preprocessor1_Model08
16,665,24,10,2.5547719715272995e-4,0.005329859537723619,rmse,standard,42.10040900141008,50,3.4058547848436427,Preprocessor1_Model17
13,525,29,6,3.206621848000687e-4,9.701392417921572e-8,rmse,standard,42.174942409728786,50,3.3976615723373325,Preprocessor1_Model07
16,623,30,8,2.298152737608886e-4,1.1680906475258579e-5,rmse,standard,43.08234235647699,50,3.428896274304146,Preprocessor1_Model12
14,603,29,8,1.9677600418729115e-4,6.293952405433968e-6,rmse,standard,44.06532140039622,50,3.4336029821073413,Preprocessor1_Model11
15,643,17,8,1.4251512973787584e-4,2.630394013657716e-10,rmse,standard,45.12389062958749,50,3.436257933544036,Preprocessor1_Model01
17,483,19,7,1.6688698298956715e-4,1.3613500926425413e-8,rmse,standard,45.49109400925678,50,3.447182447788685,Preprocessor1_Model05
15,404,18,7,1.1695653330113891e-4,1.0637865902394694e-4,rmse,standard,47.025615615609375,50,3.452305127255626,Preprocessor1_Model14
