.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model14,0.9727272727272727,0.37809187279151946,0.5379858657243817,0.4385245901639344,0.36871717929482273,16,15,797,27,1.5368819219961643e-4
Preprocessor1_Model06,0.9613636363636363,0.3780260707635009,0.5549348230912476,0.41598360655737704,0.35708927231808063,14,16,709,30,1.100790195685778e-4
Preprocessor1_Model22,0.8818181818181818,0.37213740458015265,0.5391221374045801,0.39959016393442626,0.3439609902475624,16,13,694,22,3.959141806755812e-4
Preprocessor1_Model19,0.7954545454545454,0.3609022556390977,0.5300751879699248,0.39344262295081966,0.3345836459114769,17,15,584,29,1.2928766533791276e-4
Preprocessor1_Model09,0.790909090909091,0.35074626865671643,0.519589552238806,0.38524590163934425,0.34546136534133476,18,14,664,26,6.27550354095306e-4
Preprocessor1_Model18,0.7772727272727272,0.33693693693693694,0.5243243243243243,0.3831967213114754,0.3503375843960982,13,11,509,23,2.621478877943849e-4
Preprocessor1_Model13,0.734090909090909,0.3412844036697248,0.518348623853211,0.38114754098360654,0.3477119279819958,13,13,522,18,2.123957289407241e-4
Preprocessor1_Model21,0.6909090909090909,0.34297520661157027,0.512396694214876,0.3401639344262295,0.3638409602400616,17,15,861,30,0.006177214651733008
Preprocessor1_Model08,0.5636363636363637,0.3315018315018315,0.5009157509157509,0.3709016393442623,0.3447111777944471,18,12,599,28,0.0014770211724276989
Preprocessor1_Model20,0.559090909090909,0.33072407045009783,0.5107632093933464,0.3463114754098361,0.34058514628657205,12,11,614,19,0.0019780307749377433
Preprocessor1_Model05,0.5136363636363637,0.33191489361702126,0.5095744680851064,0.319672131147541,0.34846211552888046,14,14,760,31,0.00681779563178659
Preprocessor1_Model15,0.45227272727272727,0.3270321361058601,0.5,0.35450819672131145,0.336459114778695,16,12,892,24,5.073922826929932e-4
Preprocessor1_Model11,0.44772727272727275,0.31040564373897706,0.5017636684303352,0.36065573770491804,0.33870967741935437,14,14,844,26,9.005616006385731e-4
Preprocessor1_Model10,0.4272727272727272,0.3253012048192771,0.5110441767068273,0.3319672131147541,0.3214553638409619,15,9,733,22,0.0011366065954029317
Preprocessor1_Model12,0.3886363636363636,0.3237113402061856,0.5020618556701031,0.32172131147540983,0.33420855213803313,13,11,566,20,0.0027036089387583433
Preprocessor1_Model02,0.34545454545454546,0.31669865642994244,0.5,0.33811475409836067,0.3304576144036021,18,11,877,17,2.7837527617637314e-4
Preprocessor1_Model03,0.32954545454545453,0.3213572854291417,0.500998003992016,0.32991803278688525,0.3233308327081756,17,17,818,20,4.2408182923626937e-4
Preprocessor1_Model04,0.2659090909090909,0.3153846153846154,0.4980769230769231,0.3360655737704918,0.3195798949737443,15,10,674,25,0.0010006483011952656
Preprocessor1_Model07,0.2272727272727273,0.3125,0.49776785714285715,0.28688524590163933,0.34283570892723203,19,16,793,18,0.009657826607640274
Preprocessor1_Model17,0.15909090909090906,0.29458917835671344,0.48897795591182364,0.3012295081967213,0.3300825206301582,15,13,545,23,0.003600228585077086
Preprocessor1_Model23,0.09545454545454544,0.29977628635346754,0.4843400447427293,0.27459016393442626,0.32820705176293974,13,16,773,28,0.004961602262678841
Preprocessor1_Model01,0.09318181818181817,0.2938775510204082,0.48367346938775513,0.29508196721311475,0.3263315828957233,16,10,625,24,0.003684680134190068
Preprocessor1_Model16,0.013636363636363636,0.2905263157894737,0.47578947368421054,0.2827868852459016,0.3045761440360085,19,9,643,21,0.0023967725088560976
