.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model19,0.9522727272727273,0.36807095343680707,0.4977827050997783,0.3705357142857143,0.2914478619654918,16,11,540,23,0.001150645774010386
Preprocessor1_Model12,0.925,0.36075949367088606,0.48945147679324896,0.38169642857142855,0.2880720180045008,15,16,681,22,0.0013845783745188474
Preprocessor1_Model14,0.8454545454545455,0.35777777777777775,0.4866666666666667,0.359375,0.2963240810202549,17,13,526,19,0.006411321693178046
Preprocessor1_Model18,0.8454545454545455,0.36486486486486486,0.48423423423423423,0.36160714285714285,0.2955738934733686,18,14,503,23,0.005118657035048301
Preprocessor1_Model06,0.7386363636363635,0.3548387096774194,0.4720430107526882,0.36830357142857145,0.2951987996999249,14,12,635,18,0.0027407452456025636
Preprocessor1_Model15,0.7022727272727272,0.3480083857442348,0.4832285115303983,0.3705357142857143,0.2734433608402097,15,14,553,24,0.001072892037764079
Preprocessor1_Model08,0.6840909090909091,0.3632183908045977,0.4862068965517241,0.35267857142857145,0.2831957989497374,14,16,591,18,0.0014952489185908076
Preprocessor1_Model22,0.6181818181818182,0.35176991150442477,0.48451327433628316,0.3549107142857143,0.2783195798949739,13,16,830,20,0.002650772753223778
Preprocessor1_Model17,0.5590909090909091,0.3509933774834437,0.48013245033112584,0.3549107142857143,0.2786946736684166,16,9,707,25,0.003917605160607149
Preprocessor1_Model20,0.55,0.3502202643171806,0.47687224669603523,0.3549107142857143,0.2839459864966236,17,12,831,19,0.0042316182111929055
Preprocessor1_Model05,0.5386363636363636,0.3374485596707819,0.4660493827160494,0.36607142857142855,0.2839459864966235,12,10,748,21,0.0018039333385554957
Preprocessor1_Model23,0.5340909090909091,0.3418803418803419,0.47115384615384615,0.35714285714285715,0.2824456114028512,13,11,871,21,0.0030219552118826666
Preprocessor1_Model01,0.5022727272727273,0.3502202643171806,0.4812775330396476,0.3549107142857143,0.2636909227306829,19,11,650,30,0.002006082623367914
Preprocessor1_Model09,0.4181818181818182,0.33264033264033266,0.4708939708939709,0.35714285714285715,0.27044261065266345,16,16,807,28,0.0012852178789261855
Preprocessor1_Model02,0.3727272727272727,0.33402922755741127,0.46450939457202506,0.35714285714285715,0.26669167291822904,18,14,720,26,0.008325093896182195
Preprocessor1_Model13,0.3386363636363636,0.3391304347826087,0.475,0.3482142857142857,0.255438859714929,17,15,770,27,0.0023499773453301573
Preprocessor1_Model16,0.31590909090909086,0.33403361344537813,0.46743697478991597,0.3549107142857143,0.26069017254313587,18,10,662,29,0.002122672278977457
Preprocessor1_Model10,0.25,0.3277661795407098,0.4561586638830898,0.35044642857142855,0.27119279819954967,15,12,575,27,0.005823720015804348
Preprocessor1_Model04,0.1909090909090909,0.3333333333333333,0.47058823529411764,0.34151785714285715,0.24906226556639163,13,13,738,28,0.0033706638744753544
Preprocessor1_Model03,0.1318181818181818,0.3170731707317073,0.45223577235772355,0.3482142857142857,0.26144036009002225,19,13,780,31,0.006975967528786448
Preprocessor1_Model21,0.11590909090909089,0.32558139534883723,0.452431289640592,0.34375,0.2580645161290325,14,10,612,29,0.004683863405305196
Preprocessor1_Model07,0.09999999999999999,0.3144016227180527,0.44929006085192696,0.34598214285714285,0.26369092273068284,14,17,885,24,0.007794431465738974
Preprocessor1_Model11,0.05454545454545454,0.3140495867768595,0.4462809917355372,0.3392857142857143,0.2670667666916727,12,15,865,20,0.009157931935179296
