.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model23,0.9886363636363635,0.35891647855530473,0.4966139954853273,0.35412026726057905,0.23105776444110968,17,14,686,19,0.0026325948624734987
Preprocessor1_Model07,0.9045454545454545,0.36077481840193704,0.4891041162227603,0.33184855233853006,0.2138034508627159,14,10,804,25,0.009545180738486588
Preprocessor1_Model17,0.8204545454545455,0.35609756097560974,0.4865853658536585,0.32516703786191536,0.20967741935483813,13,14,569,19,0.007933559869392473
Preprocessor1_Model14,0.8159090909090909,0.3448275862068966,0.4839080459770115,0.33407572383073497,0.2179294823705923,17,17,726,18,0.0017335415184051791
Preprocessor1_Model01,0.6977272727272728,0.34134615384615385,0.47596153846153844,0.31625835189309576,0.21980495123780883,16,10,772,21,0.004338321864930997
Preprocessor1_Model09,0.6977272727272728,0.34491315136476425,0.47890818858560796,0.30957683741648107,0.21530382595648884,15,12,551,30,0.006575596039827718
Preprocessor1_Model13,0.6613636363636363,0.3432098765432099,0.47530864197530864,0.30957683741648107,0.21942985746436566,17,9,826,30,0.002384158669772626
Preprocessor1_Model06,0.6590909090909091,0.33906633906633904,0.48402948402948404,0.30734966592427615,0.21305326331582958,18,16,695,20,3.3669481638280344e-4
Preprocessor1_Model20,0.6454545454545455,0.3504043126684636,0.4946091644204852,0.289532293986637,0.19317329332333033,13,16,593,26,1.5605232845737016e-4
Preprocessor1_Model04,0.6409090909090909,0.3471502590673575,0.4883419689119171,0.2984409799554566,0.20067516879219854,12,11,844,23,4.5192820123581186e-4
Preprocessor1_Model10,0.4772727272727273,0.3382352941176471,0.4742647058823529,0.30734966592427615,0.2029257314328583,12,12,718,22,0.004591558305398917
Preprocessor1_Model22,0.44999999999999996,0.3349875930521092,0.47146401985111663,0.30066815144766146,0.2145536384096022,16,9,896,26,0.00317441849750666
Preprocessor1_Model02,0.4068181818181818,0.33692722371967654,0.4797843665768194,0.27839643652561247,0.18904726181545428,14,15,755,24,2.1473171767161171e-4
Preprocessor1_Model16,0.3840909090909091,0.3333333333333333,0.47455470737913485,0.29175946547884185,0.20142535633908473,19,13,629,27,2.7129803011165953e-4
Preprocessor1_Model19,0.3704545454545455,0.32857142857142857,0.4666666666666667,0.30734966592427615,0.20480120030007504,17,12,780,19,6.238853621651021e-4
Preprocessor1_Model18,0.3704545454545454,0.33791208791208793,0.4807692307692308,0.2739420935412027,0.18454613653413374,15,16,643,25,1.111539643062604e-4
Preprocessor1_Model03,0.34772727272727266,0.3269689737470167,0.4665871121718377,0.3051224944320713,0.20967741935483822,15,10,574,27,8.393995106766603e-4
Preprocessor1_Model15,0.3181818181818182,0.3324324324324324,0.4797297297297297,0.2739420935412027,0.19167291822955776,16,14,855,18,3.2530226548013595e-4
Preprocessor1_Model08,0.18181818181818182,0.32717678100263853,0.4604221635883905,0.27616926503340755,0.19242310577644436,13,13,614,23,5.356106727992006e-4
Preprocessor1_Model11,0.17727272727272728,0.328804347826087,0.4741847826086957,0.26948775055679286,0.19017254313578322,15,16,666,22,1.3484495695429333e-4
Preprocessor1_Model12,0.17272727272727273,0.32545931758530183,0.4553805774278215,0.27616926503340755,0.2029257314328583,14,13,522,29,0.0011568028899498076
Preprocessor1_Model05,0.10681818181818181,0.32266666666666666,0.4533333333333333,0.26948775055679286,0.2085521380345088,18,11,876,31,9.255439184287568e-4
Preprocessor1_Model21,0.10227272727272727,0.30808080808080807,0.44065656565656564,0.2717149220489978,0.2051762940735188,18,15,504,28,0.0013516686905382651
