.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model12,1,0.40226628895184136,0.5198300283286119,0.3817204301075269,0.58,17,11,786,18,1.9441528398766395e-4
Preprocessor1_Model22,0.9479166666666667,0.37960339943342775,0.5014164305949008,0.3602150537634409,0.5647619047619048,15,9,487,20,6.340722968912238e-4
Preprocessor1_Model11,0.8979166666666668,0.3764705882352941,0.5,0.34408602150537637,0.5657142857142857,15,11,605,17,2.718456895587471e-4
Preprocessor1_Model01,0.7895833333333334,0.37464788732394366,0.49577464788732395,0.3575268817204301,0.560952380952381,15,8,768,19,6.129102530019418e-4
Preprocessor1_Model09,0.76875,0.36962750716332377,0.497134670487106,0.3467741935483871,0.559047619047619,13,10,565,29,0.002002022065444171
Preprocessor1_Model16,0.7520833333333333,0.3691860465116279,0.49709302325581395,0.34139784946236557,0.56,16,9,705,28,3.1426193175975033e-4
Preprocessor1_Model14,0.7083333333333334,0.36627906976744184,0.5,0.3387096774193548,0.5580952380952381,14,10,451,29,7.942946595757954e-4
Preprocessor1_Model24,0.6604166666666667,0.3701492537313433,0.491044776119403,0.3333333333333333,0.5628571428571428,14,10,724,24,0.0026126845993368008
Preprocessor1_Model10,0.6354166666666667,0.36826347305389223,0.49550898203592814,0.33064516129032256,0.5619047619047619,16,8,501,27,1.6436327080707544e-4
Preprocessor1_Model19,0.6354166666666666,0.36795252225519287,0.49554896142433236,0.3333333333333333,0.560952380952381,13,9,479,21,1.3756666466716898e-4
Preprocessor1_Model03,0.6125,0.3631123919308357,0.4956772334293948,0.3387096774193548,0.5552380952380952,13,6,672,23,0.0011113615333580129
Preprocessor1_Model08,0.5958333333333333,0.36666666666666664,0.49393939393939396,0.32526881720430106,0.5619047619047619,16,6,747,18,0.001665222394109639
Preprocessor1_Model02,0.5645833333333334,0.36127167630057805,0.4956647398843931,0.33602150537634407,0.5542857142857143,15,9,619,27,9.339476356025882e-4
Preprocessor1_Model06,0.3979166666666667,0.35435435435435436,0.4894894894894895,0.3172043010752688,0.5533333333333333,14,6,513,30,0.0014784215703736688
Preprocessor1_Model15,0.3979166666666667,0.3547400611620795,0.4877675840978593,0.3118279569892473,0.5552380952380952,16,5,766,31,2.3956773962267904e-4
Preprocessor1_Model05,0.34375,0.35327635327635326,0.48148148148148145,0.3333333333333333,0.5476190476190477,12,7,692,21,4.995825998083609e-4
Preprocessor1_Model04,0.3270833333333334,0.35344827586206895,0.47988505747126436,0.33064516129032256,0.5485714285714286,12,10,420,22,4.339606028356152e-4
Preprocessor1_Model21,0.3166666666666667,0.35275080906148865,0.47572815533980584,0.29301075268817206,0.559047619047619,16,7,629,29,0.006340760125983041
Preprocessor1_Model20,0.27708333333333335,0.3498542274052478,0.48104956268221577,0.3225806451612903,0.5476190476190477,14,10,536,26,1.1658579062065228e-4
Preprocessor1_Model18,0.2604166666666667,0.35103244837758113,0.47050147492625366,0.31989247311827956,0.5495238095238095,13,6,553,19,0.003032384648623986
Preprocessor1_Model07,0.18541666666666667,0.33602150537634407,0.46236559139784944,0.33602150537634407,0.5295238095238095,14,5,445,25,0.0033845609058474994
Preprocessor1_Model25,0.11875000000000001,0.3372093023255814,0.45930232558139533,0.3118279569892473,0.539047619047619,17,8,581,23,0.008924447431909496
Preprocessor1_Model13,0.08958333333333333,0.3353658536585366,0.4573170731707317,0.2956989247311828,0.5428571428571428,14,6,414,26,0.006925302253041996
Preprocessor1_Model23,0.052083333333333336,0.330188679245283,0.449685534591195,0.28225806451612906,0.5428571428571428,15,7,652,24,0.004267193411756311
Preprocessor1_Model17,0.041666666666666664,0.32094594594594594,0.4408783783783784,0.2553763440860215,0.5447619047619048,13,7,680,21,0.005431728963709371
