.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model08,0.9863636363636364,0.3904109589041096,0.5068493150684932,0.38169642857142855,0.4561140285071267,19,15,874,21,7.637216823829264e-4
Preprocessor1_Model10,0.9204545454545454,0.375,0.5022321428571429,0.375,0.445236309077269,17,10,610,23,5.083366591367823e-4
Preprocessor1_Model16,0.8681818181818182,0.37354988399071926,0.5011600928074246,0.359375,0.4463615903975991,18,13,897,24,4.365569833758354e-4
Preprocessor1_Model09,0.8522727272727273,0.3606194690265487,0.5,0.3638392857142857,0.4471117779444866,19,12,692,27,0.0019387528831550612
Preprocessor1_Model15,0.8363636363636364,0.36525612472160357,0.48552338530066813,0.36607142857142855,0.4459864966241559,17,16,743,20,0.0030084614102506148
Preprocessor1_Model07,0.8022727272727272,0.3584905660377358,0.48532494758909855,0.38169642857142855,0.44486121530382544,17,10,983,18,1.623839899140023e-4
Preprocessor1_Model13,0.7181818181818181,0.35891647855530473,0.4887133182844244,0.3549107142857143,0.43773443360840236,14,14,991,20,3.9268595616266184e-4
Preprocessor1_Model04,0.5931818181818181,0.35280898876404493,0.4786516853932584,0.35044642857142855,0.42985746436609196,18,15,858,21,0.005569855465802038
Preprocessor1_Model23,0.5863636363636363,0.33974358974358976,0.4722222222222222,0.3549107142857143,0.439984996249062,16,11,686,27,0.0010422335495023933
Preprocessor1_Model02,0.5363636363636364,0.34292035398230086,0.4778761061946903,0.34598214285714285,0.43585896474118474,17,16,631,25,0.0044379137642598715
Preprocessor1_Model14,0.5045454545454545,0.33544303797468356,0.4694092827004219,0.3549107142857143,0.43173293323330836,14,16,917,22,0.002376197278729053
Preprocessor1_Model11,0.475,0.34292035398230086,0.4668141592920354,0.34598214285714285,0.43585896474118485,15,12,643,23,0.004989826499528203
Preprocessor1_Model17,0.4113636363636364,0.3378684807256236,0.47278911564625853,0.3325892857142857,0.42798199549887433,16,13,949,26,1.1137961598661265e-4
Preprocessor1_Model12,0.40454545454545454,0.3347547974413646,0.46375266524520253,0.35044642857142855,0.4328582145536382,13,13,793,19,0.0027762760286078937
Preprocessor1_Model18,0.3795454545454545,0.33769063180827885,0.4662309368191721,0.34598214285714285,0.4287321830457617,15,14,841,17,0.008877742180887518
Preprocessor1_Model01,0.3318181818181818,0.33112582781456956,0.46909492273730685,0.33482142857142855,0.42535633908477083,15,11,734,28,3.2930025684526845e-4
Preprocessor1_Model22,0.27499999999999997,0.32,0.45,0.35714285714285715,0.4096024006001501,12,17,668,24,0.0012787022596489844
Preprocessor1_Model06,0.24545454545454543,0.3269230769230769,0.4594017094017094,0.34151785714285715,0.4204801200300078,12,9,887,19,0.006778912808571946
Preprocessor1_Model03,0.19318181818181818,0.32589285714285715,0.46651785714285715,0.32589285714285715,0.4092273068267063,16,10,788,30,1.3453519665524395e-4
Preprocessor1_Model19,0.18181818181818182,0.3235294117647059,0.4569327731092437,0.34375,0.40135033758439576,18,11,826,29,0.001524954984541912
Preprocessor1_Model20,0.13636363636363635,0.3230769230769231,0.46153846153846156,0.328125,0.405476369092273,13,15,768,28,2.423651672931576e-4
Preprocessor1_Model21,0.11363636363636362,0.31759656652360513,0.45493562231759654,0.33035714285714285,0.41710427606901707,13,12,938,29,1.9473167880249172e-4
Preprocessor1_Model05,0.02727272727272727,0.3070362473347548,0.44562899786780386,0.32142857142857145,0.4111027756939236,14,14,717,30,6.435775630179394e-4
