.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model12,0.9770833333333334,0.42857142857142855,0.6442577030812325,0.5604395604395604,0.6914285714285714,15,9,588,29,8.17329859690303e-4
Preprocessor1_Model07,0.9020833333333333,0.4257703081232493,0.634453781512605,0.5567765567765568,0.6895238095238095,14,10,572,26,0.0026613242040916026
Preprocessor1_Model01,0.8833333333333333,0.42406876790830944,0.6432664756446992,0.5421245421245421,0.6895238095238095,15,11,758,29,0.0015918621675940824
Preprocessor1_Model18,0.8083333333333335,0.42452830188679247,0.6305031446540881,0.4945054945054945,0.6942857142857143,17,10,418,25,0.009778978623817753
Preprocessor1_Model02,0.7895833333333334,0.41353383458646614,0.6240601503759399,0.6043956043956044,0.6742857142857143,16,5,528,25,4.596036203256251e-4
Preprocessor1_Model13,0.7583333333333333,0.41002949852507375,0.6297935103244838,0.5091575091575091,0.6819047619047619,14,9,689,27,0.0011853423537762958
Preprocessor1_Model21,0.6541666666666667,0.40532544378698226,0.6227810650887574,0.5018315018315018,0.679047619047619,12,6,644,24,0.0021641831439720306
Preprocessor1_Model04,0.6354166666666667,0.4,0.6116883116883117,0.5641025641025641,0.6666666666666666,15,6,527,28,3.4556320498565514e-4
Preprocessor1_Model10,0.6333333333333333,0.40285714285714286,0.6128571428571429,0.5164835164835165,0.6752380952380952,14,7,620,30,0.003342769461838819
Preprocessor1_Model16,0.6312500000000001,0.4054878048780488,0.6158536585365854,0.48717948717948717,0.680952380952381,12,6,667,22,0.006611261431101825
Preprocessor1_Model06,0.6229166666666668,0.40963855421686746,0.6099397590361446,0.4981684981684982,0.6828571428571428,15,7,719,26,0.004578738246828077
Preprocessor1_Model09,0.5291666666666667,0.39943342776203966,0.6048158640226629,0.5164835164835165,0.6723809523809524,15,5,557,28,0.0054209033859783885
Preprocessor1_Model23,0.48750000000000004,0.38235294117647056,0.6082887700534759,0.5238095238095238,0.6561904761904762,13,10,632,21,6.147927688827558e-4
Preprocessor1_Model11,0.4375,0.38764044943820225,0.5898876404494382,0.5054945054945055,0.6638095238095238,13,6,772,23,0.0029956357036206647
Preprocessor1_Model20,0.41041666666666665,0.38509316770186336,0.5916149068322981,0.4542124542124542,0.6695238095238095,14,11,672,17,0.008038724371783535
Preprocessor1_Model08,0.39375000000000004,0.3791348600508906,0.5877862595419847,0.5457875457875457,0.6495238095238095,16,7,509,27,2.4096399168643747e-4
Preprocessor1_Model05,0.3875,0.3790523690773067,0.5885286783042394,0.5567765567765568,0.6476190476190476,16,9,728,31,1.0525391387482856e-4
Preprocessor1_Model03,0.31041666666666673,0.36883116883116884,0.5896103896103896,0.5201465201465202,0.6438095238095238,13,10,749,21,2.5579790636625016e-4
Preprocessor1_Model17,0.2416666666666667,0.3735632183908046,0.5847701149425287,0.47619047619047616,0.6561904761904762,16,8,604,20,0.0014341647619134687
Preprocessor1_Model15,0.22291666666666668,0.3692722371967655,0.5822102425876011,0.5018315018315018,0.6476190476190476,17,6,491,22,7.473288117839318e-4
Preprocessor1_Model22,0.21666666666666667,0.3665768194070081,0.5849056603773585,0.4981684981684982,0.6457142857142857,15,8,790,19,1.945382178064681e-4
Preprocessor1_Model25,0.17291666666666666,0.36185819070904646,0.5806845965770171,0.5421245421245421,0.6323809523809524,12,8,460,23,4.3144461127616327e-4
Preprocessor1_Model24,0.13541666666666666,0.36069651741293535,0.572139303482587,0.5311355311355311,0.6333333333333333,13,8,467,18,1.5153156607799608e-4
Preprocessor1_Model14,0.13541666666666666,0.36220472440944884,0.5800524934383202,0.5054945054945055,0.64,13,7,440,19,1.323584393518289e-4
Preprocessor1_Model19,0.0375,0.3601108033240997,0.5650969529085873,0.47619047619047616,0.6438095238095238,16,9,412,18,9.366056358920749e-4
