.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model08,0.9000000000000001,0.42403628117913833,0.5793650793650794,0.5282485875706214,0.3557142857142857,14,12,961,18,0.003467711845877695
Preprocessor1_Model19,0.8607142857142858,0.40997830802603036,0.5726681127982647,0.5338983050847458,0.3619047619047619,16,14,741,22,2.615546189349062e-4
Preprocessor1_Model16,0.8464285714285715,0.4074074074074074,0.5679012345679012,0.559322033898305,0.3638095238095238,13,9,981,18,1.3838503855312747e-4
Preprocessor1_Model17,0.7857142857142858,0.41025641025641024,0.5651709401709402,0.5423728813559322,0.3595238095238095,16,11,907,25,2.296210146841358e-4
Preprocessor1_Model12,0.7232142857142857,0.4072494669509595,0.5628997867803838,0.53954802259887,0.37142857142857144,13,16,995,17,3.4514520767999553e-4
Preprocessor1_Model21,0.7160714285714286,0.41019417475728154,0.5776699029126213,0.4774011299435028,0.3342857142857143,17,13,822,27,0.0017158963190299277
Preprocessor1_Model11,0.6964285714285715,0.40208333333333335,0.5635416666666667,0.5451977401129944,0.35285714285714287,14,10,925,26,1.9391084741172195e-4
Preprocessor1_Model25,0.6928571428571428,0.40131578947368424,0.5679824561403509,0.5169491525423728,0.3485714285714286,18,9,707,23,1.1138293430114475e-4
Preprocessor1_Model07,0.6660714285714286,0.4053398058252427,0.5788834951456311,0.4717514124293785,0.3357142857142857,19,12,933,28,6.682191987689416e-4
Preprocessor1_Model23,0.6321428571428571,0.40043763676148797,0.5656455142231948,0.5169491525423728,0.35285714285714287,14,14,736,30,0.001102163625407836
Preprocessor1_Model05,0.5964285714285714,0.4012738853503185,0.5605095541401274,0.5338983050847458,0.35428571428571426,15,13,959,24,1.6275878242237555e-4
Preprocessor1_Model24,0.5946428571428571,0.3986636971046771,0.5657015590200446,0.5056497175141242,0.3485714285714286,13,12,619,28,0.002269450427629454
Preprocessor1_Model20,0.5625,0.39902676399026765,0.5693430656934306,0.4632768361581921,0.3438095238095238,16,15,850,23,9.094021604729524e-4
Preprocessor1_Model22,0.5607142857142857,0.40816326530612246,0.5701530612244898,0.4519774011299435,0.3319047619047619,18,10,898,20,0.004143905423455156
Preprocessor1_Model02,0.5410714285714285,0.39555555555555555,0.5622222222222222,0.5028248587570622,0.3619047619047619,18,10,611,20,3.7084478136010775e-4
Preprocessor1_Model28,0.5071428571428572,0.4095022624434389,0.5576923076923077,0.5112994350282486,0.34714285714285714,14,11,887,20,0.008955205973424814
Preprocessor1_Model06,0.4839285714285715,0.39337474120082816,0.5579710144927537,0.536723163841808,0.3461904761904762,13,17,672,29,1.3189653417307052e-4
Preprocessor1_Model15,0.46071428571428574,0.3938730853391685,0.5557986870897156,0.5084745762711864,0.3647619047619048,15,11,661,19,7.78020045235102e-4
Preprocessor1_Model09,0.4142857142857143,0.392018779342723,0.5633802816901409,0.4717514124293785,0.3380952380952381,13,15,694,29,0.002474188829156
Preprocessor1_Model26,0.4125,0.3900226757369615,0.5589569160997733,0.4858757062146893,0.3538095238095238,17,16,862,21,5.224681712522927e-4
Preprocessor1_Model18,0.38571428571428573,0.3944020356234097,0.5674300254452926,0.4378531073446328,0.3171428571428571,17,12,759,23,0.005000427753355969
Preprocessor1_Model13,0.3196428571428571,0.3908872901678657,0.5599520383693045,0.4604519774011299,0.3414285714285714,16,13,846,21,0.001357940883858848
Preprocessor1_Model29,0.2982142857142857,0.3778280542986425,0.5407239819004525,0.4717514124293785,0.36095238095238097,18,10,773,18,4.777096421863262e-4
Preprocessor1_Model10,0.2910714285714286,0.39243498817966904,0.557919621749409,0.4689265536723164,0.3323809523809524,12,15,808,25,0.00306196095110221
Preprocessor1_Model04,0.17142857142857143,0.3818615751789976,0.5536992840095465,0.4519774011299435,0.3333333333333333,17,13,798,30,0.0010399975483740625
Preprocessor1_Model03,0.11249999999999999,0.37354988399071926,0.5382830626450116,0.4548022598870056,0.32285714285714284,15,15,784,26,0.005345881781651885
Preprocessor1_Model27,0.10892857142857143,0.3741496598639456,0.5260770975056689,0.4661016949152542,0.32666666666666666,12,16,724,25,0.0062327850284293876
Preprocessor1_Model14,0.07499999999999998,0.37142857142857144,0.5369047619047619,0.4406779661016949,0.3280952380952381,16,17,638,31,0.0018616725438676991
Preprocessor1_Model01,0.014285714285714285,0.35572139303482586,0.527363184079602,0.403954802259887,0.29904761904761906,19,14,650,28,0.008318089211609843
