.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model04,0.90625,0.32727272727272727,0.5113636363636364,0.2440677966101695,0.6466666666666666,16,5,665,19,2.1261920940800826e-4
Preprocessor1_Model09,0.8833333333333333,0.32,0.5177777777777778,0.2440677966101695,0.6419047619047619,16,8,693,20,5.879282264584353e-4
Preprocessor1_Model19,0.8624999999999999,0.3215547703180212,0.5265017667844523,0.30847457627118646,0.6228571428571429,17,7,758,31,1.6229542547685204e-4
Preprocessor1_Model05,0.7625,0.30603448275862066,0.5086206896551724,0.24067796610169492,0.6333333333333333,13,6,442,21,0.0012210992985118585
Preprocessor1_Model13,0.7020833333333333,0.30472103004291845,0.5064377682403434,0.24067796610169492,0.6323809523809524,17,10,431,25,5.042472073591668e-4
Preprocessor1_Model21,0.7,0.3076923076923077,0.49572649572649574,0.2440677966101695,0.6333333333333333,15,10,770,19,1.914118139196412e-4
Preprocessor1_Model17,0.6625000000000001,0.3010752688172043,0.510752688172043,0.2847457627118644,0.6133333333333333,14,6,494,30,3.1650437084583305e-4
Preprocessor1_Model10,0.6541666666666666,0.296,0.508,0.25084745762711863,0.621904761904762,13,5,634,30,0.001695394001251533
Preprocessor1_Model12,0.5479166666666667,0.29435483870967744,0.4959677419354839,0.24745762711864408,0.621904761904762,17,7,570,26,2.9154209483087053e-4
Preprocessor1_Model11,0.5395833333333333,0.29535864978902954,0.4957805907172996,0.23728813559322035,0.6266666666666667,14,9,595,19,0.009232160163346177
Preprocessor1_Model03,0.5291666666666666,0.29957805907172996,0.4873417721518987,0.24067796610169492,0.6285714285714286,16,8,552,24,1.3822274119340412e-4
Preprocessor1_Model08,0.5145833333333334,0.2962962962962963,0.4897119341563786,0.2440677966101695,0.6247619047619047,15,7,541,20,3.945228478389118e-4
Preprocessor1_Model02,0.47708333333333336,0.2946058091286307,0.491701244813278,0.24067796610169492,0.6247619047619047,13,9,681,23,0.004012168373434748
Preprocessor1_Model07,0.4770833333333333,0.2897959183673469,0.5081632653061224,0.24067796610169492,0.6209523809523809,14,10,525,25,0.0010861684050418382
Preprocessor1_Model01,0.4020833333333333,0.28820960698689957,0.4912663755458515,0.22372881355932203,0.6266666666666667,15,9,498,22,0.007597751476920647
Preprocessor1_Model16,0.4020833333333333,0.291497975708502,0.4898785425101215,0.2440677966101695,0.6209523809523809,12,7,718,22,0.0023789937472452312
Preprocessor1_Model25,0.39583333333333326,0.2857142857142857,0.5059523809523809,0.2440677966101695,0.6161904761904762,12,10,464,27,7.349416887754097e-4
Preprocessor1_Model06,0.39375,0.2868525896414343,0.49800796812749004,0.2440677966101695,0.6171428571428571,16,9,401,28,7.715648570686968e-4
Preprocessor1_Model20,0.34791666666666665,0.28991596638655465,0.4852941176470588,0.23389830508474577,0.6238095238095238,13,11,785,23,0.003833700431569257
Preprocessor1_Model18,0.32708333333333334,0.2801556420233463,0.5019455252918288,0.2440677966101695,0.6114285714285714,15,11,655,28,0.0013986042917148093
Preprocessor1_Model24,0.3166666666666667,0.28695652173913044,0.48043478260869565,0.22372881355932203,0.6257142857142857,14,9,459,17,1.1852931008309304e-4
Preprocessor1_Model15,0.16041666666666665,0.2839506172839506,0.4773662551440329,0.23389830508474577,0.6190476190476191,15,6,741,18,0.0030827686190848013
Preprocessor1_Model23,0.11041666666666666,0.270042194092827,0.47890295358649787,0.21694915254237288,0.6152380952380953,16,8,586,26,0.006296231781970373
Preprocessor1_Model14,0.09166666666666667,0.2669172932330827,0.4774436090225564,0.24067796610169492,0.6009523809523809,13,6,614,29,0.002185539483241351
Preprocessor1_Model22,0,0.24302788844621515,0.4681274900398406,0.20677966101694914,0.5961904761904762,12,5,735,29,0.005254433311257066
