.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model20,0.9291666666666667,0.3014018691588785,0.4614485981308411,0.4201954397394137,0.5457142857142857,14,7,451,29,8.346024917020827e-4
Preprocessor1_Model07,0.8458333333333334,0.2924107142857143,0.4642857142857143,0.42671009771986973,0.5304761904761904,14,11,529,24,0.003910019626875896
Preprocessor1_Model13,0.8291666666666667,0.29683698296836986,0.4586374695863747,0.3973941368078176,0.5485714285714286,14,10,715,26,0.007584624017308436
Preprocessor1_Model18,0.7750000000000001,0.3,0.4551282051282051,0.3811074918566775,0.559047619047619,15,7,746,31,0.006588958904222843
Preprocessor1_Model01,0.7729166666666667,0.29484029484029484,0.457002457002457,0.39087947882736157,0.5485714285714286,15,10,637,29,0.0012075305365505567
Preprocessor1_Model24,0.7687499999999999,0.2997601918465228,0.45323741007194246,0.40716612377850164,0.5485714285714286,15,8,663,27,2.533533334185287e-4
Preprocessor1_Model25,0.7250000000000001,0.28893905191873587,0.4582392776523702,0.4169381107491857,0.5295238095238095,16,6,726,27,2.3002435051528203e-4
Preprocessor1_Model16,0.7145833333333333,0.2962085308056872,0.45023696682464454,0.40716612377850164,0.5438095238095239,14,5,783,19,0.004974611877928256
Preprocessor1_Model21,0.7041666666666667,0.2895927601809955,0.45588235294117646,0.4169381107491857,0.5304761904761904,17,8,685,29,3.6061968202030385e-4
Preprocessor1_Model19,0.6583333333333333,0.28348214285714285,0.4564732142857143,0.41368078175895767,0.5228571428571429,15,6,508,24,1.1822958552383324e-4
Preprocessor1_Model08,0.5979166666666667,0.28978622327790976,0.4477434679334917,0.3973941368078176,0.539047619047619,13,6,476,28,5.206028928097339e-4
Preprocessor1_Model03,0.5854166666666667,0.2857142857142857,0.4496487119437939,0.3973941368078176,0.5333333333333333,13,6,764,23,0.00847579636316833
Preprocessor1_Model05,0.5125,0.28077753779697623,0.4470842332613391,0.4234527687296417,0.5142857142857142,16,8,577,18,0.0045840511252165095
Preprocessor1_Model15,0.5104166666666666,0.28306264501160094,0.44779582366589327,0.3973941368078176,0.5295238095238095,17,10,550,26,1.2723741559435e-4
Preprocessor1_Model09,0.4166666666666667,0.2692307692307692,0.4444444444444444,0.41042345276872966,0.5019047619047619,13,6,526,22,0.001083465304252837
Preprocessor1_Model06,0.3270833333333334,0.27543424317617865,0.43424317617866004,0.36156351791530944,0.5352380952380953,17,11,430,30,0.0017683260328694226
Preprocessor1_Model22,0.325,0.26666666666666666,0.4425287356321839,0.3778501628664495,0.5142857142857142,13,8,785,25,1.7536227055687132e-4
Preprocessor1_Model23,0.28958333333333336,0.2636363636363636,0.43977272727272726,0.3778501628664495,0.5095238095238095,13,9,403,22,0.0028484902528918446
Preprocessor1_Model10,0.2645833333333334,0.2627118644067797,0.4364406779661017,0.40390879478827363,0.4942857142857143,16,9,486,17,0.0019472029985917
Preprocessor1_Model04,0.22916666666666669,0.2533039647577093,0.44383259911894274,0.3745928338762215,0.4942857142857143,16,5,564,19,1.676278633902528e-4
Preprocessor1_Model17,0.17708333333333337,0.2579185520361991,0.4332579185520362,0.3713355048859935,0.5038095238095238,14,9,603,25,5.316916620723619e-4
Preprocessor1_Model11,0.13333333333333333,0.252212389380531,0.43473451327433627,0.3713355048859935,0.4942857142857143,12,9,693,21,3.897005038823788e-4
Preprocessor1_Model12,0.11875,0.2526997840172786,0.4319654427645788,0.3811074918566775,0.48952380952380953,12,7,440,21,7.215688389180793e-4
Preprocessor1_Model02,0.04791666666666666,0.25,0.42995689655172414,0.3778501628664495,0.4866666666666667,13,8,622,18,0.0014811019220470772
Preprocessor1_Model14,0.035416666666666666,0.2511111111111111,0.42333333333333334,0.36807817589576547,0.4942857142857143,15,10,656,20,0.002394322672055619
