.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model15,1,0.49491525423728816,0.5898305084745763,0.38421052631578945,0.6352380952380953,17,9,566,20,2.574935501561595e-4
Preprocessor1_Model11,0.8916666666666666,0.48854961832061067,0.5725190839694656,0.3368421052631579,0.6323809523809524,13,7,791,20,1.2389441394925797e-4
Preprocessor1_Model20,0.8750000000000001,0.4921875,0.572265625,0.33157894736842103,0.6342857142857142,13,6,546,23,1.1203489266507602e-4
Preprocessor1_Model06,0.8645833333333334,0.4756554307116105,0.5786516853932584,0.33421052631578946,0.6257142857142857,17,7,447,19,0.0033385749577712954
Preprocessor1_Model10,0.84375,0.47735191637630664,0.5679442508710801,0.3605263157894737,0.6257142857142857,15,10,468,19,3.03233116997388e-4
Preprocessor1_Model24,0.8145833333333333,0.4748201438848921,0.5701438848920863,0.3473684210526316,0.6247619047619047,12,11,634,24,2.1562818888188132e-4
Preprocessor1_Model08,0.7229166666666667,0.4641638225255973,0.5614334470989761,0.35789473684210527,0.6180952380952381,17,9,451,18,0.005179171534161187
Preprocessor1_Model19,0.7145833333333333,0.46494464944649444,0.5645756457564576,0.33157894736842103,0.62,15,9,517,21,3.9401314863183066e-4
Preprocessor1_Model05,0.6791666666666667,0.45724907063197023,0.5650557620817844,0.3236842105263158,0.6161904761904762,12,10,428,31,4.891631406442476e-4
Preprocessor1_Model13,0.6375000000000001,0.4583333333333333,0.5590277777777778,0.3473684210526316,0.6152380952380953,15,9,781,23,0.002051229392203872
Preprocessor1_Model12,0.5791666666666667,0.44673539518900346,0.5532646048109966,0.34210526315789475,0.6085714285714285,16,11,505,18,0.0013133355036458118
Preprocessor1_Model18,0.5750000000000001,0.45384615384615384,0.5596153846153846,0.3105263157894737,0.6152380952380953,16,10,602,25,0.001022893284545138
Preprocessor1_Model09,0.45,0.4230769230769231,0.5472027972027972,0.31842105263157894,0.5961904761904762,14,10,714,27,5.635828767207478e-4
Preprocessor1_Model07,0.43333333333333335,0.43243243243243246,0.5463320463320464,0.29473684210526313,0.6047619047619047,13,7,686,30,1.6415953626640074e-4
Preprocessor1_Model04,0.42083333333333334,0.43866171003717475,0.5297397769516728,0.3105263157894737,0.6066666666666667,13,8,488,20,0.0013389754498647588
Preprocessor1_Model03,0.39166666666666666,0.4263565891472868,0.5426356589147286,0.2894736842105263,0.6019047619047619,14,6,741,22,9.058484750207173e-4
Preprocessor1_Model21,0.36458333333333337,0.41522491349480967,0.5415224913494809,0.3157894736842105,0.5914285714285714,16,5,415,24,6.473350359855092e-4
Preprocessor1_Model02,0.28541666666666665,0.40569395017793597,0.5160142348754448,0.3,0.5876190476190476,13,5,662,26,0.0016181317517246206
Preprocessor1_Model22,0.28125,0.4109090909090909,0.5036363636363637,0.29736842105263156,0.5914285714285714,12,6,623,25,0.002488905485081922
Preprocessor1_Model01,0.20208333333333334,0.36929460580912865,0.4896265560165975,0.23421052631578948,0.5780952380952381,15,7,700,29,0.003139376027324826
Preprocessor1_Model14,0.15208333333333335,0.34210526315789475,0.4699248120300752,0.2394736842105263,0.5580952380952381,16,8,731,30,0.006636221366482887
Preprocessor1_Model23,0.11041666666666666,0.33984375,0.462890625,0.22894736842105262,0.56,16,9,761,29,0.004078014406759205
Preprocessor1_Model25,0.08958333333333335,0.34146341463414637,0.4532520325203252,0.22105263157894736,0.5638095238095238,14,6,579,28,1.7439608339173926e-4
Preprocessor1_Model17,0.07083333333333333,0.3333333333333333,0.4564393939393939,0.23157894736842105,0.5542857142857143,15,8,536,27,0.008613830065785298
Preprocessor1_Model16,0,0.308,0.436,0.2026315789473684,0.5466666666666666,14,6,641,26,0.00785727535272019
