.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model07,0.9937500000000001,0.3363914373088685,0.5642201834862385,0.3225806451612903,0.5733333333333334,16,11,521,21,0.0015504088211410378
Preprocessor1_Model22,0.9125000000000001,0.3162393162393162,0.5527065527065527,0.3255131964809384,0.5523809523809524,14,7,416,18,4.1971215692611683e-4
Preprocessor1_Model02,0.8770833333333333,0.3074433656957929,0.5501618122977346,0.2785923753665689,0.5619047619047619,17,6,624,23,1.6233547951674475e-4
Preprocessor1_Model11,0.8500000000000001,0.31125827814569534,0.5480132450331126,0.2756598240469208,0.5666666666666667,16,9,573,26,2.912969611184301e-4
Preprocessor1_Model12,0.8333333333333333,0.3064516129032258,0.5483870967741935,0.2785923753665689,0.560952380952381,15,7,748,24,6.543606109898457e-4
Preprocessor1_Model25,0.7520833333333333,0.3072289156626506,0.5301204819277109,0.2991202346041056,0.5533333333333333,17,6,445,24,6.276683935731275e-4
Preprocessor1_Model10,0.71875,0.2919254658385093,0.5388198757763976,0.2756598240469208,0.5476190476190477,15,8,529,27,4.3986281377928453e-4
Preprocessor1_Model15,0.7145833333333333,0.2881844380403458,0.5360230547550432,0.2932551319648094,0.5352380952380953,13,8,663,27,3.070531539752886e-4
Preprocessor1_Model19,0.6875,0.29508196721311475,0.5327868852459017,0.26392961876832843,0.5561904761904762,16,7,785,20,0.008001273175024626
Preprocessor1_Model17,0.6645833333333334,0.2861271676300578,0.5332369942196532,0.2903225806451613,0.5342857142857143,13,6,453,25,9.181604894037027e-4
Preprocessor1_Model13,0.5687500000000001,0.28802588996763756,0.5258899676375405,0.26099706744868034,0.5504761904761905,13,9,687,20,0.008339286252203672
Preprocessor1_Model06,0.5395833333333333,0.2824858757062147,0.5296610169491526,0.2932551319648094,0.5285714285714286,14,7,645,29,0.0013035443340377426
Preprocessor1_Model03,0.4625,0.27596439169139464,0.516320474777448,0.2727272727272727,0.5314285714285715,13,6,589,22,2.0448530181908217e-4
Preprocessor1_Model21,0.44583333333333336,0.2708333333333333,0.5208333333333334,0.2668621700879765,0.5285714285714286,15,5,415,31,8.803421692060082e-4
Preprocessor1_Model16,0.43750000000000006,0.2693498452012384,0.5185758513931888,0.25513196480938416,0.5333333333333333,13,8,467,26,2.1142409447023186e-4
Preprocessor1_Model04,0.4166666666666667,0.2702702702702703,0.5180180180180181,0.26392961876832843,0.5295238095238095,12,10,734,19,1.2570972774776428e-4
Preprocessor1_Model01,0.2916666666666667,0.25559105431309903,0.5047923322683706,0.23460410557184752,0.5295238095238095,16,9,709,28,0.005297390561581551
Preprocessor1_Model20,0.28125,0.260233918128655,0.5131578947368421,0.26099706744868034,0.5190476190476191,15,9,617,29,0.0018216714017067726
Preprocessor1_Model09,0.22708333333333336,0.2484076433121019,0.5079617834394905,0.2287390029325513,0.5247619047619048,17,8,760,30,1.028711016479757e-4
Preprocessor1_Model23,0.22291666666666668,0.25161290322580643,0.49838709677419357,0.2287390029325513,0.5285714285714286,13,8,483,18,0.002001118901192291
Preprocessor1_Model18,0.19791666666666666,0.25936599423631124,0.4884726224783862,0.26392961876832843,0.5161904761904762,14,5,769,22,0.0025844209895325766
Preprocessor1_Model14,0.14583333333333334,0.23841059602649006,0.4867549668874172,0.21114369501466276,0.5247619047619048,14,10,545,20,0.004550182643883818
Preprocessor1_Model08,0.08333333333333333,0.23127035830618892,0.4820846905537459,0.20821114369501467,0.518095238095238,14,10,694,25,0.003170893330127388
Preprocessor1_Model05,0.07291666666666667,0.2255892255892256,0.48148148148148145,0.19648093841642228,0.52,16,10,501,17,0.006917632244044743
Preprocessor1_Model24,0,0.2088607594936709,0.46360759493670883,0.1935483870967742,0.5,12,11,607,29,0.0035600081585065663
