.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model23,0.9339285714285714,0.28212290502793297,0.49441340782122906,0.34121621621621623,0.4561904761904762,13,17,765,30,0.0018109143206520109
Preprocessor1_Model16,0.8946428571428571,0.2756756756756757,0.4783783783783784,0.34459459459459457,0.4523809523809524,11,13,749,28,0.0014441060071208967
Preprocessor1_Model21,0.8678571428571429,0.2849162011173184,0.4720670391061452,0.34459459459459457,0.4471428571428571,14,10,993,26,1.150641846116881e-4
Preprocessor1_Model08,0.8660714285714286,0.27714285714285714,0.48428571428571426,0.3277027027027027,0.4585714285714286,15,11,731,29,0.0028899199184178343
Preprocessor1_Model04,0.8625,0.2849162011173184,0.4748603351955307,0.34459459459459457,0.44571428571428573,13,14,646,25,2.181834794417951e-4
Preprocessor1_Model20,0.8500000000000001,0.27298050139275765,0.4805013927576602,0.3310810810810811,0.4552380952380952,15,13,875,30,3.9513392225696756e-4
Preprocessor1_Model07,0.7678571428571428,0.2722222222222222,0.4708333333333333,0.3310810810810811,0.44904761904761903,12,16,952,27,4.949531055859832e-4
Preprocessor1_Model01,0.719642857142857,0.27323943661971833,0.46901408450704224,0.3277027027027027,0.44571428571428573,18,13,638,21,0.002044116260330361
Preprocessor1_Model17,0.6571428571428571,0.2693409742120344,0.4656160458452722,0.31756756756756754,0.44857142857142857,12,9,901,24,8.822646594495705e-4
Preprocessor1_Model25,0.5946428571428571,0.2727272727272727,0.46187683284457476,0.3141891891891892,0.44904761904761903,15,11,695,19,0.0033586467109913503
Preprocessor1_Model12,0.5732142857142857,0.2659279778393352,0.4667590027700831,0.32432432432432434,0.44,13,16,624,22,2.2685949245785178e-4
Preprocessor1_Model22,0.5714285714285714,0.2664756446991404,0.46418338108882523,0.3141891891891892,0.44666666666666666,13,13,709,23,2.779733694623298e-4
Preprocessor1_Model03,0.5642857142857143,0.26666666666666666,0.46515151515151515,0.2972972972972973,0.4471428571428571,12,16,931,19,1.5416815733092814e-4
Preprocessor1_Model02,0.5517857142857142,0.2681564245810056,0.46368715083798884,0.32432432432432434,0.4380952380952381,14,15,965,23,1.7407151465958517e-4
Preprocessor1_Model19,0.5339285714285713,0.2623376623376623,0.44805194805194803,0.34121621621621623,0.4419047619047619,19,16,799,31,0.0050244448272687885
Preprocessor1_Model28,0.5214285714285715,0.2626865671641791,0.4626865671641791,0.2972972972972973,0.4519047619047619,11,10,807,20,6.125992415041466e-4
Preprocessor1_Model10,0.5089285714285714,0.260752688172043,0.4596774193548387,0.3277027027027027,0.4452380952380952,17,15,848,29,3.472260144398427e-4
Preprocessor1_Model29,0.43571428571428567,0.2564102564102564,0.4601139601139601,0.30405405405405406,0.44476190476190475,15,12,979,25,0.0016503837430456624
Preprocessor1_Model09,0.42678571428571427,0.25595238095238093,0.46279761904761907,0.2905405405405405,0.44476190476190475,16,14,826,24,0.0024040502499743798
Preprocessor1_Model11,0.3267857142857143,0.25227963525835867,0.44072948328267475,0.28040540540540543,0.4442857142857143,14,14,876,28,0.004254057622022671
Preprocessor1_Model26,0.24821428571428572,0.24925816023738873,0.43026706231454004,0.28378378378378377,0.43476190476190474,18,12,920,27,0.006505276218847943
Preprocessor1_Model05,0.21785714285714286,0.24545454545454545,0.4318181818181818,0.27364864864864863,0.4338095238095238,17,10,907,26,0.005517318530215828
Preprocessor1_Model18,0.21428571428571427,0.24024024024024024,0.4369369369369369,0.2702702702702703,0.43523809523809526,16,14,680,22,9.30754130042578e-4
Preprocessor1_Model13,0.21249999999999997,0.2331288343558282,0.4371165644171779,0.25675675675675674,0.44142857142857145,19,15,611,23,0.0011500258028785274
Preprocessor1_Model27,0.19999999999999998,0.23809523809523808,0.4211309523809524,0.2702702702702703,0.4423809523809524,16,17,835,20,0.009317437786974045
Preprocessor1_Model14,0.08035714285714285,0.22697368421052633,0.41776315789473684,0.23310810810810811,0.4342857142857143,17,11,780,18,0.00046671329006548167
Preprocessor1_Model15,0.07142857142857142,0.22611464968152867,0.4171974522292994,0.23986486486486486,0.43142857142857144,16,11,660,18,6.780832478011686e-4
Preprocessor1_Model06,0.024999999999999998,0.22044728434504793,0.41373801916932906,0.23310810810810811,0.42952380952380953,18,12,721,17,1.198867352531699e-4
Preprocessor1_Model24,0.021428571428571425,0.20699708454810495,0.39504373177842567,0.23986486486486486,0.41904761904761906,18,9,769,21,0.008103055788437199
