mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
18,511,17,9,0.0037182466127715654,5.199531451721251e-10,rmse,standard,25.448084203428323,50,1.8775375885132626,Preprocessor1_Model02
16,789,26,8,0.00457113089907435,21.339507651524205,rmse,standard,25.51880424242736,50,1.8067993210439872,Preprocessor1_Model25
16,895,18,8,0.0021588351448218984,7.638617683314044e-5,rmse,standard,25.519221038337296,50,1.8590488221345605,Preprocessor1_Model13
14,837,27,9,0.00873321174717277,0.773526232782046,rmse,standard,25.51950596717816,50,1.8468813588926125,Preprocessor1_Model22
14,832,24,11,0.008204943262423868,0.0017873062218624522,rmse,standard,25.68370524354066,50,1.9005849150078065,Preprocessor1_Model16
19,719,27,8,0.0062222958708261986,0.012081602665647147,rmse,standard,25.836017385562087,50,1.8738971132020192,Preprocessor1_Model18
17,808,23,12,0.005135927399891919,0.10568565072936005,rmse,standard,25.916345711087274,50,1.8614746668764954,Preprocessor1_Model20
18,550,25,10,0.003025561718685347,2.6688706838317852e-8,rmse,standard,26.020889752315195,50,1.9211849062527278,Preprocessor1_Model06
18,527,28,12,0.002536940313785521,2.56408139075075e-4,rmse,standard,26.243090142569876,50,2.052616501685816,Preprocessor1_Model14
15,872,22,8,0.0015235308087784042,5.69546655912036e-4,rmse,standard,26.31399727003191,50,2.0865283659287233,Preprocessor1_Model15
13,688,19,10,0.0015985976096309393,1.3426140580191763,rmse,standard,26.98939417102994,50,2.2474409131973916,Preprocessor1_Model23
15,766,21,10,0.0011060006294164825,1.615496817420232e-5,rmse,standard,28.642843851175897,50,2.5234172378418513,Preprocessor1_Model12
15,786,20,12,9.186289892793093e-4,2.415510559148705e-7,rmse,standard,29.911576393844,50,2.653073509103551,Preprocessor1_Model08
16,620,21,12,7.871293608351886e-4,9.587722115910834e-9,rmse,standard,33.60263041452698,50,2.9152325678521795,Preprocessor1_Model05
16,703,24,10,6.571440703095645e-4,1.2897287425610418e-10,rmse,standard,34.03215530486188,50,2.9346406559093703,Preprocessor1_Model01
14,612,28,11,5.197791278551492e-4,1.3470441196000885e-9,rmse,standard,37.61152144572878,50,3.0575423845797505,Preprocessor1_Model03
16,548,30,11,5.610506434509989e-4,1.7515181171778437e-6,rmse,standard,37.91637796926681,50,3.057299906364,Preprocessor1_Model10
19,634,29,11,3.9816455428241923e-4,5.601317534218793,rmse,standard,39.47369881968702,50,3.093049259188801,Preprocessor1_Model24
13,655,30,8,3.6005725206101166e-4,0.0028845567285117712,rmse,standard,40.0203573533687,50,3.138407865372142,Preprocessor1_Model17
15,738,22,13,2.212874494075109e-4,2.586150765014653e-9,rmse,standard,42.584537295846374,50,3.186961227516167,Preprocessor1_Model04
14,574,19,7,2.719325676105616e-4,1.3186213639363308e-7,rmse,standard,42.761913732196646,50,3.199249717673347,Preprocessor1_Model07
17,745,26,13,1.803523551134561e-4,8.356324503746845e-6,rmse,standard,43.570035605367494,50,3.200214056591455,Preprocessor1_Model11
17,867,23,9,1.4048609041199017e-4,0.20404173885251878,rmse,standard,44.084512464205545,50,3.2084694100393665,Preprocessor1_Model21
18,586,19,10,1.6434122951105098e-4,0.04957126079948339,rmse,standard,45.07961760712282,50,3.218045984353988,Preprocessor1_Model19
17,671,31,7,1.1161057362322226e-4,1.3601955670813904e-6,rmse,standard,45.89374495919232,50,3.23308389064442,Preprocessor1_Model09
