mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
14,884,21,8,0.0021403510706859467,1.453116886134885e-10,rmse,standard,27.29259607021934,50,1.6212047608423672,Preprocessor1_Model01
18,578,25,9,0.002689742493145505,1.5572662480961112e-6,rmse,standard,27.44982476023451,50,1.7257628635424034,Preprocessor1_Model10
16,815,21,10,0.0013885373291936955,8.95712296302829,rmse,standard,27.494236608440502,50,2.031992977090653,Preprocessor1_Model24
14,510,29,12,0.0031529670328107238,5.746072602834431e-4,rmse,standard,27.570807213293985,50,1.7123699651501554,Preprocessor1_Model15
13,696,31,12,0.001819060358113615,1.0045933813083662e-9,rmse,standard,27.690373568512452,50,1.9269808747555535,Preprocessor1_Model03
15,844,22,7,0.005408210337184112,6.206275006004258e-6,rmse,standard,27.79969623557187,50,1.7389419225015703,Preprocessor1_Model11
16,556,28,9,0.0040666473326352376,0.002512155243429287,rmse,standard,27.945456364648003,50,1.6822721183266112,Preprocessor1_Model17
14,876,26,11,0.003724261070898356,1.8455849563650733e-7,rmse,standard,28.211608524002116,50,1.71766604942959,Preprocessor1_Model08
15,709,19,10,0.00585988369305301,7.74926868565453e-9,rmse,standard,28.283791217126964,50,1.7627802847165928,Preprocessor1_Model05
18,732,27,9,0.007740974896964685,5.657638463150436e-10,rmse,standard,28.31553234485106,50,1.8461946790647763,Preprocessor1_Model02
16,521,24,13,0.008454396454674594,0.10227488837913637,rmse,standard,28.6564653027736,50,1.7897340964943174,Preprocessor1_Model20
13,586,17,11,0.0012982025547325089,1.5113040838377317e-4,rmse,standard,28.995457118668945,50,2.5206912689672367,Preprocessor1_Model14
19,620,30,10,0.0010632361528780528,0.4751831432697363,rmse,standard,29.879834084784274,50,2.694579747082486,Preprocessor1_Model22
19,662,30,12,8.236925673903063e-4,0.0016951109149039303,rmse,standard,31.390239958386577,50,2.884399939772064,Preprocessor1_Model16
15,681,22,11,7.459179006690076e-4,16.907107761609765,rmse,standard,32.10464123918216,50,2.95587839808826,Preprocessor1_Model25
17,758,29,12,5.410913919687944e-4,8.342972972388214e-5,rmse,standard,34.05595143891853,50,3.1100295033103036,Preprocessor1_Model13
18,535,26,10,5.131356112527906e-4,8.321039725698233e-8,rmse,standard,37.828662674233144,50,3.2650394796935074,Preprocessor1_Model07
16,867,20,9,3.0404555936522934e-4,0.008546029790943738,rmse,standard,38.19267024458429,50,3.275493367144723,Preprocessor1_Model18
17,600,18,8,4.108346850714611e-4,4.880944982018714e-7,rmse,standard,38.71930495142915,50,3.2795091659094933,Preprocessor1_Model09
14,754,25,8,2.779509749405026e-4,2.2288803009633334e-8,rmse,standard,40.10432146972022,50,3.335334491943867,Preprocessor1_Model06
16,798,27,8,2.23433174931599e-4,2.6497713491179184e-5,rmse,standard,41.28283185669416,50,3.3600594328924274,Preprocessor1_Model12
17,821,24,13,2.067263602241715e-4,0.188390661135664,rmse,standard,41.54542752994116,50,3.3668394589082142,Preprocessor1_Model21
17,786,19,11,1.5563286477647916e-4,2.436158852474406e-9,rmse,standard,43.46981430137778,50,3.397562612291578,Preprocessor1_Model04
14,649,19,11,1.3062305364214917e-4,0.033223893500160584,rmse,standard,45.14318276400155,50,3.4295923531033248,Preprocessor1_Model19
18,639,23,7,1.0011841524844673e-4,1.805858383436378,rmse,standard,46.07412856789491,50,3.4376415073593454,Preprocessor1_Model23
