mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
17,648,28,9,0.004192759481862808,6.046345472136189e-10,rmse,standard,23.0199272797713,50,1.5031389282609229,Preprocessor1_Model02
13,765,23,11,0.008358113294527179,0.12488018953478024,rmse,standard,23.040093299444134,50,1.5791020562877138,Preprocessor1_Model20
14,622,22,10,0.005149968539659609,3.0813881387849985e-9,rmse,standard,23.099954491430402,50,1.5593142463387246,Preprocessor1_Model04
16,779,24,12,0.00286301551331449,8.498612415865334e-8,rmse,standard,23.194007086340537,50,1.4665914556782602,Preprocessor1_Model07
17,868,17,9,0.0037132390581868843,2.682339526948303e-7,rmse,standard,23.38277717488261,50,1.568389527431149,Preprocessor1_Model08
18,600,20,12,0.006148755359068803,1.4383021875421573e-8,rmse,standard,23.387674801865113,50,1.6097757596794988,Preprocessor1_Model05
16,576,18,8,0.0069458574407782955,1.022238515122079e-9,rmse,standard,23.473068205061423,50,1.6078385878409749,Preprocessor1_Model03
18,678,21,8,0.0026321696376824986,5.54494025312791,rmse,standard,24.0377798667852,50,1.5079789243153887,Preprocessor1_Model24
15,837,19,11,0.0018543098138026147,0.19022182064558787,rmse,standard,24.180018900274792,50,1.536279957303006,Preprocessor1_Model21
14,664,22,8,0.0019982752093522594,7.585191805274902e-5,rmse,standard,24.71339615177273,50,1.6141858872591173,Preprocessor1_Model13
15,882,29,9,0.0011234965387717085,0.557938190353151,rmse,standard,26.176860822069834,50,1.8990888902879655,Preprocessor1_Model22
15,582,20,10,0.0015307145738155635,1.9778608140907097,rmse,standard,27.378087579353902,50,2.016846026524628,Preprocessor1_Model23
18,712,29,12,0.0010873871243156582,1.9249926873119585e-5,rmse,standard,28.53671087005335,50,2.157250185852069,Preprocessor1_Model12
17,824,31,10,8.353902044421245e-4,0.0021957600435325414,rmse,standard,29.511153576189674,50,2.260875354228915,Preprocessor1_Model16
18,729,19,13,6.782839482168531e-4,3.116394384715628e-8,rmse,standard,33.6196274707119,50,2.5231864866676257,Preprocessor1_Model06
16,747,25,7,4.713041327230718e-4,1.0107407473405808e-4,rmse,standard,36.69801193856774,50,2.682750853958938,Preprocessor1_Model14
19,557,21,13,5.531264213260088e-4,0.039487887046588954,rmse,standard,38.336020981660255,50,2.7528141479342563,Preprocessor1_Model19
14,811,24,11,3.0904289232338216e-4,0.013634518490696154,rmse,standard,39.711740850594765,50,2.847110058697957,Preprocessor1_Model18
17,501,30,8,3.827827513451993e-4,1.369196545487325e-10,rmse,standard,41.65870656211658,50,2.916667001585035,Preprocessor1_Model01
14,635,30,12,2.7470826772203554e-4,13.19212919966814,rmse,standard,42.26021422468151,50,2.9384421693909197,Preprocessor1_Model25
16,893,28,10,1.8240191941811952e-4,6.499778915169881e-4,rmse,standard,42.756719570839195,50,2.9531764580651556,Preprocessor1_Model15
13,545,26,7,2.2452658737679524e-4,1.714913719595329e-6,rmse,standard,44.24081003190668,50,2.9889108920696525,Preprocessor1_Model10
19,702,27,12,1.4628557134235777e-4,0.0038299221524798945,rmse,standard,45.18155891793734,50,3.017779878161282,Preprocessor1_Model17
15,795,26,9,1.222992448792774e-4,6.887333701063856e-6,rmse,standard,45.33920444424097,50,3.011095258408959,Preprocessor1_Model11
16,518,24,11,1.0268117596760453e-4,4.879334069128602e-7,rmse,standard,47.29661901307769,50,3.030979444707488,Preprocessor1_Model09
