mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
13,576,24,11,0.007285010019147415,5.941671172982856e-5,rmse,standard,24.21950437576647,50,1.794612819332573,Preprocessor1_Model13
17,827,21,8,0.00687414019679397,9.735158351962656e-7,rmse,standard,24.24104830366149,50,1.7517130741622253,Preprocessor1_Model09
17,816,29,10,0.0034720990936793,5.462211579262231e-6,rmse,standard,24.262196428581664,50,1.8242045462964347,Preprocessor1_Model11
16,759,20,8,0.004209384291798946,7.642066701327408e-4,rmse,standard,24.306717433304904,50,1.7793832980841535,Preprocessor1_Model15
15,896,20,8,0.009287686275972795,3.6660349280596685e-8,rmse,standard,24.411661126410717,50,1.7443274573453464,Preprocessor1_Model06
18,855,23,8,0.005214568208393121,0.05687876654506129,rmse,standard,24.480536332186954,50,1.7966467607543084,Preprocessor1_Model20
17,632,31,7,0.0028005077944043525,1.2452873248568151e-8,rmse,standard,25.181368255937613,50,1.9554482543250569,Preprocessor1_Model05
17,585,25,10,0.0026918391766447922,2.796540951352461e-6,rmse,standard,25.63333352937489,50,2.0106406049006766,Preprocessor1_Model10
14,723,25,9,0.0016058221483271793,2.2902276123622515e-4,rmse,standard,27.83612281350768,50,2.1929456664804263,Preprocessor1_Model14
18,515,27,10,0.002070362280069667,0.001058675178229417,rmse,standard,28.675779454224184,50,2.26597522331035,Preprocessor1_Model16
15,538,19,12,0.001522570769899348,2.8722579163055632e-9,rmse,standard,31.513117818133622,50,2.416285005950177,Preprocessor1_Model04
19,845,25,9,8.260183488665034e-4,0.25504096667782283,rmse,standard,33.50126152055096,50,2.5528205072664774,Preprocessor1_Model21
19,649,26,10,0.0010487542696442675,2.232345119203964e-7,rmse,standard,33.753291679516416,50,2.555973532337506,Preprocessor1_Model08
18,524,22,9,0.0012357652303814721,0.0027053930192400878,rmse,standard,34.378091456176755,50,2.6078234477463305,Preprocessor1_Model17
18,695,21,11,6.694551702469067e-4,1.6642553780538868e-10,rmse,standard,38.33362229701082,50,2.8033624470638903,Preprocessor1_Model01
14,870,29,12,5.077614066928749e-4,0.01048661381781688,rmse,standard,38.71832654179454,50,2.823766650985968,Preprocessor1_Model18
16,724,30,12,5.699414493562134e-4,1.9451328583656575e-5,rmse,standard,39.50104828000193,50,2.854154425269677,Preprocessor1_Model12
14,799,18,10,3.792964208676845e-4,8.056197970607413e-10,rmse,standard,42.81033173804278,50,2.9648564219599525,Preprocessor1_Model02
15,787,24,12,2.936427645944949e-4,5.433433082920449,rmse,standard,45.273290040087744,50,3.025714290564231,Preprocessor1_Model24
15,549,27,13,3.421396021512315e-4,0.032287272922743214,rmse,standard,46.87376545512721,50,3.049108907346048,Preprocessor1_Model19
16,742,18,12,1.88883403230681e-4,0.5803219011372743,rmse,standard,48.88919695871487,50,3.0706306615029604,Preprocessor1_Model22
14,607,28,13,2.1392621522351888e-4,17.246298949784276,rmse,standard,49.22807981835354,50,3.0782878136547818,Preprocessor1_Model25
18,677,17,7,1.6956943298326646e-4,1.1853816192608291e-7,rmse,standard,49.96351758463572,50,3.072465259203328,Preprocessor1_Model07
13,672,23,8,1.3283642435228272e-4,9.064883091330858e-10,rmse,standard,51.00290378941702,50,3.097665205402011,Preprocessor1_Model03
14,614,28,11,1.0734460506044472e-4,2.6385318107762927,rmse,standard,52.063224742824914,50,3.104923152330408,Preprocessor1_Model23
