mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
14,740,26,7,0.005843488235135141,1.4678446970262954e-8,rmse,standard,0.8212308731200825,50,0.04906208237099704,Preprocessor1_Model05
12,696,24,7,0.008284754871471987,1.2508726142138294e-5,rmse,standard,0.8222991257431402,50,0.04859208585674418,Preprocessor1_Model12
16,734,22,9,0.003922517061481926,8.565759502256695,rmse,standard,0.8224598008900352,50,0.04564166429763699,Preprocessor1_Model24
15,708,29,8,0.008891631471387669,2.6362025404444523e-6,rmse,standard,0.8324270484135301,50,0.051209385493319104,Preprocessor1_Model10
15,522,21,9,0.005266595806317452,3.858884465686091e-9,rmse,standard,0.8364928004176196,50,0.04847067404053361,Preprocessor1_Model04
14,756,28,6,0.0024119811675171947,2.0995373039085123e-7,rmse,standard,0.8440044547863053,50,0.04841926829319141,Preprocessor1_Model08
17,650,21,10,0.004605724249113981,0.5201853766848079,rmse,standard,0.8475758087771167,50,0.050630618912341344,Preprocessor1_Model22
17,488,18,7,0.0028582101693113053,2.6114707719740053e-4,rmse,standard,0.8809515427602779,50,0.052935628803432076,Preprocessor1_Model14
15,586,30,6,0.0018407204560120696,0.045958775675454214,rmse,standard,0.9198169954919851,50,0.06079091586717239,Preprocessor1_Model19
12,417,18,7,0.0021058499826576683,1.0431259299711291e-7,rmse,standard,0.9588560466618291,50,0.06707080599821082,Preprocessor1_Model07
15,447,31,6,0.0015491657736788139,0.002653748514216603,rmse,standard,1.0186408282577464,50,0.07503801076592655,Preprocessor1_Model17
13,544,27,5,0.001245723495488504,1.02329701450339e-9,rmse,standard,1.020429199790664,50,0.07656430575247376,Preprocessor1_Model03
13,545,27,8,9.766765069906208e-4,0.059065898615974555,rmse,standard,1.0919518388721139,50,0.08252510889025175,Preprocessor1_Model20
15,511,30,11,8.771440262824223e-4,13.817187281218073,rmse,standard,1.1438120222635741,50,0.08596044022192817,Preprocessor1_Model25
13,678,19,8,6.558012911951955e-4,5.721674853657262e-5,rmse,standard,1.1457958624752291,50,0.08656860584758687,Preprocessor1_Model13
12,560,17,10,6.290078452551469e-4,1.8405461174421685,rmse,standard,1.207982131410365,50,0.09100335138997069,Preprocessor1_Model23
13,770,25,10,4.3340374507896593e-4,6.735581635547549e-4,rmse,standard,1.2224036023379214,50,0.09151708554596148,Preprocessor1_Model15
14,465,22,8,4.3708092026554824e-4,0.00865068308243298,rmse,standard,1.3500909755318145,50,0.09437073428992697,Preprocessor1_Model18
14,608,20,9,3.2864513701363863e-4,1.094696294781438e-5,rmse,standard,1.3529260747555307,50,0.09420979037444616,Preprocessor1_Model11
16,791,23,8,2.0934145236744452e-4,0.22944104533443635,rmse,standard,1.3916025605883746,50,0.09449411472962475,Preprocessor1_Model21
14,595,19,11,2.702438479913992e-4,9.394509423709755e-4,rmse,standard,1.3970811974721085,50,0.09460204088155284,Preprocessor1_Model16
14,668,24,10,1.4698997198984447e-4,6.792647843481854e-10,rmse,standard,1.4702026280211955,50,0.0948934186998223,Preprocessor1_Model02
17,401,25,6,2.0544280958507364e-4,1.2215526247168934e-10,rmse,standard,1.4909249399942572,50,0.09485521335831168,Preprocessor1_Model01
16,633,29,5,1.0352564508526562e-4,6.899137726555217e-7,rmse,standard,1.5118002049088177,50,0.09500265474866788,Preprocessor1_Model09
16,450,24,10,1.3559205564937543e-4,2.2700422958823817e-8,rmse,standard,1.5176021483027664,50,0.09504058570995298,Preprocessor1_Model06
