mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
14,865,31,12,0.004938934574291856,2.557498785668941e-5,rmse,standard,28.3437304206876,50,1.6605105789757557,Preprocessor1_Model12
17,739,22,12,0.008127840304774352,4.552631298430396e-7,rmse,standard,28.493367424229966,50,1.657840786560209,Preprocessor1_Model08
14,655,25,11,0.004170479733790689,0.16771003570070134,rmse,standard,28.543060582708495,50,1.6627715746826448,Preprocessor1_Model21
18,693,21,7,0.0059546681346367295,0.002114862976470292,rmse,standard,28.56205971299632,50,1.6477320721356858,Preprocessor1_Model16
18,873,18,8,0.009952830514969951,0.010753829448046889,rmse,standard,28.58546962055794,50,1.5929325435564594,Preprocessor1_Model18
17,675,30,10,0.003277618707207838,3.326602485980597e-8,rmse,standard,29.11523971389196,50,1.7339408852788767,Preprocessor1_Model06
15,549,27,7,0.003329290006675167,6.271407979036813e-9,rmse,standard,29.199414166802555,50,1.7983976880718295,Preprocessor1_Model04
16,816,25,10,0.0019825016526838425,11.54873646195706,rmse,standard,29.787025638543028,50,1.9141104944920109,Preprocessor1_Model25
13,619,28,11,0.002384183886536706,1.6030352412775485e-7,rmse,standard,29.811074761868635,50,1.9744187132063404,Preprocessor1_Model07
16,889,26,12,0.0015839221964019877,0.5556182034863388,rmse,standard,30.198407379585746,50,2.0317228775876397,Preprocessor1_Model22
18,692,22,9,0.0016761676976700612,6.563998066302267e-5,rmse,standard,31.255150202348396,50,2.204390798146205,Preprocessor1_Model13
14,848,17,10,0.0011814123894459115,0.05324317851317683,rmse,standard,32.0706829507799,50,2.3915834127594873,Preprocessor1_Model19
16,830,30,12,7.58945753425442e-4,1.0517041283833167e-10,rmse,standard,35.488060269210145,50,2.9170738277210386,Preprocessor1_Model01
14,720,20,8,7.3970130563907e-4,9.295468870867236,rmse,standard,36.982211715958535,50,3.083667328288255,Preprocessor1_Model24
17,523,23,13,9.433343593108202e-4,0.0027799070312543635,rmse,standard,37.71627531052363,50,3.1345415854305454,Preprocessor1_Model17
13,801,20,9,5.82768897384761e-4,3.890612366210598e-4,rmse,standard,38.170862399422155,50,3.1950307766068993,Preprocessor1_Model15
15,780,24,12,4.040871669219273e-4,0.05992535905468535,rmse,standard,41.563604163750924,50,3.443083268075031,Preprocessor1_Model20
15,595,24,13,4.771078016371215e-4,1.5581264403093553e-4,rmse,standard,42.34859686801351,50,3.493992076559249,Preprocessor1_Model14
18,749,20,10,3.1519877903064223e-4,4.160354928422442e-6,rmse,standard,43.77582501116918,50,3.5687930721629604,Preprocessor1_Model11
19,766,28,8,1.7805850954225798e-4,1.7339008115617873,rmse,standard,46.951032132246304,50,3.6961249876752786,Preprocessor1_Model23
14,574,19,8,2.2894857857055565e-4,5.875314970018401e-10,rmse,standard,47.129327166271025,50,3.7110387099966053,Preprocessor1_Model02
16,507,29,9,2.5723268972553914e-4,7.194024480775799e-7,rmse,standard,47.132896287863154,50,3.7096299374160187,Preprocessor1_Model09
19,629,26,11,1.2870508469149222e-4,3.884326535565703e-6,rmse,standard,49.01443406013821,50,3.7689944347861815,Preprocessor1_Model10
18,542,28,9,1.476407572851533e-4,1.0271473331929663e-8,rmse,standard,49.04479098121134,50,3.773183776399776,Preprocessor1_Model05
15,605,18,8,1.0011431814761276e-4,1.7594501272349372e-9,rmse,standard,49.80142738381551,50,3.79970973537074,Preprocessor1_Model03
