mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
15,645,22,8,0.002458363397091847,0.007155496610209255,rmse,standard,30.402214849466496,50,2.1526179385209816,Preprocessor1_Model18
16,602,29,12,0.0030980437872388206,1.1306654867071801e-7,rmse,standard,30.415509710985123,50,2.011078773342367,Preprocessor1_Model07
18,718,29,7,0.0034631696061602647,0.0013070309310766954,rmse,standard,30.42963704945954,50,2.0605177699155135,Preprocessor1_Model16
19,843,30,8,0.0017293231037138529,0.1785868496221377,rmse,standard,30.43252778846205,50,2.171411903346647,Preprocessor1_Model21
14,638,25,10,0.0019856379125783503,9.42772788121804e-7,rmse,standard,30.68279055909735,50,2.26170989882023,Preprocessor1_Model09
17,505,18,9,0.004204805835360678,2.37069653111939e-10,rmse,standard,30.713100337710536,50,2.0619685455120256,Preprocessor1_Model01
14,868,28,9,0.008204172778806267,9.900877123103747e-5,rmse,standard,31.278013678330332,50,2.03660229246662,Preprocessor1_Model14
14,804,22,12,0.006564834811920391,8.062060251091307e-6,rmse,standard,31.37594252721798,50,2.0108647574865293,Preprocessor1_Model11
16,767,21,10,0.0054410824541484965,8.973541349744847,rmse,standard,31.549034505361814,50,2.0339374225184543,Preprocessor1_Model24
19,749,30,13,0.001360134416874887,9.894341488031493e-10,rmse,standard,31.577923542629144,50,2.497293749759774,Preprocessor1_Model03
18,828,21,9,0.009508002118217816,3.137253505122736e-7,rmse,standard,31.719233830157417,50,2.026336413091852,Preprocessor1_Model08
15,572,19,8,0.0012005855723412773,3.3693541222533412e-9,rmse,standard,33.299396058791366,50,2.9138695634066165,Preprocessor1_Model04
14,614,30,12,0.0010661246143186367,0.006417089850198531,rmse,standard,33.71540486485812,50,2.9416145326753305,Preprocessor1_Model17
17,696,17,12,8.024009501003779e-4,4.6520957610478227e-4,rmse,standard,35.0689261413931,50,3.126757729591872,Preprocessor1_Model15
13,872,27,13,6.144541985554645e-4,0.023247539911681114,rmse,standard,35.22287282071995,50,3.1319472666497212,Preprocessor1_Model19
18,557,24,10,7.521503182511246e-4,0.5929937212132179,rmse,standard,37.378089568088015,50,3.3245959607081317,Preprocessor1_Model22
13,661,24,9,5.213129312948016e-4,3.8752901999065496e-8,rmse,standard,38.84477942372599,50,3.4103862738270903,Preprocessor1_Model06
14,818,26,8,2.9451480849595704e-4,4.5678425365003693e-10,rmse,standard,41.533791311871205,50,3.5465310850190397,Preprocessor1_Model02
17,583,23,11,3.832960495945073e-4,0.06733688432441232,rmse,standard,42.193171091685265,50,3.5850089827293545,Preprocessor1_Model20
18,898,25,10,2.281354482788029e-4,15.267089002724319,rmse,standard,42.752558680362924,50,3.6094895541837912,Preprocessor1_Model25
16,542,18,11,3.102196459218267e-4,1.6492484561507764e-6,rmse,standard,43.938980748771996,50,3.6487909651272434,Preprocessor1_Model10
17,681,28,7,2.0798193385008264e-4,4.6421862885404075e-5,rmse,standard,44.855413548485835,50,3.6603663314364248,Preprocessor1_Model13
15,732,26,9,1.6556806590888086e-4,2.0881558681904786,rmse,standard,45.54487489302427,50,3.686032554548559,Preprocessor1_Model23
17,781,20,12,1.1392060005945913e-4,7.901175731114442e-9,rmse,standard,46.830645725314426,50,3.7141408353465692,Preprocessor1_Model05
15,522,20,11,1.2895947691711883e-4,2.2205219217794625e-5,rmse,standard,47.70526958795723,50,3.715014508524139,Preprocessor1_Model12
