.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model22,0.8839285714285714,0.4751958224543081,0.6566579634464752,0.5814696485623003,0.5815000000000006,18,15,639,20,0.001931646863342664
Preprocessor1_Model12,0.8392857142857142,0.46770025839793283,0.6550387596899225,0.5782747603833865,0.5795,14,15,753,19,0.004095311094273671
Preprocessor1_Model01,0.8285714285714285,0.4613466334164589,0.6433915211970075,0.5910543130990416,0.5765000000000002,17,15,769,19,0.003749107522702621
Preprocessor1_Model17,0.8214285714285714,0.47341772151898737,0.6430379746835443,0.597444089456869,0.5654999999999999,14,16,675,31,0.009027049362748327
Preprocessor1_Model26,0.8125,0.4770408163265306,0.6479591836734694,0.597444089456869,0.5544999999999995,18,15,859,25,0.008024921881679184
Preprocessor1_Model06,0.7928571428571429,0.46683673469387754,0.6530612244897959,0.5846645367412141,0.5580000000000002,17,14,608,18,0.007264066709289193
Preprocessor1_Model23,0.6857142857142857,0.4418052256532066,0.6152019002375297,0.5942492012779552,0.5699999999999997,16,16,955,29,2.17655630631672e-4
Preprocessor1_Model09,0.6767857142857143,0.44607843137254904,0.6323529411764706,0.5814696485623003,0.5694999999999998,16,13,648,30,0.005702916234398005
Preprocessor1_Model05,0.6553571428571429,0.46216216216216216,0.6486486486486487,0.5463258785942492,0.5720000000000002,12,17,891,21,0.00223995344229387
Preprocessor1_Model02,0.6196428571428572,0.4260485651214128,0.608167770419426,0.6166134185303515,0.5679999999999992,19,16,889,26,6.140056636632261e-4
Preprocessor1_Model18,0.5821428571428571,0.44389027431421446,0.6197007481296758,0.5686900958466453,0.5679999999999993,15,13,751,18,3.78180210619136e-4
Preprocessor1_Model25,0.5767857142857142,0.4206008583690987,0.6072961373390557,0.6261980830670927,0.564,19,12,918,29,4.371863013953257e-4
Preprocessor1_Model07,0.5678571428571428,0.4338235294117647,0.6200980392156863,0.5654952076677316,0.5714999999999997,13,13,960,21,0.0012236100487454883
Preprocessor1_Model19,0.5571428571428572,0.4461538461538462,0.6371794871794871,0.5559105431309904,0.5595000000000001,14,13,874,28,0.004913328340689906
Preprocessor1_Model16,0.5107142857142857,0.4302600472813239,0.6099290780141844,0.5814696485623003,0.5565000000000002,17,12,615,23,5.643954116586679e-4
Preprocessor1_Model21,0.5017857142857142,0.4403183023872679,0.6392572944297082,0.5303514376996805,0.5735000000000003,15,15,666,24,0.0024747064672108908
Preprocessor1_Model08,0.475,0.4403183023872679,0.6392572944297082,0.5303514376996805,0.5684999999999998,13,12,788,28,0.0028847713083392837
Preprocessor1_Model27,0.4285714285714286,0.4251207729468599,0.6086956521739131,0.5623003194888179,0.5604999999999997,13,15,805,23,1.5875965625993118e-4
Preprocessor1_Model14,0.4196428571428571,0.4219512195121951,0.6170731707317073,0.5527156549520766,0.5654999999999999,17,12,820,26,0.0016729216541983654
Preprocessor1_Model03,0.3767857142857143,0.41743119266055045,0.5997706422018348,0.5814696485623003,0.5559999999999995,18,12,717,20,2.652017133442488e-4
Preprocessor1_Model24,0.3107142857142857,0.4133949191685912,0.6016166281755196,0.5718849840255591,0.5544999999999993,18,13,828,23,1.7479998781888892e-4
Preprocessor1_Model04,0.25357142857142856,0.4114942528735632,0.5988505747126437,0.5718849840255591,0.5520000000000004,17,14,907,22,8.919263232419663e-4
Preprocessor1_Model29,0.24464285714285713,0.4166666666666667,0.6053921568627451,0.5431309904153354,0.5565000000000002,15,16,986,17,1.1794521856568051e-4
Preprocessor1_Model15,0.23928571428571427,0.4090909090909091,0.5965909090909091,0.5750798722044729,0.5510000000000007,16,16,685,24,2.4879078263920576e-4
Preprocessor1_Model10,0.2089285714285714,0.40792540792540793,0.5990675990675991,0.5591054313099042,0.5544999999999993,15,14,730,28,0.0014635874327041836
Preprocessor1_Model11,0.2089285714285714,0.4188861985472155,0.5980629539951574,0.5527156549520766,0.5544999999999993,14,11,941,27,6.809533129863172e-4
Preprocessor1_Model13,0.12142857142857141,0.40399002493765584,0.600997506234414,0.5175718849840255,0.5544999999999995,12,11,701,22,1.0369666538767685e-4
Preprocessor1_Model20,0.06607142857142856,0.407673860911271,0.5887290167865707,0.5431309904153354,0.5495000000000005,13,14,992,26,0.0010660852436036425
Preprocessor1_Model28,0.05357142857142857,0.3922018348623853,0.5814220183486238,0.5463258785942492,0.5430000000000006,15,17,845,31,3.32425789199355e-4
